Source,Relationship,Target,Reason,Evidence URL,Evidence Text
sbasite.com,client_of,Property owners (third-party owned rooftop and tower properties),Page states SBA's Site Management division contracts with client property owners throughout North America to market and manage their rooftop and tower properties.,https://www.sbasite.com/English/Solutions/Managed-Sites/default.aspx,"""The Site Management division of SBA contracts with our client property owners throughout North America to market and manage their rooftop and tower properties"""
sbasite.com,partner_of,Wireless carriers (national wireless carriers),Page says SBA markets properties directly to national wireless carriers and negotiates site license agreements with them; indicates ongoing business relationship with carriers as tenants/leasers.,https://www.sbasite.com/English/Solutions/Managed-Sites/default.aspx,"""Market your property directly to national wireless carriers""; ""negotiate site license agreements with national wireless carriers""; ""market and manage their rooftop and tower properties to wireless carriers"""
sbasite.com,partner_of,Wireless service providers,About SBA page states SBA is a preferred partner for wireless service providers and describes leasing antenna space to wireless service providers under long-term contracts; also offers site development services to assist them in developing networks.,https://www.sbasite.com/English/Company/About-SBA/default.aspx,"""Our size, experience, capabilities and resources make SBA a preferred partner for wireless service providers both domestically and internationally."""
sbasite.com,partner_of,Telecommunication carriers,"Page notes telecom carriers build/densify networks via towers, antenna placements, DAS, and small cells—stated as exactly what SBA does, implying SBA supports carriers' network deployments.",https://www.sbasite.com/English/Company/About-SBA/default.aspx,"""Telecommunication carriers are increasing network capacity... by building out or densifying their networks through the implementation of cell towers, antenna placements on buildings and rooftops, DAS and small cells – this is exactly what we do at SBA"""
sbasite.com,partner_of,Property owners,Page explicitly states SBA works with property owners to develop and monetize the wireless infrastructure potential of their real estate assets.,https://www.sbasite.com/English/Company/About-SBA/default.aspx,"""In addition, SBA works with property owners to strategically develop and monetize the wireless infrastructure potential of their real estate assets."""
sbasite.com,partner_of,Outside engineering firms,Tower Operations page states SBA's Area Operations Directors work closely with outside engineering firms when structural upgrades are needed to accommodate new equipment on SBA towers.,https://r.jina.ai/http://www.sbasite.com/English/Solutions/Services/Tower-Operations/default.aspx,"""Our Area Operations Directors work closely with our outside engineering firms and internal leasing personnel if structural upgrades are needed on an SBA tower to accommodate new equipment."""
sbasite.com,partner_of,Federal Aviation Administration (FAA),"Tower Operations page says SBA monitors towers to comply with FAA lighting requirements and maintains a safety record regarding filings of notices with the FAA, indicating an ongoing regulatory/compliance relationship.",https://r.jina.ai/http://www.sbasite.com/English/Solutions/Services/Tower-Operations/default.aspx,"""monitoring of more than 7,000 towers to comply with the Federal Aviation Administration (FAA) lighting requirements""; ""maintained a 100 percent safety record in respect to our filings of notices with the FAA."""
sbasite.com,partner_of,AT&T,"The page explains that DAS enhances signals of wireless carriers including AT&T, implying SBA’s DAS solutions support AT&T’s network coverage in venues/buildings.",https://www.sbasite.com/English/Solutions/Connectivity-Solutions/DAS--Small-Cells/default.aspx,"""DAS enhances the signals of wireless carriers such as AT&T, T-Mobile and Verizon."""
sbasite.com,partner_of,T-Mobile,"The page notes DAS enhances signals of wireless carriers such as T-Mobile, indicating SBA’s DAS solutions work with/for T-Mobile network signals in facilities.",https://www.sbasite.com/English/Solutions/Connectivity-Solutions/DAS--Small-Cells/default.aspx,"""DAS enhances the signals of wireless carriers such as AT&T, T-Mobile and Verizon."""
sbasite.com,partner_of,Verizon,"The page notes DAS enhances signals of wireless carriers such as Verizon, indicating SBA’s DAS solutions support Verizon network coverage in facilities/venues.",https://www.sbasite.com/English/Solutions/Connectivity-Solutions/DAS--Small-Cells/default.aspx,"""DAS enhances the signals of wireless carriers such as AT&T, T-Mobile and Verizon."""
sbasite.com,partner_of,Ecosystem providers,Open Access Networks page states SBA works in partnership with ecosystem providers as part of its Open Access Network offering for property owner connectivity needs.,https://r.jina.ai/http://www.sbasite.com/English/Solutions/Connectivity-Solutions/Open-Access-Networks/default.aspx,"""Working in partnership with ecosystem providers, our Open Access Network encompasses all property owner connectivity needs."""
sbasite.com,partner_of,Enterprises,Page states SBA’s Private 5G solution is 'trusted and deployed by enterprises' across multiple sectors; indicates enterprises are customers/users of SBA’s private network offering.,https://www.sbasite.com/English/Solutions/Connectivity-Solutions/Private-Networks/default.aspx,"""Our Private 5G solution is trusted and deployed by enterprises in Commercial Real Estate, Educational Institutions, Co-working Spaces, Retail, Logistics and Advanced Manufacturing."""
sbasite.com,partner_of,Ecosystem partnerships,"Page says SBA designs and delivers end-to-end integration for smart building and IoT applications through its ecosystem partnerships, implying partner relationships with ecosystem partners/providers.",https://www.sbasite.com/English/Solutions/Connectivity-Solutions/Private-Networks/default.aspx,"""We design and deliver the end-to-end integration for smart building and IOT applications through our ecosystem partnerships."""
sbasite.com,partner_of,Wireless carriers,"Private Networks page describes neutral host structure connecting to multiple wireless carriers and customized traffic routing for each carrier to its home network, indicating integration/partnering with carriers for connectivity.",https://www.sbasite.com/English/Solutions/Connectivity-Solutions/Private-Networks/default.aspx,"""with the neutral host structure, also be connected to multiple wireless carriers""; ""customized traffic routing for each carrier to its home network."""
