Source,Relationship,Target,Reason,Evidence URL,Evidence Text
bigcommerce.com,partner_of,Feedonomics,Page lists Feedonomics as part of BigCommerce ecosystem (top navigation) and describes BigCommerce partner program/ecosystem.,https://www.bigcommerce.com/partners/,"“Commerce Feedonomics Makeswift” (top navigation) … “We partner with the best ecommerce designers, developers and marketers in the world…”"
bigcommerce.com,partner_of,Makeswift,Page lists Makeswift alongside Feedonomics in BigCommerce ecosystem navigation within Partners context.,https://www.bigcommerce.com/partners/,“Commerce Feedonomics Makeswift” (top navigation)
bigcommerce.com,partner_of,CedCommerce,"BigCommerce app listings in the Connectors & Integrations category include multiple connectors 'by CedCommerce' (e.g., Sears Connector, Walmart Canada Connector, Mirakl Connect), indicating CedCommerce is a technology/app partner in the BigCommerce ecosystem.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Sears Connector by CedCommerce… This app integrates your BigCommerce store with the Sears marketplace”
bigcommerce.com,partner_of,Sears,"App listing 'Sears Connector by CedCommerce' states it integrates a BigCommerce store with the Sears marketplace, implying a connector/integration relationship with Sears.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Sears Connector by CedCommerce… This app integrates your BigCommerce store with the Sears marketplace”
bigcommerce.com,partner_of,Elfsight,"App listing 'Facebook Reviews by Elfsight' is presented as a BigCommerce site tool integration, indicating Elfsight provides an app/integration for BigCommerce.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Facebook Reviews by Elfsight… Show customer reviews from Facebook on the website…”
bigcommerce.com,partner_of,Walmart,"The page lists 'Walmart Canada Connector by CedCommerce' and indicates it automates selling on Walmart Canadian Marketplace (walmart.ca), evidencing an integration/connector for Walmart.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Walmart Canada Connector by CedCommerce… automate your selling on Walmart Canadian Marketplace (walmart.ca)”
bigcommerce.com,partner_of,TikTok Shop,"App 'TikConnect for TikTok Shop' states it syncs products, inventory, orders, and fulfillments between a BigCommerce store and TikTok Shop, showing a TikTok Shop integration.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,"“TikConnect for TikTok Shop… syncs products, inventory, orders, and fulfillments between your store and TikTok Shop”"
bigcommerce.com,partner_of,WebBee,"App listing 'Map My Channel by WebBee' is a BigCommerce connector and describes integrating BigCommerce and NetSuite, indicating WebBee provides an integration app for BigCommerce.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Map My Channel by WebBee… Integrates BigCommerce and NetSuite seamlessly.”
bigcommerce.com,partner_of,Indigo8 Solutions,"App listing 'Indigo8 Solutions' says to integrate an existing or new BigCommerce website with Indigo8 Solutions, implying integration/connector relationship.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Indigo8 Solutions… Integrate your existing or brand new BigCommerce website with Indigo8 Solutions.”
bigcommerce.com,partner_of,Mirakl,"App listing 'Mirakl Connect By CedCommerce' mentions scaling across 'Mirakl-powered marketplaces,' indicating an integration/connector with Mirakl marketplaces.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Mirakl Connect By CedCommerce… scale across Mirakl-powered marketplaces”
bigcommerce.com,partner_of,Optimum7,"App listing 'FFL API by Optimum7' is offered as a BigCommerce site tool integration, indicating Optimum7 provides an app/integration for BigCommerce.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“FFL API by Optimum7… A centralized solution for Federal Firearms License dealers…”
bigcommerce.com,partner_of,Xero,"App listing 'Xero Connector by CarryTheOne' states it imports orders/refunds/payments into Xero automatically, showing a BigCommerce integration with Xero.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,"“Xero Connector by CarryTheOne… Seamlessly import orders, refunds and payments into Xero — automatically”"
bigcommerce.com,partner_of,CarryTheOne,"The page lists connector apps 'Xero Connector by CarryTheOne' and 'QuickBooks Online Connector by CarryTheOne', indicating CarryTheOne provides BigCommerce integration apps.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Xero Connector by CarryTheOne…”
bigcommerce.com,partner_of,QuickBooks,"App listing 'QuickBooks Online Connector by CarryTheOne' states it syncs BigCommerce orders/customers/payments/refunds into QuickBooks in real time, evidencing an integration with QuickBooks.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“QuickBooks Online Connector by CarryTheOne… sync your BigCommerce orders… into QuickBooks — real-time”
bigcommerce.com,partner_of,Snapshot ERP,"App listing 'NetSuite B2C/B2B Connector by Snapshot ERP' is listed as a BigCommerce connector, indicating Snapshot ERP provides an integration app for BigCommerce.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“NetSuite B2C/B2B Connector by Snapshot ERP… Automate workflows… NetSuite and BigCommerce…”
bigcommerce.com,partner_of,NetSuite,"The page lists connectors that integrate BigCommerce with NetSuite (e.g., 'Map My Channel by WebBee' and 'NetSuite B2C/B2B Connector by Snapshot ERP'), evidencing BigCommerce-NetSuite integration options.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“Map My Channel by WebBee… Integrates BigCommerce and NetSuite seamlessly.”
bigcommerce.com,partner_of,Apiworx,"App listing 'BigConnect by Apiworx' is listed under BigCommerce connectors & integrations, implying Apiworx provides an integration app for BigCommerce.",https://www.bigcommerce.com/apps/categories/site-tools/connectors-integrations/?page=2,“BigConnect by Apiworx… streamlining and managing complex OmniChannel data flows.”
bigcommerce.com,partner_of,DCKAP,BigCommerce app listing page for “DCKAP Integrator” indicates DCKAP provides an integration app/technology partner in the BigCommerce ecosystem.,https://www.bigcommerce.com/apps/cloras/,“DCKAP Integrator… is a cloud-operated middleware… and automates integrations… with your BigCommerce Storefront.”
bigcommerce.com,partner_of,DCKAP Integrator,"The BigCommerce Apps & Integrations marketplace lists “DCKAP Integrator” as an available app for BigCommerce, indicating a technology/app partner relationship.",https://www.bigcommerce.com/apps/cloras/,“DCKAP Integrator… is a cloud-operated middleware… and automates integrations… with your BigCommerce Storefront.”
bigcommerce.com,partner_of,Epicor Prophet 21,The app page states DCKAP Integrator integrates Epicor P21 with BigCommerce.,https://www.bigcommerce.com/apps/cloras/,“By integrating Epicor P21 with BigCommerce using DCKAP Integrator…”
bigcommerce.com,partner_of,Epicor Eclipse,The app page says DCKAP Integrator specializes in systems like Epicor Eclipse for integrations with BigCommerce storefronts.,https://www.bigcommerce.com/apps/cloras/,"“We specialize in systems like Epicor Prophet 21, Epicor Eclipse, Oracle, Microsoft Dynamics…”"
bigcommerce.com,partner_of,Oracle,The app page lists Oracle among systems DCKAP Integrator specializes in integrating with BigCommerce.,https://www.bigcommerce.com/apps/cloras/,"“We specialize in systems like … Oracle, Microsoft Dynamics…”"
bigcommerce.com,partner_of,Microsoft Dynamics,The app page lists Microsoft Dynamics among systems DCKAP Integrator specializes in integrating with BigCommerce.,https://www.bigcommerce.com/apps/cloras/,"“We specialize in systems like … Oracle, Microsoft Dynamics…”"
bigcommerce.com,partner_of,Distribution One,"The app page describes integrating Distribution One and BigCommerce, including a section titled “Distribution One” and mentions data synchronizations between Distribution One and BigCommerce.",https://www.bigcommerce.com/apps/cloras/,“DCKAP Integrator has successfully steered over a thousand data synchronizations between Distribution One and BigCommerce.”
bigcommerce.com,partner_of,DDI Inform,The app page lists DDI Inform among systems DCKAP Integrator specializes in integrating with BigCommerce.,https://www.bigcommerce.com/apps/cloras/,"“We specialize in systems like … Distribution One, and DDI Inform…”"
bigcommerce.com,partner_of,Salesforce,The app page states DCKAP Integrator automates integrations with CRMs like Salesforce for BigCommerce storefronts.,https://www.bigcommerce.com/apps/cloras/,"“…using ERP systems, CRMs like Salesforce, and with numerous other systems integrations.”"
bigcommerce.com,partner_of,SAP Business One,The app page states DCKAP Integrator integrates SAP Business One (SAP B1) and BigCommerce systems.,https://www.bigcommerce.com/apps/cloras/,“DCKAP Integrator… integrating … between SAP B1 and BigCommerce systems.”
bigcommerce.com,partner_of,Microsoft Dynamics 365,The article lists Microsoft Dynamics 365 as one of the top ERP integrations used by BigCommerce B2B merchants.,https://www.bigcommerce.com/blog/b2b-erp-integrations/,"“Top ERPs for BigCommerce B2B include NetSuite, Dynamics 365, SAP, Acumatica, Sage, and Odoo”
“Microsoft Dynamics 365. Why it works well for B2B: Dynamics 365 offers…”"
bigcommerce.com,partner_of,SAP S/4HANA,The article identifies SAP S/4HANA (along with SAP Business One) as ERP options/integrations used by BigCommerce B2B merchants.,https://www.bigcommerce.com/blog/b2b-erp-integrations/,“SAP Business One and SAP S4HANA. Why it works well for B2B…”
bigcommerce.com,partner_of,Acumatica,The page lists Acumatica as a top ERP for BigCommerce B2B and discusses integration functions.,https://www.bigcommerce.com/blog/b2b-erp-integrations/,"“Top ERPs for BigCommerce B2B include NetSuite, Dynamics 365, SAP, Acumatica, Sage, and Odoo”
“Acumatica. Why it works well for B2B: Acumatica delivers flexibility…”"
bigcommerce.com,partner_of,Sage 100,"The article includes Sage 100 among ERP options used with BigCommerce for B2B, describing integration functions.",https://www.bigcommerce.com/blog/b2b-erp-integrations/,“Sage 100 and Sage X3. Why it works well for B2B…”
