Source,Relationship,Target,Reason,Evidence URL,Evidence Text
politicopro.com,partner_of,AgencyIQ,"Homepage footer lists “AgencyIQ by POLITICO,” indicating an affiliated/partner brand offering under POLITICO Pro.",https://www.politicopro.com/,“AgencyIQ by POLITICO”
politicopro.com,partner_of,E&E News,"Homepage footer lists “E&E News by POLITICO,” indicating an affiliated/partner brand offering under POLITICO Pro.",https://www.politicopro.com/,“E&E News by POLITICO”
politicopro.com,partner_of,Adventive,Kochava Media Index page for Politico lists Adventive as an approved 3rd party ad serving / rich media vendor used for POLITICO inventory.,https://media-index.kochava.com/ad_partners/politico,"“Approved 3rd Party Ad Serving / Rich Media Vendors Adventive - https://www.adventive.com | Sizmek, DFP”"
politicopro.com,partner_of,Sizmek,Page lists Sizmek as an approved 3rd party ad serving / rich media vendor for Politico/POLITICO Pro inventory.,https://media-index.kochava.com/ad_partners/politico,"“Approved 3rd Party Ad Serving / Rich Media Vendors Adventive - https://www.adventive.com | Sizmek, DFP”"
politicopro.com,partner_of,DoubleClick for Publishers (DFP),Page lists DFP among approved 3rd party ad serving / rich media vendors for Politico/POLITICO Pro inventory.,https://media-index.kochava.com/ad_partners/politico,"“Approved 3rd Party Ad Serving / Rich Media Vendors Adventive - https://www.adventive.com | Sizmek, DFP”"
politicopro.com,partner_of,Yieldmo,Ads.txt section states Politico inventory partners include yieldmo.com (direct).,https://media-index.kochava.com/ad_partners/politico,"“According to their Ads.txt, Politico inventory partners include: yieldmo.com, undertone.com, trustx.org, triplelift.com, …”"
politicopro.com,partner_of,Undertone,Ads.txt section lists undertone.com as an inventory partner.,https://media-index.kochava.com/ad_partners/politico,"“According to their Ads.txt, Politico inventory partners include: yieldmo.com, undertone.com, trustx.org, triplelift.com, …”"
politicopro.com,partner_of,TrustX,Ads.txt section lists trustx.org as an inventory partner.,https://media-index.kochava.com/ad_partners/politico,"“According to their Ads.txt, Politico inventory partners include: yieldmo.com, undertone.com, trustx.org, triplelift.com, …”"
politicopro.com,partner_of,TripleLift,Ads.txt section lists triplelift.com as an inventory partner.,https://media-index.kochava.com/ad_partners/politico,"“According to their Ads.txt, Politico inventory partners include: yieldmo.com, undertone.com, trustx.org, triplelift.com, …”"
politicopro.com,partner_of,TremorHub (Tremor Video),Ads.txt section lists tremorhub.com as an inventory partner.,https://media-index.kochava.com/ad_partners/politico,"“According to their Ads.txt, Politico inventory partners include: … tremorhub.com, …”"
politicopro.com,partner_of,The MediaGrid,Ads.txt section lists themediagrid.com as an inventory partner.,https://media-index.kochava.com/ad_partners/politico,"“According to their Ads.txt, Politico inventory partners include: … themediagrid.com, …”"
politicopro.com,partner_of,Teads,Ads.txt section lists teads.tv as an inventory partner.,https://media-index.kochava.com/ad_partners/politico,"“According to their Ads.txt, Politico inventory partners include: … teads.tv, …”"
