Source,Relationship,Target,Reason,Evidence URL,Evidence Text
heritagecommercecorp.com,partner_of,CVB Financial Corp.,Press release states CVB Financial Corp. and Heritage Commerce Corp entered into a definitive merger agreement in which Heritage will merge with and into Citizens (Citizens Business Bank).,https://r.jina.ai/http://https://heritagecommercecorp.com/news/news-details/2025/CVB-Financial-Corp--and-Heritage-Commerce-Corp-Announce-Agreement-to-Merge/default.aspx,"""CVB Financial Corp... and Heritage Commerce Corp... today jointly announced that they have entered into a definitive merger agreement. Under the terms of the agreement, Heritage will merge with and into Citizens"""
heritagecommercecorp.com,partner_of,"Citizens Business Bank, National Association","The merger agreement describes Heritage merging into 'Citizens' (Citizens Business Bank, National Association), making it a strategic combination between the organizations.",https://r.jina.ai/http://https://heritagecommercecorp.com/news/news-details/2025/CVB-Financial-Corp--and-Heritage-Commerce-Corp-Announce-Agreement-to-Merge/default.aspx,"""CVB Financial Corp. ... (together with Citizens Business Bank, National Association, 'Citizens') ... have entered into a definitive merger agreement. Under the terms of the agreement, Heritage will merge with and into Citizens"""
heritagecommercecorp.com,uses,J.P. Morgan,J.P. Morgan served as financial advisor to Citizens in the transaction announced in the release.,https://r.jina.ai/http://https://heritagecommercecorp.com/news/news-details/2025/CVB-Financial-Corp--and-Heritage-Commerce-Corp-Announce-Agreement-to-Merge/default.aspx,"""J.P. Morgan served as financial advisor ... to Citizens."""
heritagecommercecorp.com,uses,"Manatt, Phelps & Phillips, LLP","Manatt, Phelps & Phillips, LLP served as legal counsel to Citizens for the merger transaction.",https://r.jina.ai/http://https://heritagecommercecorp.com/news/news-details/2025/CVB-Financial-Corp--and-Heritage-Commerce-Corp-Announce-Agreement-to-Merge/default.aspx,"""Manatt, Phelps & Phillips, LLP served as legal counsel to Citizens."""
heritagecommercecorp.com,uses,Piper Sandler & Co.,Piper Sandler & Co. served as financial advisor to Heritage in connection with the merger.,https://r.jina.ai/http://https://heritagecommercecorp.com/news/news-details/2025/CVB-Financial-Corp--and-Heritage-Commerce-Corp-Announce-Agreement-to-Merge/default.aspx,"""Piper Sandler & Co. served as financial advisor ... to Heritage."""
heritagecommercecorp.com,uses,"Wachtell, Lipton, Rosen & Katz","Wachtell, Lipton, Rosen & Katz served as legal counsel to Heritage for the merger transaction.",https://r.jina.ai/http://https://heritagecommercecorp.com/news/news-details/2025/CVB-Financial-Corp--and-Heritage-Commerce-Corp-Announce-Agreement-to-Merge/default.aspx,"""Wachtell, Lipton, Rosen & Katz served as legal counsel to Heritage."""
heritagecommercecorp.com,uses,Collected Strategies,"Contacts section lists Collected Strategies as media contact (Jim Golden / David Feldman) for Heritage, implying PR/communications services.",https://r.jina.ai/http://https://heritagecommercecorp.com/news/news-details/2025/CVB-Financial-Corp--and-Heritage-Commerce-Corp-Announce-Agreement-to-Merge/default.aspx,"""Media: Jim Golden / David Feldman Collected Strategies"""
heritagecommercecorp.com,uses,U.S. Securities and Exchange Commission (SEC),Press release states CVB Financial Corp will file a Registration Statement on Form S-4 with the SEC and that documents will be accessible at the SEC’s website.,https://heritagebankofcommerce.bank/cvb-financial-corp-and-heritage-commerce-corp-announce-agreement-to-merg/,"""CVBF will file a Registration Statement on Form S-4 with the SEC... Documents will be accessible at the SEC’s website ( www.sec.gov )"""
heritagecommercecorp.com,partner_of,Heritage Bank of Commerce,The release states Heritage Commerce Corp is the holding company/parent company for Heritage Bank of Commerce.,https://heritagecommercecorp.com/news/news-details/2026/Heritage-Commerce-Corp-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results/,"""Heritage Commerce Corp... (the “Company”), the holding company for Heritage Bank of Commerce (the “Bank”)"""
heritagecommercecorp.com,partner_of,Bay View Funding,"The release describes Bay View Funding as a subsidiary of Heritage Bank of Commerce, which is part of Heritage Commerce Corp’s corporate group.",https://heritagecommercecorp.com/news/news-details/2026/Heritage-Commerce-Corp-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results/,"""Bay View Funding, a subsidiary of Heritage Bank of Commerce"""
heritagecommercecorp.com,uses,Equiniti Trust Company,The page lists Equiniti Trust Company as Heritage’s stock transfer agent and registrar.,https://heritagecommercecorp.com/news/news-details/2026/Heritage-Commerce-Corp-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results/,"""Stock Transfer Agent and Registrar

Equiniti Trust Company"""
heritagecommercecorp.com,uses,EQ Shareowner Services,The page lists EQ Shareowner Services in the stock transfer agent/registrar section.,https://heritagecommercecorp.com/news/news-details/2026/Heritage-Commerce-Corp-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results/,"""Stock Transfer Agent and Registrar

Equiniti Trust Company

EQ Shareowner Services"""
heritagecommercecorp.com,uses,Q4 Inc.,"The footer indicates the investor relations site is powered by Q4 Inc., implying use of Q4’s IR platform.",https://heritagecommercecorp.com/news/news-details/2026/Heritage-Commerce-Corp-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results/,"""Powered By Q4 Inc."""
heritagecommercecorp.com,partner_of,CVB Financial Corporation,SEC-filed call transcript discusses the definitive all-stock merger transaction between Heritage Commerce Corp and CVB Financial Corporation.,https://r.jina.ai/http://https://www.sec.gov/Archives/edgar/data/0001053352/000110465925122306/tm2533554d8_425.htm,"""Welcome to today's Conference Call to discuss the All- stock Merger Transaction between CVB Financial Corporation and Heritage Commerce Corporation.""; ""announcement of a definitive merger agreement between CVB Financial Corporation and Heritage Commerce Corporation."""
heritagecommercecorp.com,partner_of,Citizens Business Bank,Transcript describes combining Heritage with Citizens Business Bank and welcoming Heritage team to Citizens Business Bank as part of the merger integration.,https://r.jina.ai/http://https://www.sec.gov/Archives/edgar/data/0001053352/000110465925122306/tm2533554d8_425.htm,"""We are excited to welcome Clay and key members of his banking team to Citizens Business Bank.""; ""make sure the combination of Citizens and Heritage goes well first."""
heritagecommercecorp.com,uses,Raymond James,"Analyst Q&A identifies a questioner from Raymond James, indicating Raymond James’ participation as an analyst/market intermediary covering the company/transaction.",https://r.jina.ai/http://https://www.sec.gov/Archives/edgar/data/0001053352/000110465925122306/tm2533554d8_425.htm,"""The next question comes from David Feaster with Raymond James."""
heritagecommercecorp.com,uses,Stephens,"Analyst Q&A identifies a questioner from Stephens, indicating Stephens’ participation as an analyst/market intermediary covering the company/transaction.",https://r.jina.ai/http://https://www.sec.gov/Archives/edgar/data/0001053352/000110465925122306/tm2533554d8_425.htm,"""The next question comes from Andrew Terrell with Stephens."""
