Source,Relationship,Target,Reason,Evidence URL,Evidence Text
rushenterprises.com,partner_of,Cummins Clean Fuel Technologies,"Listed under Rush Enterprises' businesses, indicating an affiliated business/relationship.",https://www.rushenterprises.com/,Employee Resources ... Perfection Truck Parts & Equipment Cummins Clean Fuel Technologies World Wide Tires Chrome Country
rushenterprises.com,partner_of,Peterbilt,"Rush Truck Centers (within the Rush Enterprises network) offers sales, parts and service for Peterbilt trucks, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centers is North America’s largest network of medium- and heavy-duty commercial truck dealerships, offering sales, parts and service for Peterbilt, International, Ford, Hino, Isuzu, Dennis Eagle and Blue Arc trucks."
rushenterprises.com,partner_of,International,"Rush Truck Centers offers sales, parts and service for International trucks, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centers... offering sales, parts and service for Peterbilt, International, Ford, Hino, Isuzu, Dennis Eagle and Blue Arc trucks."
rushenterprises.com,partner_of,Ford,"Rush Truck Centers offers sales, parts and service for Ford trucks, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centers... offering sales, parts and service for Peterbilt, International, Ford, Hino, Isuzu, Dennis Eagle and Blue Arc trucks."
rushenterprises.com,partner_of,Hino,"Rush Truck Centers offers sales, parts and service for Hino trucks, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centers... offering sales, parts and service for Peterbilt, International, Ford, Hino, Isuzu, Dennis Eagle and Blue Arc trucks."
rushenterprises.com,partner_of,Isuzu,"Rush Truck Centers offers sales, parts and service for Isuzu trucks, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centers... offering sales, parts and service for Peterbilt, International, Ford, Hino, Isuzu, Dennis Eagle and Blue Arc trucks."
rushenterprises.com,partner_of,Dennis Eagle,"Rush Truck Centers offers sales, parts and service for Dennis Eagle trucks, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centers... offering sales, parts and service for Peterbilt, International, Ford, Hino, Isuzu, Dennis Eagle and Blue Arc trucks."
rushenterprises.com,partner_of,Blue Arc,"Rush Truck Centers offers sales, parts and service for Blue Arc trucks, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centers... offering sales, parts and service for Peterbilt, International, Ford, Hino, Isuzu, Dennis Eagle and Blue Arc trucks."
rushenterprises.com,partner_of,Kalmar Ottawa,"Rush Truck Centres of Canada represents Kalmar Ottawa, indicating a dealer/brand relationship within Rush Enterprises' network.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centres of Canada... representing top brands such as International, Isuzu, Kalmar Ottawa, Battle Motors, Fontaine, Trout River and Cobra."
rushenterprises.com,partner_of,Battle Motors,"Rush Truck Centres of Canada represents Battle Motors, indicating a dealer/brand relationship within Rush Enterprises' network.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centres of Canada... representing top brands such as International, Isuzu, Kalmar Ottawa, Battle Motors, Fontaine, Trout River and Cobra."
rushenterprises.com,partner_of,Fontaine,"Rush Truck Centres of Canada represents Fontaine, indicating a dealer/brand relationship within Rush Enterprises' network.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centres of Canada... representing top brands such as International, Isuzu, Kalmar Ottawa, Battle Motors, Fontaine, Trout River and Cobra."
rushenterprises.com,partner_of,Trout River,"Rush Truck Centres of Canada represents Trout River, indicating a dealer/brand relationship within Rush Enterprises' network.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centres of Canada... representing top brands such as International, Isuzu, Kalmar Ottawa, Battle Motors, Fontaine, Trout River and Cobra."
rushenterprises.com,partner_of,Cobra,"Rush Truck Centres of Canada represents Cobra, indicating a dealer/brand relationship within Rush Enterprises' network.",https://www.rushenterprises.com/our-businesses,"Rush Truck Centres of Canada... representing top brands such as International, Isuzu, Kalmar Ottawa, Battle Motors, Fontaine, Trout River and Cobra."
rushenterprises.com,partner_of,Idealease,"Rush Truck Centres of Canada offers full-service Idealease truck leasing and rental solutions; Rush Truck Leasing also notes partnerships with Idealease, indicating a partnership relationship.",https://www.rushenterprises.com/our-businesses,Rush Truck Centres also offers full-service Idealease truck leasing and rental solutions.
rushenterprises.com,partner_of,IC Bus,"Rush Bus Centres of Canada (within Rush Enterprises) specializes in the sale and service of IC Bus buses, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Bus Centres of Canada... operates three dealerships in Ontario and Quebec, specializing in the sale and service of IC Bus and Collins school and commercial buses."
rushenterprises.com,partner_of,Collins,"Rush Bus Centres of Canada and Rush Bus Centers represent/sell and service Collins buses, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,Rush Bus Centres of Canada... specializing in the sale and service of IC Bus and Collins school and commercial buses.
rushenterprises.com,partner_of,Blue Bird,"Rush Bus Centers represents Blue Bird buses, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Bus Centers is the premier school and commercial bus dealer network in the U.S., proudly representing Blue Bird, Micro Bird, Collins, and IC Bus"
rushenterprises.com,partner_of,Micro Bird,"Rush Bus Centers represents Micro Bird buses, indicating a dealer/OEM partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Bus Centers... proudly representing Blue Bird, Micro Bird, Collins, and IC Bus"
rushenterprises.com,partner_of,Fassi Crane,"Rush Crane Systems offers crane trucks from Fassi Crane, indicating a product/manufacturer relationship.",https://www.rushenterprises.com/our-businesses,"Rush Crane Systems offers a full line of... crane trucks... from leading crane body manufacturers such as Fassi Crane, Manitex and National Crane."
rushenterprises.com,partner_of,Manitex,"Rush Crane Systems offers crane trucks from Manitex, indicating a product/manufacturer relationship.",https://www.rushenterprises.com/our-businesses,"Rush Crane Systems offers a full line of... from leading crane body manufacturers such as Fassi Crane, Manitex and National Crane."
rushenterprises.com,partner_of,National Crane,"Rush Crane Systems offers crane trucks from National Crane, indicating a product/manufacturer relationship.",https://www.rushenterprises.com/our-businesses,"Rush Crane Systems offers a full line of... from leading crane body manufacturers such as Fassi Crane, Manitex and National Crane."
rushenterprises.com,partner_of,Jerr-Dan,"Rush Towing Systems is described as the premier Jerr-Dan dealer in Colorado, Oklahoma and Texas, indicating a dealer/partner relationship.",https://www.rushenterprises.com/our-businesses,"Rush Towing Systems is... the premier Jerr-Dan dealer in Colorado, Oklahoma and Texas."
rushenterprises.com,partner_of,PacLease,"Rush Truck Leasing states it offers solutions through partnerships with PacLease, indicating a partnership relationship.",https://www.rushenterprises.com/our-businesses,"Through our partnerships with Idealease and PacLease, Rush Truck Leasing offers a diverse selection of International and Peterbilt vehicles"
rushenterprises.com,partner_of,GMC,"Company history states the founder opened a GMC truck dealership in Houston in 1965, indicating a dealership/OEM relationship.",https://www.rushenterprises.com/our-story/history,"""W. Marvin Rush... began his distinguished career... by opening a GMC truck dealership in Houston in 1965."""
rushenterprises.com,partner_of,UD,"History notes Rush added medium-duty truck franchises representing UD (along with Hino and Isuzu), indicating an OEM franchise/dealer relationship.",https://www.rushenterprises.com/our-story/history,"""From 2003–2005, Rush added medium-duty truck franchises across the network, representing Hino, Isuzu and UD"""
rushenterprises.com,partner_of,Mitsubishi Fuso,"History states Rush expanded offerings by adding Mitsubishi Fuso locations, indicating an OEM dealer/franchise relationship.",https://www.rushenterprises.com/our-story/history,"""The company expanded its medium- and light-duty offerings, adding Mitsubishi Fuso and Ford locations"""
rushenterprises.com,partner_of,Stewart-Haas Racing,History states Rush began a partnership with Stewart-Haas Racing in 2010 as a NASCAR-related sponsorship/partner relationship.,https://www.rushenterprises.com/our-story/history,"""The company began its partnership with Stewart-Haas Racing in 2010"""
rushenterprises.com,partner_of,Cummins,History notes Momentum Fuel Technologies entered into a joint venture with Cummins in 2022 and was repositioned as Cummins Clean Fuel Technologies.,https://www.rushenterprises.com/our-story/history,"""Momentum Fuel Technologies was repositioned as Cummins Clean Fuel Technologies after entering into a joint venture with Cummins in 2022."""
rushenterprises.com,partner_of,Front Row Motorsports,History says Rush entered its next chapter as a NASCAR sponsor by partnering with Front Row Motorsports and also became the official truck dealer and service center of Front Row Motorsports (via Rush Truck Centers).,https://www.rushenterprises.com/our-story/history,"""In 2025, the company entered its next chapter as a NASCAR sponsor by partnering with Front Row Motorsports... Rush Truck Centers also became the official truck dealer and service center of Front Row Motorsports."""
rushenterprises.com,partner_of,Ford Mustang Dark Horse,"History states Rush was primary sponsor of the No. 4 Ford Mustang Dark Horse as part of its Front Row Motorsports partnership, indicating sponsorship relationship with the vehicle/brand mentioned.",https://www.rushenterprises.com/our-story/history,"""As the primary sponsor of the No. 4 Ford Mustang Dark Horse"""
rushenterprises.com,partner_of,The Summit Truck Group,"History states Rush acquired 17 dealerships from The Summit Truck Group in 2021, indicating an acquisition relationship between the companies.",https://www.rushenterprises.com/our-story/history,"""In 2021, the company closed on an acquisition of 17 dealerships in the South and Midwest from The Summit Truck Group"""
