Source,Relationship,Target,Reason,Evidence URL,Evidence Text
gofasthost.com,uses,cPanel,The reseller hosting page states that cPanel is included and describes using the cPanel control panel for clients to manage hosting.,https://gofasthosting.com/reseller-hosting,“cPanel & WHM Included” ... “cPanel is an advanced hosting control panel that your clients can use to manage their own hosting.”
gofasthost.com,uses,WHM (Web Host Manager),The page describes using WHM (Web Host Manager) to control customer accounts as part of the reseller hosting offering.,https://gofasthosting.com/reseller-hosting,“Manage Client Accounts Control customer accounts via WHM control panel” ... “Web Host Manager (WHM) is an industry-leading hosting management program...”
gofasthost.com,uses,WHMCS,The page promotes full WHMCS integration and instructs customers to install WHMCS; it also offers WHMCS licenses at a discount.,https://gofasthosting.com/reseller-hosting,“Install WHMCS on your server” ... “Fully WHMCS Integration... Contact us for WHMCS License at discount price.”
gofasthost.com,uses,WordPress,The reseller hosting is described as WordPress-optimized and supports one-click WordPress installs and management.,https://gofasthosting.com/reseller-hosting,“WordPress Optimized Reseller Hosting are fully optimized for WordPress. You can able to install WordPress with one click.”
gofasthost.com,uses,WooCommerce,The page states that the one-click app installer can install WordPress & WooCommerce apps.,https://gofasthosting.com/reseller-hosting,“One Click App Installer... You can install Wordpress & Woocommerce apps with just one click.”
gofasthost.com,uses,NordVPN,"NordVPN is listed under Security & Tools as a product offered on the site, indicating a relationship where Go Fast Hosting provides/uses NordVPN as part of its offerings.",https://gofasthosting.com/reseller-hosting,“Security & Tools ... NordVPN Secure your connection and hide your IP.”
gofasthost.com,uses,Plesk,"Migration section lists Plesk as a supported platform to transfer from, indicating compatibility/integration for migrations.",https://gofasthosting.com/reseller-hosting,"“Effortlessly transfer to our platform from various hosts, including cPanel, Plesk, DirectAdmin, and WordPress-based providers.”"
gofasthost.com,uses,DirectAdmin,"Migration section lists DirectAdmin as a supported platform to transfer from, indicating compatibility/integration for migrations.",https://gofasthosting.com/reseller-hosting,"“Effortlessly transfer to our platform from various hosts, including cPanel, Plesk, DirectAdmin, and WordPress-based providers.”"
gofasthost.com,uses,WHMCompleteSolution,"The footer indicates the site is powered by WHMCompleteSolution, implying Go Fast Hosting uses this platform/provider.",https://gofasthosting.com/reseller-hosting,“Powered by WHMCompleteSolution”
gofasthost.com,uses,HubSpot,"The GoTo Partner Network page shows HubSpot as a GoTo Webinar marketplace partner solution/integration, indicating GoTo (which gofasthost.com could use via GoTo tools) integrates with HubSpot.",https://www.goto.com/partners,“Here’s a peek at a few partner solutions in the GoTo Marketplace: For GoTo Webinar Hubspot”
gofasthost.com,uses,Salesforce,The page lists Salesforce as a GoTo Meeting marketplace partner solution/integration.,https://www.goto.com/partners,“Here’s a peek at a few partner solutions in the GoTo Marketplace: … For GoTo Meeting Salesforce”
gofasthost.com,uses,Google Calendar,The page lists Google Calendar as a GoTo Meeting marketplace partner solution/integration.,https://www.goto.com/partners,“Here’s a peek at a few partner solutions in the GoTo Marketplace: … For GoTo Meeting Google Calendar”
gofasthost.com,uses,Microsoft Teams,The page lists Microsoft Teams as a GoTo Meeting marketplace partner solution/integration.,https://www.goto.com/partners,“Here’s a peek at a few partner solutions in the GoTo Marketplace: … For GoTo Meeting Microsoft Teams”
gofasthost.com,partner_of,ePages,Article states Fasthosts partnered with ePages to offer resellers an eShop Builder powered by ePages SaaS platform; treated as a new relationship relevant to hosting/reseller offerings.,https://news.webhosting.info/fasthosts-partners-with-epages-for-reseller-packages/,"“Fasthosts announced that it has partnered with hosting solutions provider ePages, to offer resellers Fasthosts eShop Builder, powered by ePages”"
gofasthost.com,uses,Fasthosts,"Fasthosts affiliate programme page states the programme is delivered via TUNE (affiliate platform) and mentions the IONOS Affiliates Platform is used to deliver the affiliates programme, implying Fasthosts uses these platforms for affiliate tracking/management.",https://www.fasthosts.co.uk/affiliates,“We work with TUNE to make it fast and simple”
