Source,Relationship,Target,Reason,Evidence URL,Evidence Text
silarealtytrust.com,uses,Computershare,"The site links investor services/forms to Computershare, indicating Sila Realty Trust uses Computershare for investor/shareholder services.",https://silarealtytrust.com/,Investors ... Log In ... https://www-us.computershare.com/Investor/#Company/Index?... and ... https://www-us.computershare.com/Investor/#Help/PrintableForms/Index?...
silarealtytrust.com,uses,Paycor,"The Careers link points to recruitingbypaycor.com, indicating Sila Realty Trust uses Paycor for recruiting/careers hosting.",https://silarealtytrust.com/,Careers ... https://recruitingbypaycor.com/career/CareerHome.action?clientId=...
silarealtytrust.com,uses,Q4 Inc.,"The investor relations site footer states it is powered by Q4 Inc., indicating Sila Realty Trust uses Q4 Inc. for its IR website platform.",https://investors.silarealtytrust.com/overview/default.aspx,"""Powered By Q4 Inc."""
silarealtytrust.com,partner_of,GI Alliance,"Press release states Sila Realty Trust acquired a portfolio where the gastroenterology center is leased to GI Alliance, making GI Alliance a tenant of Sila.",https://investors.silarealtytrust.com/news/press-releases/press-release-details/2025/Sila-Realty-Trust-Completes-Acquisition-of-a-Two-Property-Medical-Outpatient-Building-Portfolio-for-16-15-Million/default.aspx,"""The gastroenterology center is leased to GI Alliance, the largest gastroenterology group in the United States"""
silarealtytrust.com,partner_of,Baylor Scott & White Health,"Press release says the acquired ambulatory surgery center is leased to a joint venture that includes a partnership comprised of Baylor Scott & White Health, indicating Baylor Scott & White Health is part of the tenant JV for Sila's property.",https://investors.silarealtytrust.com/news/press-releases/press-release-details/2025/Sila-Realty-Trust-Completes-Acquisition-of-a-Two-Property-Medical-Outpatient-Building-Portfolio-for-16-15-Million/default.aspx,"""The ASC is leased to a joint venture between a partnership comprised of Baylor Scott & White Health and United Surgical Partners International and a group of physicians."""
silarealtytrust.com,partner_of,United Surgical Partners International,"Press release says the acquired ambulatory surgery center is leased to a joint venture that includes United Surgical Partners International, indicating USPI is part of the tenant JV for Sila's property.",https://investors.silarealtytrust.com/news/press-releases/press-release-details/2025/Sila-Realty-Trust-Completes-Acquisition-of-a-Two-Property-Medical-Outpatient-Building-Portfolio-for-16-15-Million/default.aspx,"""The ASC is leased to a joint venture between a partnership comprised of Baylor Scott & White Health and United Surgical Partners International and a group of physicians."""
silarealtytrust.com,partner_of,Tenet Healthcare,"Press release identifies United Surgical Partners International as a subsidiary of Tenet Healthcare; since USPI is part of the JV leasing Sila’s acquired ASC, Tenet is indirectly connected as parent of a tenant entity.",https://investors.silarealtytrust.com/news/press-releases/press-release-details/2025/Sila-Realty-Trust-Completes-Acquisition-of-a-Two-Property-Medical-Outpatient-Building-Portfolio-for-16-15-Million/default.aspx,"""United Surgical Partners International (“USPI”) is a for-profit subsidiary of Tenet Healthcare"""
silarealtytrust.com,partner_of,Cardinal Health,"Press release notes GI Alliance (tenant) is a subsidiary of Cardinal Health, creating an indirect relationship as parent of a tenant.",https://investors.silarealtytrust.com/news/press-releases/press-release-details/2025/Sila-Realty-Trust-Completes-Acquisition-of-a-Two-Property-Medical-Outpatient-Building-Portfolio-for-16-15-Million/default.aspx,"""The gastroenterology center is leased to GI Alliance... and a subsidiary of investment grade-rated Cardinal Health."""
silarealtytrust.com,partner_of,Regents of the University of California,Press release states Sila Realty Trust entered into a new triple-net lease agreement with the Regents of the University of California for the El Segundo Healthcare Facility.,https://r.jina.ai/http://investors.silarealtytrust.com/news/press-releases/press-release-details/2025/Sila-Realty-Trust-Announces-Fourth-Quarter-and-Year-Ended-2024-Results/default.aspx,"""Entered into a new triple-net lease agreement, effective December 13, 2024, with the Regents of the University of California for the El Segundo Healthcare Facility"""
silarealtytrust.com,partner_of,"GenesisCare USA, Inc.","Press release notes the El Segundo Healthcare Facility was previously leased to GenesisCare USA, Inc. and its affiliates, indicating GenesisCare was a (former) tenant/lessee of Sila Realty Trust for that facility; it also references an amended master lease with GenesisCare.",https://r.jina.ai/http://investors.silarealtytrust.com/news/press-releases/press-release-details/2025/Sila-Realty-Trust-Announces-Fourth-Quarter-and-Year-Ended-2024-Results/default.aspx,"""El Segundo Healthcare Facility, which was previously leased to GenesisCare USA, Inc. and its affiliates, or GenesisCare"""
silarealtytrust.com,partner_of,"Post Acute Medical, LLC","Press release states Sila Realty Trust entered into 15 amended lease agreements with certain subsidiaries of Post Acute Medical, LLC related to 15 properties, extending each lease term; also calls Post Acute Medical its largest tenant.",https://r.jina.ai/http://investors.silarealtytrust.com/news/press-releases/press-release-details/2025/Sila-Realty-Trust-Announces-Fourth-Quarter-and-Year-Ended-2024-Results/default.aspx,"""Entered into 15 amended lease agreements... with certain subsidiaries of Post Acute Medical, LLC... extending the term of each lease to a 20-year remaining lease term"""
