Source,Relationship,Target,Reason,Evidence URL,Evidence Text
cargurus.com,partner_of,vAuto,CarGurus announced integrations/partnerships and opened its API to third-party analytics companies including vAuto to provide shared dealership customers deeper insight into inventory performance and shopper activity attribution.,https://www.cargurus.com/press/cargurus_solve_attribution.html,"""CarGurus ... announced integrations with leading analytics platforms... The partnerships with companies such as vAuto, Clarivoy and Vistadash..."""
cargurus.com,partner_of,Clarivoy,CarGurus lists Clarivoy as a partner/integration via its API with leading analytics platforms for dealership attribution and inventory performance insights.,https://www.cargurus.com/press/cargurus_solve_attribution.html,"""The partnerships with companies such as vAuto, Clarivoy and Vistadash..."""
cargurus.com,partner_of,Vistadash,CarGurus lists Vistadash as a partner/integration via its API with leading analytics platforms for dealership attribution and inventory performance insights.,https://www.cargurus.com/press/cargurus_solve_attribution.html,"""The partnerships with companies such as vAuto, Clarivoy and Vistadash..."""
cargurus.com,client_of,Show Cars of Boca Raton,Homepage testimonial indicates the dealership is a CarGurus customer/investor using CarGurus for dealership marketing/support.,https://dealers.cargurus.com/,“CarGurus has been the best investment for our dealership! ...” Kristin Wood Show Cars of Boca Raton
cargurus.com,client_of,Niello BMW,Testimonial/case study states Niello BMW has partnered with CarGurus since 2018 and uses CarGurus product PriceVantage.,https://dealers.cargurus.com/blog/niello-bmw-prices-with-confidence-and-maximizes-profits-with-pricevantage,"""...we’re featuring Niello BMW in Sacramento ... who has partnered with CarGurus since 2018."""
cargurus.com,uses,OneTrust,Cookie consent banner indicates the site uses OneTrust's cookie consent product.,https://dealers.cargurus.com/,"Cookie banner includes link to OneTrust: ""https://www.onetrust.com/products/cookie-consent/"""
cargurus.com,client_of,CarVision,"Blog post describes a 'partnership spotlight' featuring CarVision as a dealer group on the CarGurus platform, with CarGurus account team optimizing recommendations and trainings to help CarVision maximize success across the CarGurus platform.",https://dealers.cargurus.com/blog/unlocking-the-impact-of-the-cargurus-partnership,"""In this partnership spotlight, we’re featuring CarVision, a dealer group with locations in Pennsylvania and New Jersey."""
cargurus.com,partner_of,Chase,CarGurus press release states Chase joined CarGurus’ multi-lender financing platform; described as a partnership to expand consumer financing options.,https://www.cargurus.com/press/chase_finance.html,“CarGurus … today announced the addition of Chase to its multi-lender financing platform…”
cargurus.com,partner_of,Capital One,Same press release lists Capital One as a participating lender in CarGurus’ multi-lender financing platform network.,https://www.cargurus.com/press/chase_finance.html,"“Chase joins CarGurus’ network of participating lenders — which also includes Capital One, Global Lending Services, and Westlake Financial…”"
cargurus.com,partner_of,Global Lending Services,Same press release lists Global Lending Services as a participating lender in CarGurus’ multi-lender financing platform network.,https://www.cargurus.com/press/chase_finance.html,"“Chase joins CarGurus’ network of participating lenders — which also includes Capital One, Global Lending Services, and Westlake Financial…”"
cargurus.com,partner_of,Westlake Financial,Same press release lists Westlake Financial as a participating lender in CarGurus’ multi-lender financing platform network.,https://www.cargurus.com/press/chase_finance.html,"“Chase joins CarGurus’ network of participating lenders — which also includes Capital One, Global Lending Services, and Westlake Financial…”"
