Source,Relationship,Target,Reason,Evidence URL,Evidence Text
digimarc.com,partner_of,Wipak,Listed on Digimarc’s partners page; partner success quote describes collaboration with Digimarc.,https://www.digimarc.com/partners,“Partner Success Through our collaboration with Digimarc… Karri Koskela Wipak CEO”
digimarc.com,partner_of,Omron,Listed as a product partner; quote describes integrating Digimarc technology into Omron machine vision solutions.,https://www.digimarc.com/partners,“By integrating Digimarc's advanced digital watermarking technology into our machine vision solutions… Fernando Colás Omron CEO”
digimarc.com,partner_of,Athena Graphics,Listed as a service partner on the Digimarc partners page (link to Athena Graphics Digimarc page).,https://www.digimarc.com/partners,Service partners list includes link to https://www.athena-graphics.be/packaging-enrichment/digimarc/
digimarc.com,partner_of,Autumn Graphics,Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to http://www.autumngraphics.on.ca/
digimarc.com,partner_of,Avery Dennison,Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.averydennison.com/
digimarc.com,partner_of,Berry Global,Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.berryglobal.com/
digimarc.com,partner_of,CCL Industries,Listed as a service partner (cclind.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://cclind.com/
digimarc.com,partner_of,Equator Design,Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://equator-design.com/
digimarc.com,partner_of,HP (Indigo),Listed as a service partner (HP industrial printers/Indigo digital presses link) on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.hp.com/.../indigo-digital-presses/printing-presses.html
digimarc.com,partner_of,Interket,Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.interket.com/
digimarc.com,partner_of,Janoschka,Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.janoschka.com/
digimarc.com,partner_of,Linked (linked.global),Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://linked.global/
digimarc.com,partner_of,MCC Label,Listed as a service partner (mcclabel.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.mcclabel.com/
digimarc.com,partner_of,Prame.io,Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to http://www.prame.io/
digimarc.com,partner_of,SGK,Listed as a service partner (sgkinc.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://sgkinc.com/
digimarc.com,partner_of,SGSCO,Listed as a service partner (sgsco.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.sgsco.com/
digimarc.com,partner_of,Sun Branding Solutions,Listed as a service partner (sunbranding.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://sunbranding.com/
digimarc.com,partner_of,Sonoco-Trident,Listed as a service partner (sonoco-trident.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.sonoco-trident.com/technology
digimarc.com,partner_of,WestRock,Listed as a service partner on the Digimarc partners page.,https://www.digimarc.com/partners,Service partners list includes link to https://www.westrock.com/
digimarc.com,partner_of,Acquia,Listed as a product partner/integration (Acquia DAM integration page linked from Digimarc partners page).,https://www.digimarc.com/partners,Product partners list includes link to https://www.acquia.com/integrations/digimarc-acquia-dam
digimarc.com,partner_of,Adobe,Listed as a product partner/integration (Adobe Exchange listing for Digimarc Barcode for Digital Images in AEM linked from Digimarc partners page).,https://www.digimarc.com/partners,Product partners list includes link to https://exchange.adobe.com/.../digimarc-barcode-for-digital-images-in-aem
digimarc.com,partner_of,AVT (Advanced Vision Technology),Listed as a product partner (avt-inc.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://avt-inc.com/
digimarc.com,partner_of,BST (elexis group),Listed as a product partner (bst.elexis.group) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.bst.elexis.group/en/solutions/100-inspection
digimarc.com,partner_of,Cognex,Listed as a product partner (cognex.com DataMan barcode readers link) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.cognex.com/.../dataman-150-260-series
digimarc.com,partner_of,Datalogic,Listed as a product partner on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.datalogic.com/
digimarc.com,partner_of,DataTrails,Listed as a product partner (datatrails.ai Digimarc partnership link) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.datatrails.ai/digimarc-partnership/
digimarc.com,partner_of,Global Graphics,Listed as a product partner (globalgraphics.com SmartDFE link) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.globalgraphics.com/products/smartdfe/
digimarc.com,partner_of,GlobalVision,Listed as a product partner (globalvision.co) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://globalvision.co/gvd/
digimarc.com,partner_of,Honeywell,Listed as a product partner (Honeywell productivity products link) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://sps.honeywell.com/us/en/products/productivity
digimarc.com,partner_of,HYBRID Software,Listed as a product partner (hybridsoftware.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.hybridsoftware.com/
digimarc.com,partner_of,Jet Letter,Listed as a product partner (jetletter.net) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://jetletter.net/
digimarc.com,partner_of,Laseris,Listed as a product partner (laserisse.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://laserisse.com/
digimarc.com,partner_of,Mevisco,Listed as a product partner (mevisco.com Digimarc page) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.mevisco.com/en/digimarc/
digimarc.com,partner_of,Newland AIDC,Listed as a product partner (newlandaidc.com) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.newlandaidc.com/en/
digimarc.com,partner_of,Pellenc ST,Listed as a product partner (pellencst.com Project HolyGrail 2.0 link) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.pellencst.com/project-holygrail-2-0/
digimarc.com,partner_of,Sirv,Listed as a product partner/integration (Sirv help article 'Add Digimarc to your images' linked from Digimarc partners page).,https://www.digimarc.com/partners,Product partners list includes link to https://sirv.com/help/articles/add-digimarc-to-your-images/
digimarc.com,partner_of,TOMRA,Listed as a product partner (tomra.com HolyGrail feature article link) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.tomra.com/.../holygrail-intelligent-sorting
digimarc.com,partner_of,Zebra Technologies,Listed as a product partner (zebra.com products link) on the Digimarc partners page.,https://www.digimarc.com/partners,Product partners list includes link to https://www.zebra.com/us/en/products.html
digimarc.com,partner_of,Laser ISSE,Press release names Laser ISSE as a founding member of Digimarc’s Center of Expertise program and includes a quote describing applying Digimarc digital watermarks with Laser ISSE technology.,https://www.digimarc.com/press-releases/2024/06/11/digimarc-strengthens-partner-ecosystem-powering-innovative-smart,"“Founding members of Digimarc’s CoE program include Avery Dennison, DataTrails, HP, Laser ISSE, Linked2Brands, Omron, WestRock, and Wipak.”"
digimarc.com,partner_of,Linked2Brands,Press release lists Linked2Brands as a founding member of Digimarc’s Center of Expertise program and includes a statement about partnering with Digimarc to integrate digital watermarks into packaging strategies.,https://www.digimarc.com/press-releases/2024/06/11/digimarc-strengthens-partner-ecosystem-powering-innovative-smart,"“Founding members of Digimarc’s CoE program include Avery Dennison, DataTrails, HP, Laser ISSE, Linked2Brands, Omron, WestRock, and Wipak.”"
digimarc.com,partner_of,Grove Partners,"Press release lists a media contact from Grove Partners, indicating PR/media relations support for Digimarc on this announcement.",https://www.digimarc.com/press-releases/2024/06/11/digimarc-strengthens-partner-ecosystem-powering-innovative-smart,“Media Contacts: … Anneka Kumli Grove Partners … anneka@thegrovepartners.com”
digimarc.com,uses,OneTrust,Cookie consent banner indicates Digimarc site uses OneTrust’s cookie consent product.,https://www.digimarc.com/press-releases/2024/06/11/digimarc-strengthens-partner-ecosystem-powering-innovative-smart,Link on page to OneTrust cookie consent: https://www.onetrust.com/products/cookie-consent/
digimarc.com,partner_of,Wipak,Press release states Digimarc and Wipak announced a strategic partnership combining Digimarc digital watermarks with Wipak printed film technology for sustainable packaging and recycling.,https://www.digimarc.com/press-releases/2024/06/25/digimarc-and-wipak-partner-enhance-sustainability-and-profitability,“Digimarc Corporation … and Wipak … today announced a strategic partnership…”
digimarc.com,partner_of,Wihuri,"Press release notes Wipak is part of the family-owned Wihuri business conglomerate; this indicates Wipak’s corporate affiliation but not a direct Digimarc relationship, so not included as a relationship.",https://www.digimarc.com/press-releases/2024/06/25/digimarc-and-wipak-partner-enhance-sustainability-and-profitability,“Wipak … is part of the family-owned Wihuri business conglomerate.”
digimarc.com,vendor_of,Broadridge Corporate Issuer Solutions,Digimarc identifies Broadridge Corporate Issuer Solutions as its stock transfer agent for handling stock certificate and ownership questions.,https://www.digimarc.com/company/investors/frequently-asked-questions,“All questions concerning stock certificates and ownership should be directed to Digimarc's transfer agent: Broadridge Corporate Issuer Solutions”
digimarc.com,vendor_of,KPMG,Investor FAQ states KPMG is Digimarc's independent auditor.,https://www.digimarc.com/company/investors/frequently-asked-questions,“Who are the company's independent auditors? KPMG.”
digimarc.com,partner_of,Honeywell,Press release states Digimarc Corporation and Honeywell have teamed up to help retailers and brands fight gift card fraud; Honeywell will integrate Digimarc’s on-scanner software across its handheld retail scanners.,https://finance.yahoo.com/news/digimarc-honeywell-partner-combat-gift-130000169.html,“Digimarc Corporation … and Honeywell … have teamed up to help retailers and brands fight gift card fraud.”
digimarc.com,uses,NRF (National Retail Federation),"Press release notes Honeywell will showcase the Digimarc solution at the NRF show, implying participation/use of NRF event platform for promotion.",https://finance.yahoo.com/news/digimarc-honeywell-partner-combat-gift-130000169.html,“Honeywell will also be showcasing the Digimarc solution … at the NRF show … in January 2026.”
digimarc.com,partner_of,SGK,Article states SGK is a trusted partner of HYBRID Software and Digimarc and has implemented new Digimarc functionality in HYBRID’s Cloudflow packaging workflow system across its facilities worldwide as part of the collaboration.,https://www.labelandnarrowweb.com/breaking-news/hybrid-software-partners-with-digimarc-corporation/,"“SGK, a global provider of packaging and brand experiences and trusted partner of Hybrid Software and Digimarc, has implemented new Digimarc functionality in Hybrid’s Clouflow packaging workflow system, across its facilities worldwide.”"
