Source,Relationship,Target,Reason,Evidence URL,Evidence Text
stocktwits.com,partner_of,QUODD,The page explicitly announces a partnership and describes Stocktwits integrating QUODD’s Overnight API to provide after-hours market data to its users.,https://www.quodd.com/insights/quodd-and-stocktwits-real-time-24x5-market-data,“QUODD and Stocktwits Partner to Bring Real-Time 24x5 U.S. Market Data…”
stocktwits.com,uses,QUODD Overnight API,Stocktwits is described as integrating and tapping into QUODD’s Overnight API to enhance its platform with after-hours market data and sentiment features.,https://www.quodd.com/insights/quodd-and-stocktwits-real-time-24x5-market-data,“Stocktwits… is among the first customers to integrate the API”
stocktwits.com,uses,Blue Ocean ATS (BOATS),"The data Stocktwits accesses via QUODD’s Overnight API is stated to be sourced from Blue Ocean ATS (BOATS), implying Stocktwits’ after-hours data ultimately relies on BOATS through the QUODD feed.",https://www.quodd.com/insights/quodd-and-stocktwits-real-time-24x5-market-data,"“QUODD’s Overnight API delivers comprehensive, real‑time pricing and quote data sourced from Blue Ocean ATS (BOATS).”"
stocktwits.com,partner_of,Quartr,Press release states Quartr and Stocktwits announced a partnership and that Quartr's API is integrated into the Stocktwits platform.,https://quartr.com/newsroom/press-release/quartr-partners-with-stocktwits-announces-one-of-its-largest-api-deals-to-date,“Quartr… today announces its partnership with Stocktwits…”
stocktwits.com,uses,Quartr API,The page explains Stocktwits will leverage/integrate Quartr's API solution to provide users access to earnings calls and documents.,https://quartr.com/newsroom/press-release/quartr-partners-with-stocktwits-announces-one-of-its-largest-api-deals-to-date,“This partnership enables Stocktwits to leverage Quartr's API solution…”
stocktwits.com,uses,NewSpring Holdings,"Press release describes QUODD as a NewSpring Holdings platform company; since Stocktwits integrates and uses QUODD's Overnight API, it indirectly relies on a NewSpring Holdings platform company for market data services.",https://www.prnewswire.com/news-releases/quodd-and-stocktwits-partner-to-bring-real-time-24x5-us-market-data-to-global-investor-community-302614749.html,"""QUODD, a financial market data provider for the global financial services industry and a NewSpring Holdings platform company, announced that its Overnight API is officially live. Stocktwits ... is among the first customers to integrate the API"""
stocktwits.com,partner_of,Quiver Quantitative,"Article states Stocktwits is partnering/joining forces with Quiver Quantitative and has chosen Quiver Quantitative as its official Congressional Trade Tracker, bringing Quiver’s congressional trading data and posts to the Stocktwits platform.",https://www.quiverquant.com/news/Stocktwits%20Partners%20with%20Quiver%20Quantitative%20to%20Shine%20Light%20on%20Congressional%20Stock%20Trading,"“Stocktwits has chosen Quiver Quantitative as their official Congressional Trade Tracker, joining forces to make it easier for Stocktwits users to track politicians’ trading.”"
stocktwits.com,reseller_of,RapidAPI,"StockTwits API is listed and distributed through RapidAPI, indicating StockTwits offers its API to developers via the RapidAPI marketplace.",https://rapidapi.com/stocktwits/api/stocktwits,“StockTwits API Documentation Free with API Key & SDK | RapidAPI” and “Provider Info API creator … by stocktwits”
stocktwits.com,partner_of,Databricks Marketplace,"Stocktwits is listed as a provider on Databricks Marketplace, offering the 'Stocktwits Messages API' with paid/by-request access, indicating a distribution partnership via the marketplace.",https://marketplace.databricks.com/details/1b5033c7-1709-4367-9a9b-3f33a54facb4/Stocktwits_Stocktwits-Messages-API,“Stocktwits Messages API - Databricks Marketplace” ... “About this provider Stocktwits” ... “Pricing Paid Access By request”
stocktwits.com,reseller_of,Databricks Marketplace,"By publishing and selling/providing access to its Messages API through Databricks Marketplace, Stocktwits is effectively distributing/reselling its data product via Databricks’ marketplace channel.",https://marketplace.databricks.com/details/1b5033c7-1709-4367-9a9b-3f33a54facb4/Stocktwits_Stocktwits-Messages-API,“Get access” ... “Pricing Paid” ... “Access By request”
stocktwits.com,partner_of,Alpaca,Alpaca blog post announces a partnership and describes an integration that lets Alpaca Broker API partners provide Stocktwits content/sentiment via Stocktwits’ API through Alpaca.,https://alpaca.markets/blog/provide-real-time-social-sentiment-to-customers-with-alpacas-stocktwits-integration/,“Alpaca is excited to announce our partnership with Stocktwits…”
stocktwits.com,partner_of,Alpaca Broker API,"The post states Stocktwits’ API integration is available to Alpaca’s Broker API partners, indicating a partnership/integration relationship with the Alpaca Broker API product ecosystem.",https://alpaca.markets/blog/provide-real-time-social-sentiment-to-customers-with-alpacas-stocktwits-integration/,"“With this integration, Alpaca’s Broker API partners can provide customers with community-driven insights…”"
stocktwits.com,partner_of,Stocktwits Everywhere,"The post describes “Stocktwits Everywhere” as an initiative to distribute Stocktwits data/content off-platform, and states Alpaca is a strategic partner in it (implying Stocktwits’ relationship with that initiative and its partner ecosystem).",https://alpaca.markets/blog/provide-real-time-social-sentiment-to-customers-with-alpacas-stocktwits-integration/,“Stocktwits… launched an initiative called ‘Stocktwits Everywhere’ in which Alpaca is a strategic partner.”
stocktwits.com,uses,Alpaca Broker API,The integration described indicates Stocktwits’ API/content is delivered to brokers through Alpaca’s Broker API partner network; Stocktwits effectively leverages Alpaca’s Broker API channel to reach customers outside Stocktwits’ own platform.,https://alpaca.markets/blog/provide-real-time-social-sentiment-to-customers-with-alpacas-stocktwits-integration/,"“With this integration, Alpaca’s Broker API partners can provide customers with…”"
