Source,Relationship,Target,Reason,Evidence URL,Evidence Text
tradeindia.com,partner_of,Toyo Technical Services,"Listed on TradeIndia 'Systems Integrators Manufacturers | Suppliers in India' page as a member company/supplier, indicating a business association on the TradeIndia B2B platform.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Systems Integrators Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Toyo Technical Services Vadodara, India | 16 Years |"
tradeindia.com,partner_of,Micro Teknik,"Listed on TradeIndia 'Systems Integrators Manufacturers | Suppliers in India' page as a member company/supplier, indicating a business association on the TradeIndia B2B platform.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Systems Integrators Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Micro Teknik Ambala Cantt, India | 13 Years |"
tradeindia.com,partner_of,Airi Sense Technologies Private Limited,"Listed on TradeIndia 'Systems Integrators Manufacturers | Suppliers in India' page as a member company/supplier, indicating a business association on the TradeIndia B2B platform.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Systems Integrators Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Airi Sense Technologies Private Limited Indore, India | 4 Years |"
tradeindia.com,partner_of,Riverside Medical,"Listed on TradeIndia 'Systems Integrators Manufacturers | Suppliers in India' page as a member company/supplier, indicating a business association on the TradeIndia B2B platform.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Systems Integrators Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Riverside Medical Ahmedabad, India | 3 Years |"
tradeindia.com,partner_of,N. P. Technoserve,"Listed on TradeIndia 'Systems Integrators Manufacturers | Suppliers in India' page as a member company/supplier, indicating a business association on the TradeIndia B2B platform.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Systems Integrators Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| N. P. Technoserve Durgapur, India | 2 Years |"
tradeindia.com,partner_of,Omega Medsurge,"Listed on TradeIndia 'Systems Integrators Manufacturers | Suppliers in India' page as a member company/supplier, indicating a business association on the TradeIndia B2B platform.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Systems Integrators Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Omega Medsurge Hyderabad, India | 2 Years |"
tradeindia.com,partner_of,Perfect Mark Technology,"Listed on TradeIndia 'Systems Integrators Manufacturers | Suppliers in India' page as a member company/supplier, indicating a business association on the TradeIndia B2B platform.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Systems Integrators Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Perfect Mark Technology Pune, India | 2 Years |"
tradeindia.com,partner_of,Deep It Solutions,"Listed on TradeIndia 'Systems Integrators Manufacturers | Suppliers in India' page as a member company/supplier, indicating a business association on the TradeIndia B2B platform.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Systems Integrators Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Deep It Solutions Gurugram, India | 1 Years |"
tradeindia.com,partner_of,Cisco,"A product listing on the page is titled 'Cisco Network Switch System Integrator', indicating Cisco-branded product offering on TradeIndia marketplace.",https://www.tradeindia.com/manufacturers/systems-integrators.html,Cisco Network Switch System Integrator
tradeindia.com,partner_of,GE,"A product listing on the page is titled 'GE IP System Integrator', indicating GE-branded product offering on TradeIndia marketplace.",https://www.tradeindia.com/manufacturers/systems-integrators.html,GE IP System Integrator
tradeindia.com,partner_of,SAP,"A product listing on the page 'Web and ERP Systems Integration' states compatibility with 'SAP, others', indicating SAP-related integration offerings listed on TradeIndia.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Web and ERP Systems Integration

Compatibility SAP, others"
tradeindia.com,partner_of,Beckhoff,"A product listing on the page 'Robot System Integration' mentions 'PLC Beckhoff, Mitsubishi', indicating Beckhoff-related integration offerings listed on TradeIndia.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Robot System Integration

PLC Beckhoff, Mitsubishi"
tradeindia.com,partner_of,Mitsubishi,"A product listing on the page 'Robot System Integration' mentions 'PLC Beckhoff, Mitsubishi', indicating Mitsubishi-related integration offerings listed on TradeIndia.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Robot System Integration

PLC Beckhoff, Mitsubishi"
tradeindia.com,partner_of,Motoman,"A product listing on the page 'Robot System Integration' mentions 'Robots Motoman, Fanuc, ABB', indicating Motoman-related offerings listed on TradeIndia.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Robot System Integration

Robots Motoman, Fanuc, ABB"
tradeindia.com,partner_of,Fanuc,"A product listing on the page 'Robot System Integration' mentions 'Robots Motoman, Fanuc, ABB', indicating Fanuc-related offerings listed on TradeIndia.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Robot System Integration

Robots Motoman, Fanuc, ABB"
tradeindia.com,partner_of,ABB,"A product listing on the page 'Robot System Integration' mentions 'Robots Motoman, Fanuc, ABB', indicating ABB-related offerings listed on TradeIndia.",https://www.tradeindia.com/manufacturers/systems-integrators.html,"Robot System Integration

Robots Motoman, Fanuc, ABB"
tradeindia.com,partner_of,Multitech Industrial Solutions,Listed on TradeIndia 'Control System Integration Manufacturers | Suppliers in India' page as a manufacturer/supplier member company.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Control System Integration Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Multitech Industrial SolutionsNoida, India | 3 Years |"
tradeindia.com,partner_of,Rajratan Semiconductors,Listed on TradeIndia 'Control System Integration Manufacturers | Suppliers in India' page as a member company (top manufacturer/supplier/trader).,https://www.tradeindia.com/manufacturers/control-system-integration.html,"The top control system integration manufacturers are

* Multitech Industrial Solutions
* Rajratan Semiconductors
...

Control System Integration Manufacturers | Suppliers in India

| Rajratan SemiconductorsMumbai, India | 3 Years |"
tradeindia.com,partner_of,Asiatic Traders,Listed on TradeIndia 'Control System Integration Manufacturers | Suppliers in India' page as a manufacturer/distributor member company.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Control System Integration Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Asiatic TradersIndore, India | 3 Years |"
tradeindia.com,partner_of,Xi' An Sino-dragon Import & Export Co Ltd.,Listed on TradeIndia 'Control System Integration Manufacturers | Suppliers in India' page as a manufacturer/exporter member company.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Control System Integration Manufacturers | Suppliers in India

| Company Name | Member Since |
| --- | --- |
| Xi' An Sino-dragon Import & Export Co Ltd.Xian, China | 2 Years |"
tradeindia.com,partner_of,Asiatic Traders,"A product listing ('Cloud Based Integration And Control') on the page is offered by Asiatic Traders, indicating marketplace association.",https://www.tradeindia.com/manufacturers/control-system-integration.html,"Cloud Based Integration And Control - Application: Industrial

... 

Asiatic Traders"
tradeindia.com,partner_of,Orion Electronics,Orion Electronics is listed on the page as a manufacturer/exporter offering 'Drive For Programmable Logic Controller System Integrators'.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Drive For Programmable Logic Controller System Integrators

... 

Orion Electronics"
tradeindia.com,partner_of,Acore Infosystems Private Limited,Acore Infosystems Private Limited is listed on the page as a service provider/trading company offering 'System Integration'.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"System Integration - Advanced Implementation and Maintenance Solutions...

Acore Infosystems Private Limited"
tradeindia.com,partner_of,Altech Automation & Systems Integration Pvt. Ltd.,Listed on the page as a manufacturer/supplier offering 'General System Integration'.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"General System Integration

...

Altech Automation & Systems Integration Pvt. Ltd."
tradeindia.com,partner_of,Innovative Contrrols,Listed on the page as a manufacturer/distributor offering 'Industrial Control Panels - Customizable Design'.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Industrial Control Panels - Customizable Design , ISI, CSA, UL, NFPA 79 Compliance

...

Innovative Contrrols"
tradeindia.com,partner_of,Awt Technologies Pvt. Ltd.,Listed on the page as a manufacturer/supplier offering 'Integrated Control Systems'.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Integrated Control Systems - Online Data Collection...

Awt Technologies Pvt. Ltd."
tradeindia.com,partner_of,Care Pack Solutions,Listed on the page as a manufacturer/supplier offering 'System Integration Solutions'.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"System Integration Solutions - Comprehensive Information Security Architecture...

Care Pack Solutions"
tradeindia.com,partner_of,Presto Infosolutions Pvt Ltd,Listed on the page as a distributor that deals in 'Control System Integration'.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Presto Infosolutions Pvt Ltd

Business Type:Distributor

Deals in:

... Control System Integration"
tradeindia.com,partner_of,Hcl Technologies Ltd,Listed on the page as a service provider that deals in 'Control System Integration'.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Hcl Technologies Ltd

Business Type:Service Provider

Deals in:

Control System Integration"
tradeindia.com,partner_of,Ascent Techno Solutions Pvt. Ltd.,Listed in 'Show More Results' section as a service provider (supplier listing) on TradeIndia page.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Ascent Techno Solutions Pvt. Ltd.

Thane

Business Type:Service Provider"
tradeindia.com,partner_of,Actis Technologies Pvt. Ltd.,Listed in 'Show More Results' section as a manufacturer/service provider on TradeIndia page.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Actis Technologies Pvt. Ltd.

Mumbai

Business Type:Manufacturer | Service Provider"
tradeindia.com,partner_of,Precise Automation,Listed in 'Show More Results' section as a manufacturer on TradeIndia page.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Precise Automation

Pune

Business Type:Manufacturer"
tradeindia.com,partner_of,Cosmos Business Machines Pvt. Ltd.,Listed in 'Show More Results' section as a distributor on TradeIndia page.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Cosmos Business Machines Pvt. Ltd.

Ahmedabad

Business Type:Distributor"
tradeindia.com,partner_of,Insyde Security System,Listed in 'Show More Results' section as a manufacturer/service provider on TradeIndia page.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Insyde Security System

Begusarai

Business Type:Manufacturer | Service Provider"
tradeindia.com,partner_of,Renil Tech Engineering Solutions,Listed in results as a service provider on TradeIndia page for control system integration.,https://www.tradeindia.com/manufacturers/control-system-integration.html,"Renil Tech Engineering Solutions

Bengaluru

Business Type:Service Provider"
tradeindia.com,partner_of,HNL SYSTEMS PVT. LTD.,"Appears in 'Client Testimonials & Reviews' section with a testimonial about working with TradeIndia, implying client relationship.",https://www.tradeindia.com/manufacturers/control-system-integration.html,"Client Testimonials & Reviews

HNL SYSTEMS PVT. LTD.

""It was a nice experience working with tradeindia and glad to have good transparent policies."""
