Source,Relationship,Target,Reason,Evidence URL,Evidence Text
loganfuneralhomes.com,uses,Family Shield Credit,Site offers payment plans/financing via a linked credit application hosted on Family Shield Credit (familyshieldcredit.com).,https://www.loganfuneralhomes.com/,"Payment Plans & Financing ... Credit Application
...
https://app.familyshieldcredit.com/"
loganfuneralhomes.com,uses,Consolidated Funeral Services (CFS),"Homepage footer credits the website provider as CFS & TA, indicating the site is built/maintained by Consolidated Funeral Services.",https://www.loganfuneralhomes.com/,Funeral Home website by CFS & TA
loganfuneralhomes.com,uses,Tribute Archive,"Homepage links to Tribute Archive, indicating use of Tribute Archive platform/service (commonly for obituaries/tributes).",https://www.loganfuneralhomes.com/,https://www.tributearchive.com
loganfuneralhomes.com,partner_of,Cleo,Article states Cleo has partnered with Logan Consulting; not related to loganfuneralhomes.com (a funeral home). No relationships involving loganfuneralhomes.com found on the page.,https://www.materialhandling247.com/article/cleo-logan-consulting-partnership-erp-b2b-integration,"""Cleo has partnered with Logan Consulting to offer scalable solutions to integrate ERP and eCommerce platforms."""
loganfuneralhomes.com,uses,Passare,"The Passare guide describes integrations and tools available within Passare funeral home software, indicating that Passare is a funeral home software vendor relevant to the funeral home software stack (though the page does not explicitly mention Logan Funeral Homes). This is the closest implied relationship available from the investigated page content.",https://www.passare.com/guides/the-ultimate-guide-to-funeral-home-software,"""Passare has integrations with 30+ other services to help save you time on data entry."""
loganfuneralhomes.com,uses,Funeral Directors Life,"The page states Passare has a preneed integration with Funeral Directors Life; this is a potential vendor integration a funeral home could use. No explicit mention of Logan Funeral Homes using it, but it is a concrete company relationship described on the page.",https://www.passare.com/guides/the-ultimate-guide-to-funeral-home-software,"""Passare integrates with several memorial printing companies, aftercare services, accounting platforms, and payment processors, including life insurance assignments and the first preneed integration with Funeral Directors Life."""
loganfuneralhomes.com,uses,McKee Wallwork + Co.,The guide cites survey research conducted with McKee Wallwork + Co.; indicates Passare/Directors Investment Group used MW+C for research. Not specific to Logan Funeral Homes.,https://www.passare.com/guides/the-ultimate-guide-to-funeral-home-software,"""In a funeral consumer survey our team conducted with McKee Wallwork + Co., 36% of people said they were comfortable planning a funeral online"""
loganfuneralhomes.com,uses,Directors Investment Group (DIG),The page describes Directors Investment Group as Passare's parent company; indicates corporate relationship relevant to Passare ecosystem; not specific to Logan Funeral Homes.,https://www.passare.com/guides/the-ultimate-guide-to-funeral-home-software,"""...McKee Wallwork + Co (MW+C) and Directors Investment Group (our parent company!)."""
loganfuneralhomes.com,partner_of,Logan Consulting,Article describes Logan Consulting (not Logan Funeral Homes) as a consulting firm and repeatedly references its work with clients and partnership context; included here as an explicit Logan-related company mentioned on the page (though not tied to the funeral home domain).,https://airfreight.news/articles/full/cleo-and-logan-consulting-partner-to-empower-businesses-with-scalable-integration-solutions-across-erp-and-b2b-ecommerce-platforms,"""Cleo... announced today it is partnering with Logan Consulting"""
loganfuneralhomes.com,partner_of,Cleo,The page explicitly states Cleo is partnering with Logan Consulting (not Logan Funeral Homes); this is a concrete partnership relationship found on the page content.,https://airfreight.news/articles/full/cleo-and-logan-consulting-partner-to-empower-businesses-with-scalable-integration-solutions-across-erp-and-b2b-ecommerce-platforms,"""Cleo... announced today it is partnering with Logan Consulting""; ""We are excited to partner with Logan Consulting"""
