Source,Relationship,Target,Reason,Evidence URL,Evidence Text
mindtools.com,partner_of,Skillcast,"On the partnerships page, Mindtools states it partners with Skillcast to deliver compliance content across the UK (listed under Technology Partners).",https://www.mindtools.com/services/partnerships/,"""We partner with the likes of Skillcast to deliver compliance content across the UK"""
mindtools.com,partner_of,Assemble You,"On the partnerships page, Mindtools states it partners with Assemble You to provide Microsoft Shorts tutorials (listed under Technology Partners).",https://www.mindtools.com/services/partnerships/,"""We partner with the likes of Skillcast to deliver compliance content across the UK and Assemble You to provide Microsoft Shorts—engaging, TikTok-style 10-minute tutorials"""
mindtools.com,partner_of,HowNow,"Partner testimonial indicates Mindtools content is featured on HowNow+ platform, implying a partnership relationship with HowNow.",https://www.mindtools.com/services/partnerships/,"""Mindtools’ addition to HowNow+ was a game changer... We are thrilled to have Mind Tools on our platform"""
mindtools.com,partner_of,People Unboxed,Partner testimonial says they are proud to partner with Mind Tools and feature their content across their leadership development offering.,https://www.mindtools.com/services/partnerships/,"""We are very proud to partner with Mind Tools and feature their content across our leadership development offering."""
mindtools.com,partner_of,StackOne,StackOne case study states Mindtools partnered with StackOne to offload integration work and deploy enterprise LMS integrations (SSO and LMS connectivity).,https://www.stackone.com/case-studies/mindtools,"""Mindtools... partnered with StackOne to revolutionize its integration approach."""
mindtools.com,uses,SAP SuccessFactors,Case study highlights Mindtools deployed an integration with SAP SuccessFactors using StackOne.,https://www.stackone.com/case-studies/mindtools,"""Rapid integration setup of SAP SuccessFactors, Workday, and Go1."""
mindtools.com,uses,Workday,Case study describes Mindtools integrating with Workday (and notes a client renewed thanks to seamless Workday integration achieved with StackOne).,https://www.stackone.com/case-studies/mindtools,"""Rapid integration setup of SAP SuccessFactors, Workday, and Go1."" ""...renewed their partnership with us thanks to the seamless Workday integration we achieved in collaboration with StackOne."""
mindtools.com,uses,Go1,Case study highlights Mindtools rapidly deployed an integration with Go1 using StackOne.,https://www.stackone.com/case-studies/mindtools,"""Rapid integration setup of SAP SuccessFactors, Workday, and Go1."""
mindtools.com,uses,Degreed,"Onboarding section says Mindtools moved from a custom-built integration with Degreed to supporting other major platforms, implying prior use/integration with Degreed.",https://www.stackone.com/case-studies/mindtools,"""Mindtools quickly moved from a custom-built integration with Degreed to supporting major platforms—SAP SuccessFactors, Workday, and Go1."""
mindtools.com,partner_of,Kineo,"Mindtools states it acquired Kineo in May 2025, bringing together two learning and development providers, and directs readers to visit Kineo's website.",https://www.mindtools.com/about-us/our-story/,"""In May 2025, Mindtools acquired Kineo, bringing together two leading learning and development providers."" ""Visit the Kineo website to find out more."""
mindtools.com,vendor_of,Standard Life Aberdeen,Mindtools lists an award entry indicating it delivered an external learning solution with Standard Life Aberdeen (implying Standard Life Aberdeen was a client for that solution).,https://www.mindtools.com/about-us/our-story/,"""2018 / 2019 External Learning Solution of the Year (Bronze) The Learning Awards With Standard Life Aberdeen"""
mindtools.com,vendor_of,Golden Charter,"Award listing indicates Mindtools delivered a technology-based onboarding programme with Golden Charter, implying a client engagement.",https://www.mindtools.com/about-us/our-story/,"""Best technology-based onboarding programme (Finalist) Learning Technologies Awards With Golden Charter"""
mindtools.com,vendor_of,International Baccalaureate,"Award listing indicates Mindtools delivered learning content design work with International Baccalaureate, implying a client engagement.",https://www.mindtools.com/about-us/our-story/,"""Excellence in the Design of Learning Content (Finalist) Learning Technologies Awards With International Baccalaureate"""
mindtools.com,vendor_of,Scottish Enterprise,"Award listing indicates Mindtools delivered a blended learning solution with Scottish Enterprise, implying a client engagement.",https://www.mindtools.com/about-us/our-story/,"""Best Use of Blended Learning – Public & Non-profit Sector (Gold) Learning Technologies Awards With Scottish Enterprise"""
mindtools.com,vendor_of,Burberry,"Multiple award listings show Mindtools delivered learning content/design and external learning solutions with Burberry, implying a client engagement.",https://www.mindtools.com/about-us/our-story/,"""2022 ... Excellence in the Design of Learning Content – Commercial (Finalist) ... With Burberry"" ""2023 External Learning Solution of the Year (Finalist) The Learning Awards With Burberry"""
mindtools.com,vendor_of,Heathrow,"Award listings show Mindtools delivered learning culture/blended learning and content design work with Heathrow, implying a client engagement.",https://www.mindtools.com/about-us/our-story/,"""2023 Learning Culture of the Year (Finalist) The Learning Awards With Heathrow"" ""2024 Excellence in the Design of Learning Content – Commercial Sector (Finalist) Learning Technologies Awards With Heathrow"""
mindtools.com,vendor_of,South Western Railway,"Award listing indicates Mindtools delivered a blended learning solution with South Western Railway, implying a client engagement.",https://www.mindtools.com/about-us/our-story/,"""2024 Best Use of Blended Learning – Commercial Sector (Gold) Learning Technologies Awards With South Western Railway"""
mindtools.com,vendor_of,Deloitte,"Award listing indicates Mindtools delivered a blended learning solution with Deloitte, implying a client engagement.",https://www.mindtools.com/about-us/our-story/,"""Best Use of Blended Learning – Commercial Sector (Finalist) Learning Technologies Awards With Deloitte"""
mindtools.com,partner_of,Cambridge Information Group,"Mindtools states it is part of Cambridge Information Group (CIG), indicating a corporate parent/affiliation relationship.",https://www.mindtools.com/about-us/our-story/,"""We are part of Cambridge Information Group (CIG) – a family-owned investment firm..."""
