Source,Relationship,Target,Reason,Evidence URL,Evidence Text
dreamfindershomes.com,uses,Google reCAPTCHA,The homepage contact form states the site is protected by reCAPTCHA and references Google's Privacy Policy and Terms of Service.,https://dreamfindershomes.com/,"""This site is protected by reCAPTCHA and the Google Privacy Policy & Terms of Service apply."""
dreamfindershomes.com,vendor_of,Homefiniti,The homepage footer credits the site as being powered by Homefiniti.,https://dreamfindershomes.com/,"""Powered by Homefiniti ®."""
dreamfindershomes.com,vendor_of,ONeil Interactive,The homepage footer credits the site as being engineered by ONeil Interactive.,https://dreamfindershomes.com/,"""Engineered by ONeil Interactive ."""
dreamfindershomes.com,uses,Jet HomeLoans,"The About Us page navigation includes a 'Get Pre Qualified' link pointing to jethl.com (Jet HomeLoans), indicating Dream Finders Homes directs users to Jet HomeLoans for pre-qualification/financing.",https://dreamfindershomes.com/about-us/,Navigation includes “Get Pre Qualified” linking to https://jethl.com/find-a-loan-officer
dreamfindershomes.com,uses,Biller Payments,"The About Us page includes a 'Payment Portal' link that goes to billerpayments.com (SimplePay UI), indicating Dream Finders Homes uses Biller Payments for online payments.",https://dreamfindershomes.com/about-us/,“Payment Portal” links to https://www.billerpayments.com/app/simplepayui/?bsn=dfhs#/simplepay/payment
dreamfindershomes.com,partner_of,Coventry Homes,"The About Us page lists markets such as 'Austin (Coventry Homes)' and links out to coventryhomes.com for Texas markets, indicating an affiliated brand/partnership relationship.",https://dreamfindershomes.com/about-us/,"Menu items include “Austin (Coventry Homes)”, “Dallas/Fort Worth (Coventry Homes)”, “Houston (Coventry Homes)”, “San Antonio (Coventry Homes)” with links to https://www.coventryhomes.com/..."
dreamfindershomes.com,uses,QuoteMedia,The Investor Relations page includes stock quote/market data provided by QuoteMedia.,https://investors.dreamfindershomes.com/,“Market Data copyright © 2026 QuoteMedia… Market Data powered by QuoteMedia.”
dreamfindershomes.com,partner_of,Craft Homes,"The Connect page includes an Orlando market labeled 'Orlando (Craft Homes)' and links to crafthomes.com, indicating Dream Finders Homes has an affiliated brand/partner relationship with Craft Homes.",https://dreamfindershomes.com/connect/,Navigation/market list includes “Orlando (Craft Homes)” and links out to https://www.crafthomes.com/
dreamfindershomes.com,partner_of,DF Luxury Homes,"The Connect page navigation includes a link to DF Luxury Homes (dfluxuryhomes.com), indicating an affiliated luxury division/brand relationship.",https://dreamfindershomes.com/connect/,Link in site navigation: “Ponte Vedra Beach Custom Homes (DF Luxury Homes)” linking to https://www.dfluxuryhomes.com/
dreamfindershomes.com,partner_of,Dream Finders Active Adult,"The Connect page includes a link to Dream Finders Active Adult (dreamfindersactiveadult.com), suggesting a related division/brand relationship.",https://dreamfindershomes.com/connect/,Navigation includes “Active Adult Lifestyle” linking to https://dreamfindersactiveadult.com/
