Source,Relationship,Target,Reason,Evidence URL,Evidence Text
bakkt.com,vendor_of,Distributed Technologies Research Ltd,"Homepage announcement indicates Bakkt agreed to acquire Distributed Technologies Research Ltd, establishing a corporate transaction relationship.",https://bakkt.com/,“Bakkt Agrees to Acquire Distributed Technologies Research Ltd” (homepage announcement link).
bakkt.com,partner_of,Apple,"Bakkt Loyalty Solutions offers an Apple Rewards storefront and states it provides an authentic Apple shopping experience backed by Bakkt, indicating a partnership/integration to offer Apple products and services (e.g., AppleCare+).",https://loyalty.bakkt.com/,"“Bakkt Loyalty Solutions powers loyalty commerce across the full range of loyalty currencies and experiences, including travel, gift cards, general merchandise and Apple® products.”"
bakkt.com,partner_of,"Intercontinental Exchange, Inc.","Press release states Intercontinental Exchange, Inc. beneficially owns ~31% of Bakkt’s Class A common stock and agreed to vote its shares in favor of Bakkt’s acquisition of Distributed Technologies Research Ltd.",https://bakkt.com/insights/bakkt-agrees-to-acquire-distributed-technologies-research-ltd/,"“In connection with the transaction, Intercontinental Exchange, Inc., which beneficially owns approximately 31% of Bakkt’s outstanding Class A common stock as of the date hereof, has agreed to vote such shares in favor of the transaction.”"
bakkt.com,partner_of,New York Stock Exchange,"Bakkt states it will host an Investor Day at the New York Stock Exchange and expects to continue trading on NYSE under ticker BKKT, indicating an exchange listing/venue relationship.",https://bakkt.com/insights/bakkt-agrees-to-acquire-distributed-technologies-research-ltd/,"“Investor Day scheduled for March 17, 2026 at the New York Stock Exchange”"
bakkt.com,vendor_of,Orange Group,"Media/investor relations contact listed as Orange Group with an email address, implying Orange Group provides IR/advisory services to Bakkt.",https://bakkt.com/insights/bakkt-agrees-to-acquire-distributed-technologies-research-ltd/,"“For investor and media inquiries, please contact: Investor Relations Yujia Zhai Orange Group yujia@orangegroupadvisors.com”"
bakkt.com,vendor_of,Luna PR,"Press release lists Luna PR as media contact for Bakkt, implying PR/communications vendor relationship.",https://bakkt.com/insights/bakkt-agrees-to-acquire-distributed-technologies-research-ltd/,“Media Luna PR Gregor@lunapr.io Laura@lunapr.io”
bakkt.com,partner_of,Mastercard,CoinMarketCap article states Mastercard’s crypto rollout is powered by Bakkt and explicitly says Mastercard partnered with Bakkt to integrate cryptocurrencies into its payment network and offer crypto services via the Bakkt platform.,https://coinmarketcap.com/academy/article/a-deep-dive-into-bakkt,“A major one — Mastercard's integration of cryptocurrencies into its payment network… And one company is behind Mastercard's crypto roll-out — Bakkt.”
bakkt.com,partner_of,Google,Article explicitly says Bakkt partnered with Google and describes access to Google Cloud/Analytics/financial services as part of the partnership.,https://coinmarketcap.com/academy/article/a-deep-dive-into-bakkt,"“Bakkt has partnered with Google to have access to Google Cloud, Google analytics and Google financial services.”"
bakkt.com,uses,Google Cloud,"Within the described partnership with Google, the article states Bakkt uses Google Cloud for access to cloud infrastructure and storage.",https://coinmarketcap.com/academy/article/a-deep-dive-into-bakkt,“Bakkt has partnered with Google to have access to Google Cloud…”
bakkt.com,uses,Google Pay,"Article states Bakkt credit/debit cards can be used anywhere that accepts Google Pay, implying compatibility/use of Google Pay network.",https://coinmarketcap.com/academy/article/a-deep-dive-into-bakkt,“Some of the benefits include the Bakkt Credit and Debit Cards which can be used anywhere that accepts Google Pay or Apple Pay.”
bakkt.com,uses,Apple Pay,"Article states Bakkt credit/debit cards can be used anywhere that accepts Apple Pay, implying compatibility/use of Apple Pay network.",https://coinmarketcap.com/academy/article/a-deep-dive-into-bakkt,“Some of the benefits include the Bakkt Credit and Debit Cards which can be used anywhere that accepts Google Pay or Apple Pay.”
bakkt.com,uses,Starbucks,"Article gives an example that users can pay for coffee at Starbucks using cryptocurrency through Bakkt, indicating Starbucks as a merchant use case/acceptance example.",https://coinmarketcap.com/academy/article/a-deep-dive-into-bakkt,“platform users can use their cryptocurrency to pay for coffee at Starbucks…”
bakkt.com,partner_of,Gemini,"Article notes Mastercard partnered with Gemini for crypto-back credit cards, in the context of Mastercard’s crypto partnerships alongside Bakkt; implies Bakkt is part of broader Mastercard partner ecosystem including Gemini.",https://coinmarketcap.com/academy/article/a-deep-dive-into-bakkt,"“…other crypto-related partnerships and acquisitions by Mastercard, such as … partnering with Gemini to offer ""crypto-back"" credit cards.”"
bakkt.com,partner_of,CipherTrace,Article notes Mastercard acquired CipherTrace as part of its crypto initiatives mentioned alongside its partnership with Bakkt; provides ecosystem context around Bakkt’s Mastercard relationship.,https://coinmarketcap.com/academy/article/a-deep-dive-into-bakkt,"“…other crypto-related partnerships and acquisitions by Mastercard, such as buying leading crypto intelligence firm CipherTrace…”"
