Source,Relationship,Target,Reason,Evidence URL,Evidence Text
atera.com,partner_of,Attiva,Atera lists Attiva as an Atera Partner (partner since July 2023; partner type: Distributor).,http://www.atera.com/business-partners/,"“Atera’s partner program helped us accelerate our growth...""
Paolo Annunziata ... Attiva
Partner since: July 2023
Partner type: Distributor"
atera.com,partner_of,Microsoft,Atera includes a Microsoft quote stating they are pleased to partner with Atera.,http://www.atera.com/business-partners/,"""We are pleased to partner with Atera to further empower IT professionals in their daily operations"""
atera.com,partner_of,AIEQ,AIEQ is listed in the 'Find a Partner' directory as one of the filtered partners.,http://www.atera.com/business-partners/,"Showing: 63 filtered partners
AIEQ
South Africa"
atera.com,partner_of,AIT,AIT is listed in the 'Find a Partner' directory as one of the filtered partners.,http://www.atera.com/business-partners/,"AIT
Africa, South Africa"
atera.com,partner_of,ALSO,ALSO is listed in the 'Find a Partner' directory as one of the filtered partners.,http://www.atera.com/business-partners/,ALSO
atera.com,partner_of,Ask 4 Key,Ask 4 Key is listed in the 'Find a Partner' directory as one of the filtered partners.,http://www.atera.com/business-partners/,"Ask 4 Key
Malaysia, Thailand"
atera.com,partner_of,Assenti,Assenti is listed in the 'Find a Partner' directory as one of the filtered partners.,http://www.atera.com/business-partners/,"Assenti
Brazil"
atera.com,partner_of,Maxtec,Atera's Partners category page lists a post titled 'Maxtec and Atera announce strategic partnership' describing a strategic distribution partnership.,https://www.atera.com/blog/category/partners/,“Maxtec and Atera announce strategic partnership”… “Maxtec and Atera have joined forces… through a strategic distribution partnership.”
atera.com,partner_of,Service Dynamics,Atera's Partners category page lists a post titled 'Service Dynamics and Atera announce strategic partnership' describing a strategic partnership bringing Atera to New Zealand.,https://www.atera.com/blog/category/partners/,“Service Dynamics and Atera announce strategic partnership”… “Atera and Service Dynamics announce a strategic partnership.”
atera.com,partner_of,ITCG,Atera's Partners category page lists a post titled 'ITCG and Atera announce strategic partnership' about bringing Atera solutions to IT professionals across India.,https://www.atera.com/blog/category/partners/,"“ITCG and Atera announce strategic partnership”… “Discover how Atera and ITCG are bringing AI-driven RMM, Helpdesk, and ticketing solutions…”"
atera.com,partner_of,Intcomex,Atera's Partners category page lists a post titled 'INTCOMEX and Atera announce strategic partnership' describing joining forces to bring Atera to Latin America and the Caribbean via regional distribution and support.,https://www.atera.com/blog/category/partners/,“INTCOMEX and Atera announce strategic partnership”… “Atera and Intcomex have joined forces to bring AI-powered IT automation to Latin America and the Caribbean…”
atera.com,partner_of,Swedbyte,Atera's Partners category page lists a post titled 'Swedbyte and Atera announce strategic partnership' describing a strategic partnership in the Nordics.,https://www.atera.com/blog/category/partners/,“Swedbyte and Atera announce strategic partnership”… “Atera and Swedbyte have announced a strategic partnership…”
atera.com,partner_of,Rain Networks,Atera's Partners category page lists a post titled 'Rain Networks and Atera announce strategic partnership' describing a strategic partnership for US and Canada.,https://www.atera.com/blog/category/partners/,“Rain Networks and Atera announce strategic partnership”… “Atera and Rain Networks announce a strategic partnership…”
atera.com,partner_of,GoTo,"Atera's Partners category page lists a post about expanding capabilities with GoTo’s Miradore MDM solution, indicating a partnership/integration context.",https://www.atera.com/blog/category/partners/,“Make moves on mobile: Drive results on any device”… “Expand your IT management capabilities… with GoTo’s Miradore mobile device management (MDM) solution”
atera.com,partner_of,Squalio,Atera's Partners category page lists a post titled 'Sqaulio and Atera announce strategic partnership' describing teaming up across Europe and Central Asia.,https://www.atera.com/blog/category/partners/,“Sqaulio and Atera announce strategic partnership”… “Atera and Squalio team up to transform IT management…”
atera.com,partner_of,IRONSCALES,"Atera's Partners category page lists a post about the IRONSCALES platform enhancing protection, indicating an integration/partner relationship mention.",https://www.atera.com/blog/category/partners/,“Discover how the IRONSCALES platform can seamlessly enhance your protection against phishing and email threats.”
atera.com,partner_of,XMA,Atera's Partners category page lists a post titled 'XMA and Atera announce strategic partnership' describing a strategic partnership for UK organizations.,https://www.atera.com/blog/category/partners/,“XMA and Atera announce strategic partnership”… “Atera and XMA have formed a strategic partnership…”
atera.com,partner_of,Aufiero Informática,Atera's Partners category page lists a post titled 'Aufiero Informática and Atera announce strategic partnership' describing partnering to deliver AI-powered IT management solutions in Latin America.,https://www.atera.com/blog/category/partners/,“Aufiero Informática and Atera announce strategic partnership”… “Aufiero Informática and Atera partner to deliver AI-powered IT management solutions…”
atera.com,integrator_of,Halo (Halo Service Solutions),HALO integration page states you can integrate Halo with Atera to synchronize assets and manage alerts; it is listed as a first-party integration and describes an API link between Halo and Atera RMM.,https://usehalo.com/integration/atera-integration/,“Atera Integration — Integrate with Atera to synchronise assets and manage alerts.”
