Source,Relationship,Target,Reason,Evidence URL,Evidence Text
themerex.net,partner_of,Elementor,Listed under “Top Partners” on ThemeREX Partners page.,https://themerex.net/partners/,"Top Partners
Elementor
Ultra Modern WordPress
Page Builder"
themerex.net,partner_of,ThemeForest,Listed under “Top Partners” as ThemeForest marketplace relationship/partnership.,https://themerex.net/partners/,"Top Partners
ThemeForest
#1 Marketplace for WordPress Themes"
themerex.net,partner_of,Bluehost,Listed as a partner under “Top Partners” and again under “Hosting Companies”.,https://themerex.net/partners/,"Top Partners
Bluehost
Advanced WordPress Hosting"
themerex.net,partner_of,HubSpot,Listed under “Top Partners”.,https://themerex.net/partners/,"Top Partners
HubSpot
CRM + Analytics + Website Builder + Live Chat & Marketing"
themerex.net,partner_of,SiteGround,Listed under “Hosting Companies”.,https://themerex.net/partners/,"Hosting Companies
SiteGround
SiteGround – reliable hosting services"
themerex.net,partner_of,DigitalOcean,Listed under “Hosting Companies”.,https://themerex.net/partners/,"Hosting Companies
DigitalOcean
One of the Top Cloud Hosting Providers"
themerex.net,partner_of,InmotionHosting,Listed under “Hosting Companies”.,https://themerex.net/partners/,"Hosting Companies
InmotionHosting
Hosting services with the variety of options"
themerex.net,partner_of,Constant Contact,Listed under “Email Marketing Services”.,https://themerex.net/partners/,"Email Marketing Services
Constant Contact
Powerful Email Marketing Services"
themerex.net,partner_of,GetResponse,Listed under “Email Marketing Services”.,https://themerex.net/partners/,"Email Marketing Services
GetResponse
Intenet Email Marketing Platform"
themerex.net,partner_of,ConvertKit,Listed under “Email Marketing Services”.,https://themerex.net/partners/,"Email Marketing Services
ConvertKit
Content Oriented Email Marketing"
themerex.net,partner_of,AWeber,Listed under “Email Marketing Services”.,https://themerex.net/partners/,"Email Marketing Services
AWeber
Email Marketing Platform"
themerex.net,partner_of,Shutterstock,Listed under “More Partners”.,https://themerex.net/partners/,"More Partners
Shatterstock
The largest royalty-free photo market"
themerex.net,partner_of,WPBakery,Listed under “More Partners”.,https://themerex.net/partners/,"More Partners
WPBakery
Powerful Frontend and Backend Page Builder"
themerex.net,partner_of,Slider Revolution,Listed under “More Partners”.,https://themerex.net/partners/,"More Partners
Slider Revolution
Powerful Plugin for Building Modern, Beautiful, and Functional Sliders"
themerex.net,partner_of,Kinsta,Listed under “More Partners” (appears multiple times).,https://themerex.net/partners/,"More Partners
Kinsta
Powerful and Flexible Managed WordPress Hosting"
themerex.net,partner_of,Sendinblue,Listed under “More Partners” (appears multiple times).,https://themerex.net/partners/,"More Partners
Sendinblue
Email Marketing Automations Services"
themerex.net,partner_of,Envato Elements,Listed under “More Partners” as “Envato Elements Digital Assets Subscription Marketplace”.,https://themerex.net/partners/,"More Partners
Envato Elements
Digital Assets Subscription Marketplace"
themerex.net,partner_of,Elements,Listed under “More Partners” as “Elements Creative Assets Marketplace”.,https://themerex.net/partners/,"More Partners
Elements
Creative Assets Marketplace"
themerex.net,partner_of,Impact.com,Listed under “More Partners”.,https://themerex.net/partners/,"More Partners
Impact.com
Global Partnership management system"
themerex.net,partner_of,CouponBlender.com,Listed under “More Partners”.,https://themerex.net/partners/,"More Partners
CouponBlender.com
Saving solutions, coupons and discount deals"
themerex.net,partner_of,Jivochat,Listed under “More Partners”.,https://themerex.net/partners/,"More Partners
Jivochat
Best Online Chat Plugin for Your Site"
themerex.net,partner_of,CouponUpto.com,Listed under “More Partners”.,https://themerex.net/partners/,"More Partners
CouponUpto.com
Product reviewer and provider of saving solutions"
themerex.net,partner_of,Envato,Listed under “Envato Ecosystem” section as “Envato Ecosystem”.,https://themerex.net/partners/,"Envato Ecosystem
Envato
Ecosystem"
themerex.net,partner_of,Placeit,Listed under “Envato Ecosystem”.,https://themerex.net/partners/,"Envato Ecosystem
Placeit
Graphic Templates and Mockups"
themerex.net,uses,WooCommerce,The page discusses WooCommerce as the platform for running an online store and repeatedly frames the listed plugins as 'WooCommerce' plugins for 'your WooCommerce store'.,https://themerex.net/wp/top-15-essential-wordpress-plugins-to-power-up-your-ecommerce-store-in-2026/,"“WooCommerce is a great platform to run your online store.”
“15+ Best WordPress Plugins for Your WooCommerce Store”"
themerex.net,uses,WordPress,The page is a WordPress-focused blog post listing WordPress plugins for ecommerce and refers to 'WordPress' throughout.,https://themerex.net/wp/top-15-essential-wordpress-plugins-to-power-up-your-ecommerce-store-in-2026/,"Title: “Top 15+ Essential WordPress Plugins to Power Up Your Ecommerce Store in 2026!”
“15+ Best WordPress Plugins for Your WooCommerce Store”"
themerex.net,reseller_of,Elementra,"The Good Energy demo page includes a 'Our Bestsellers' section promoting ThemeREX products, including 'Elementra – 100% Elementor WordPress Theme' with a link to its ThemeForest listing, indicating ThemeREX sells/resells this theme via ThemeForest.",https://goodenergy.themerex.net/home-2/,“Our Bestsellers … Elementra – 100% Elementor WordPress Theme” and a link to “https://themeforest.net/item/elementra-100-elementor-wordpress-theme/57242915”
themerex.net,reseller_of,Qwery,"The 'Our Bestsellers' section on the Good Energy demo promotes 'Qwery – Multi-Purpose Business WordPress Theme + RTL', indicating ThemeREX sells this theme.",https://goodenergy.themerex.net/home-2/,“Our Bestsellers … Qwery – Multi-Purpose Business WordPress Theme + RTL”
themerex.net,reseller_of,ANN,"The Good Energy demo 'Our Bestsellers' section lists 'ANN – Artificial Neural Network AI WordPress Theme', indicating ThemeREX sells this theme.",https://goodenergy.themerex.net/home-2/,“Our Bestsellers … ANN – Artificial Neural Network AI WordPress Theme”
themerex.net,reseller_of,Anesta,"The Good Energy demo 'Our Bestsellers' section lists 'Anesta – Intranet, Extranet, Community and BuddyPress WordPress Theme', indicating ThemeREX sells this theme.",https://goodenergy.themerex.net/home-2/,"“Our Bestsellers … Anesta – Intranet, Extranet, Community and BuddyPress WordPress Theme”"
themerex.net,reseller_of,Kicker,"The Good Energy demo 'Our Bestsellers' section lists 'Kicker – Multipurpose Blog Magazine WordPress Theme', indicating ThemeREX sells this theme.",https://goodenergy.themerex.net/home-2/,“Our Bestsellers … Kicker – Multipurpose Blog Magazine WordPress Theme”
themerex.net,reseller_of,Jacqueline,"The Good Energy demo 'Our Bestsellers' section lists 'Jacqueline – Spa & Massage Salon Theme', indicating ThemeREX sells this theme.",https://goodenergy.themerex.net/home-2/,“Our Bestsellers … Jacqueline – Spa & Massage Salon Theme”
themerex.net,reseller_of,FC United,"The Good Energy demo 'Our Bestsellers' section lists 'FC United – Football, Soccer WordPress Sports Theme', indicating ThemeREX sells this theme.",https://goodenergy.themerex.net/home-2/,"“Our Bestsellers … FC United – Football, Soccer WordPress Sports Theme”"
themerex.net,reseller_of,Helion,"The Good Energy demo 'Our Bestsellers' section lists 'Helion – Personal Creative Portfolio WordPress Theme + Store', indicating ThemeREX sells this theme.",https://goodenergy.themerex.net/home-2/,“Our Bestsellers … Helion – Personal Creative Portfolio WordPress Theme + Store”
