Source,Relationship,Target,Reason,Evidence URL,Evidence Text
colorlib.com,uses,PayPal,The article states that Sellfy and Podia integrate payment processing with PayPal.,https://colorlib.com/wp/platforms-for-selling-digital-products/,“Payment Processing: Integrated payment solutions with PayPal and Stripe for easy transactions.” / “Podia doesn’t charge any transaction fees on sales (excluding payment processing fees from Stripe or PayPal).”
colorlib.com,uses,Stripe,The article notes that Sellfy and Thinkific accept payments via Stripe; Podia also mentions Stripe payment processing fees.,https://colorlib.com/wp/platforms-for-selling-digital-products/,"“Payment Processing: Integrated payment solutions with PayPal and Stripe for easy transactions.” / “Thinkific includes built-in payment processing, which accepts payments … via Stripe or PayPal” / “excluding payment processing fees from Stripe or PayPal”"
colorlib.com,uses,Kinsta,"In the site footer, Colorlib states the site is hosted by Kinsta.",https://colorlib.com/wp/platforms-for-selling-digital-products/,“Hosted by Kinsta”
colorlib.com,uses,Shopify,The Colorlib article lists Shopify as a top eCommerce CMS and includes a call-to-action link “Get Shopify” pointing to Shopify’s website.,https://colorlib.com/wp/best-ecommerce-cms/,“1. Shopify” … “Get Shopify”
colorlib.com,uses,WordPress,The article recommends WordPress as an eCommerce CMS option and includes a call-to-action link “Get WordPress” pointing to WordPress.org.,https://colorlib.com/wp/best-ecommerce-cms/,“2. WordPress” … “Get WordPress”
colorlib.com,uses,WooCommerce,"Within the WordPress section, the article describes using WooCommerce as WordPress’s eCommerce plugin to turn a website into a store.",https://colorlib.com/wp/best-ecommerce-cms/,“WooCommerce is WordPress’s dedicated eCommerce plugin … It seamlessly turns your website into a fully functional store”
colorlib.com,uses,BigCommerce,The article includes BigCommerce as a recommended eCommerce CMS and links to BigCommerce’s official site.,https://colorlib.com/wp/best-ecommerce-cms/,“3. BigCommerce” … “Get BigCommerce”
colorlib.com,uses,Adobe Commerce,The article recommends Adobe Commerce (Magento) as an eCommerce platform option and includes a “Get Adobe Commerce” link to Adobe’s Magento Commerce page.,https://colorlib.com/wp/best-ecommerce-cms/,“4. Adobe Commerce (you might know it as Magento)” … “Get Adobe Commerce”
colorlib.com,uses,Wix,The article lists Wix as an eCommerce CMS option and includes a “Get Wix” link to Wix’s official website.,https://colorlib.com/wp/best-ecommerce-cms/,“5. Wix” … “Get Wix”
colorlib.com,uses,PrestaShop,The article recommends PrestaShop and includes a “Get PrestaShop” link to prestashop.com.,https://colorlib.com/wp/best-ecommerce-cms/,“6. PrestaShop” … “Get PrestaShop”
colorlib.com,uses,OpenCart,The article lists OpenCart as an eCommerce CMS and includes a “Get OpenCart” link to opencart.com.,https://colorlib.com/wp/best-ecommerce-cms/,“7. OpenCart” … “Get OpenCart”
colorlib.com,uses,Volusion,The article includes Volusion as an eCommerce CMS option and links to Volusion’s official site via “Get Volusion”.,https://colorlib.com/wp/best-ecommerce-cms/,“8. Volusion” … “Get Volusion”
colorlib.com,uses,Squarespace,The article recommends Squarespace for eCommerce and includes a “Get Squarespace” link to squarespace.com.,https://colorlib.com/wp/best-ecommerce-cms/,“9. Squarespace” … “Get Squarespace”
colorlib.com,uses,Drupal,The article lists Drupal as an eCommerce CMS option and includes a “Get Drupal” link to drupal.org.,https://colorlib.com/wp/best-ecommerce-cms/,“10. Drupal” … “Get Drupal”
colorlib.com,uses,HubSpot CMS,The article recommends HubSpot CMS and includes a “Get HubSpot CMS” link to HubSpot’s CMS Hub product page.,https://colorlib.com/wp/best-ecommerce-cms/,“11. HubSpot CMS” … “Get HubSpot CMS”
colorlib.com,partner_of,Photo Web Designs,A sidebar/banner link on the page promotes “Alternative: WPA Custom Web Design” and links to photowebdesigns.com with UTM parameters indicating a promotional placement.,https://colorlib.com/wp/best-ecommerce-cms/,“Alternative: WPA Custom Web Design” (link to photowebdesigns.com with utm_source=colorlib…)
colorlib.com,partner_of,Envato Market,"The page promotes Envato Market as a place to ""Explore 2.5 Million Digital Assets including 600+ Bootstrap Templates"" and links out via an Envato affiliate link, indicating an affiliate/partner relationship.",https://colorlib.com/wp/free-bootstrap-ecommerce-website-templates/,“Explore 2.5 Million Digital Assets including 600+ Bootstrap Templates … all of it can be found here at Envato Market.” (linked via 1.envato.market affiliate URL)
colorlib.com,partner_of,Hostinger,"Multiple template entries mention a ""Hostinger builder"" and use outbound tracking links under /go/zyro-... (Hostinger’s former Zyro site builder), indicating promotional/affiliate partnership.",https://colorlib.com/wp/free-bootstrap-ecommerce-website-templates/,"“And you’ll never need to code for this (thanks, Hostinger builder!).” (with associated outbound links like /go/zyro-wells, /go/zyro-enson, /go/zyro-nyx, /go/zyro-fips, /go/zyro-tixly, /go/zyro-mina)"
colorlib.com,partner_of,Statista,"The article cites Statista as the source for an eCommerce sales chart, indicating a sourced data relationship.",https://colorlib.com/wp/free-bootstrap-ecommerce-website-templates/,“Retail e-commerce sales worldwide from 2014 to 2023. Source: statista.com”
colorlib.com,uses,Wix,Colorlib’s article recommends Wix as a white-label option via the Wix Partner Program and includes a call-to-action link to Wix Partners.,https://colorlib.com/wp/best-white-label-website-builders/,“Wix … it has a Partner Program…” / “Get Wix” (links to https://www.wix.com/partners)
colorlib.com,uses,Squarespace,The article recommends Squarespace via its Squarespace Circle partner program and links to Squarespace Circle.,https://colorlib.com/wp/best-white-label-website-builders/,“Squarespace Circle is a Squarespace partner program…” / “Get Squarespace” (links to https://www.squarespace.com/circle)
colorlib.com,uses,Strikingly,The article recommends Strikingly through its Reseller Program and links to Strikingly’s reseller program page.,https://colorlib.com/wp/best-white-label-website-builders/,“The Strikingly Reseller Program…” / “Get Strikingly” (links to https://www.strikingly.com/reseller-program)
