Source,Relationship,Target,Reason,Evidence URL,Evidence Text
Blend,partner_of,Alloy,Blend lists Alloy as an identity-verification integration partner in its Partners and Integrations directory.,https://blend.com/integrations/,"“Alloy automates your onboarding to reduce manual decisions, from KYC checks to fraud prevention.” (listed under Identity Verification)"
Blend,partner_of,Arch MI,Blend lists Arch MI as a PMI integration partner offering real-time PMI quotes.,https://blend.com/integrations/,“Arch MI offers real-time quotes for Private Mortgage Insurance.” (listed under PMI Integration)
Blend,partner_of,Astra,Blend lists Astra as an account-funding integration partner for debit-card funding of new deposit accounts.,https://blend.com/integrations/,“Astra enables consumers to fund newly-opened deposit accounts using a debit card.” (listed under Account Funding)
Blend,partner_of,Byte Software,Blend lists Byte Software (Byte LOS) as a loan origination system (LOS) integration partner.,https://blend.com/integrations/,“Byte Software’s LOS provides mortgage lenders with powerful features to simplify loan challenges.” (listed under LOS)
Blend,partner_of,Calyx Software,Blend lists Calyx Software (Point) as an LOS integration partner covering origination from application to closing.,https://blend.com/integrations/,“Calyx Software’s Point Loan Origination System covers the origination process from application to closing.” (listed under LOS)
Blend,partner_of,Canopy Connect,Blend lists Canopy Connect as an insurance-verification integration partner for obtaining evidence of homeowner's insurance within the Blend flow.,https://blend.com/integrations/,“Canopy Connect enables end users to obtain evidence of homeowner's insurance within the Blend flow.” (listed under Insurance Verification)
Blend,partner_of,ClosingCorp,Blend lists ClosingCorp as a fees integration partner optimizing closing processes and services for mortgage lenders as well as title and settlement.,https://blend.com/integrations/,“ClosingCorp optimizes closing processes and services for mortgage lenders as well as title and settlement.” (listed under Fees)
Blend,partner_of,CoreLogic Credco,Blend lists CoreLogic Credco as a credit integration partner providing merged and specialized credit reports.,https://blend.com/integrations/,“CoreLogic Credco is a consumer reporting agency that provides merged and specialized credit reports.” (listed under Credit)
Blend,partner_of,Covered Insurance,Blend lists Covered Insurance as an insurance integration partner offering access to insurance carriers across all 50 states.,https://blend.com/integrations/,“Covered offers expanded access to top-rated national and regional insurance carriers across all 50 states.” (listed under Insurance)
Blend,partner_of,Covius,"Blend lists Covius (Funding Suite) as an integration partner for managing purchasing, analysis, and cost accounting for credit reports and more.",https://blend.com/integrations/,"“Covius – Funding Suite … manages purchasing, analysis, and cost accounting for credit reports and more.” (listed under Credit)"
Blend,partner_of,Credit Interlink,Blend lists Credit Interlink as a credit integration partner providing valuation and credit platform solutions for mortgage-related industries.,https://blend.com/integrations/,“Credit Interlink offers valuation and credit platform solutions for mortgage related industries.” (listed under Credit)
Blend,partner_of,Dark Matter,"Blend lists Dark Matter (Empower) as an LOS integration partner for originating mortgages, home equity loans, and lines of credit.",https://blend.com/integrations/,"“Dark Matter’s Empower is a dynamic LOS that originates mortgages, home equity loans, and lines of credit.” (listed under LOS)"
Blend,client_of,KeyBank,"Blend customer story page states KeyBank collaborates with Blend to redefine modern mortgage experience, indicating KeyBank uses Blend.",https://blend.com/customers/,“KeyBank and Blend collaborate to redefine the modern mortgage experience”
Blend,client_of,Elements Financial,"Blend customers page features Elements Financial story about growing deposit account submissions using Blend, indicating Elements Financial uses Blend.",https://blend.com/customers/,“How Elements Financial grew deposit account submissions by 105%—fueling record growth”
Blend,client_of,BMO Harris Bank,Blend customers page includes BMO Harris Bank story and quote about leveraging Blend for digital lending.,https://blend.com/customers/,“BMO Harris Bank is leveraging Blend to pioneer a new standard in digital lending”
Blend,client_of,Langley Federal Credit Union,Blend customers page lists Langley Federal Credit Union customer story about deposit account openings growth with Blend.,https://blend.com/customers/,“Langley Federal Credit Union achieves 37% growth in new deposit account openings”
Blend,client_of,VACU,"Blend customers page lists a story titled 'VACU and Blend work to transform the digital banking experience', indicating VACU uses Blend.",https://blend.com/customers/,“VACU and Blend work to transform the digital banking experience”
Blend,client_of,BCU,Blend customers page includes customer story about BCU finding success with digital-first strategy with Blend.,https://blend.com/customers/,"“BCU finds success with an innovative, digital-first strategy”"
Blend,client_of,RBFCU,"Blend customers page states 'RBFCU and Blend partner together now for the future', indicating RBFCU uses Blend.",https://blend.com/customers/,“RBFCU and Blend partner together now for the future”
Blend,client_of,Compass Mortgage,"Blend customers page lists story 'Compass Mortgage embraces digital transformation with Blend', indicating Compass Mortgage uses Blend.",https://blend.com/customers/,“Compass Mortgage embraces digital transformation with Blend”
Blend,client_of,SouthState Bank,"Blend customers page lists story 'SouthState Bank embraces eClose innovation with Blend', indicating SouthState Bank uses Blend.",https://blend.com/customers/,“SouthState Bank embraces eClose innovation with Blend”
Blend,client_of,Union Bank & Trust,"Blend customers page states 'Union Bank & Trust implements omnichannel onboarding with Blend', indicating Union Bank & Trust uses Blend.",https://blend.com/customers/,“Union Bank & Trust implements omnichannel onboarding with Blend”
Blend,client_of,University of Wisconsin Credit Union,Testimonial on Blend customers page from VP of Mortgage Lending at University of Wisconsin Credit Union describing time savings through origination with Blend.,https://blend.com/customers/,"“The time savings through origination, processing, and underwriting has allowed us the opportunity to serve more members…” — Julio Rios, Vice President of Mortgage Lending, University of Wisconsin Credit Union"
Blend,client_of,Citizens Bank,Testimonial on Blend customers page indicates Citizens Bank chose Blend after shopping digital applications.,https://blend.com/customers/,"“After we shopped quite a few [digital applications], we chose Blend…” — Blair Sirman … Citizens Bank"
Blend,client_of,Movement Mortgage,Testimonial on Blend customers page quotes Movement Mortgage Chief Innovation Officer about partnering with Blend.,https://blend.com/customers/,"“That’s why we partner with folks like Blend…” — John Third, Chief Innovation Officer, Movement Mortgage"
Blend,partner_of,Doma,Blog post says leading Blend customers activated solutions from partners like Doma for title and settlement directly within existing workflows via Blend’s partner ecosystem.,https://blend.com/blog/blend-momentum/5-ways-blend-customers-transformed-operations-2025/,"“leading Blend customers leveraged the platform’s growing partner ecosystem—activating solutions from partners like Covered for insurance shopping, Doma for title and settlement, and Truework for income and employment verification—directly within their existing workflows.”"
Blend,partner_of,Truework,Blog post lists Truework as a partner solution for income and employment verification activated within Blend workflows.,https://blend.com/blog/blend-momentum/5-ways-blend-customers-transformed-operations-2025/,"“activating solutions from partners like Covered for insurance shopping, Doma for title and settlement, and Truework for income and employment verification—directly within their existing workflows.”"
Blend,client_of,CrossCountry Mortgage,"Blog post describes CrossCountry Mortgage as piloting/testing Blend’s Intelligent Origination AI for quality control, indicating CrossCountry Mortgage is a Blend customer/pilot partner.",https://blend.com/blog/blend-momentum/5-ways-blend-customers-transformed-operations-2025/,“CrossCountry Mortgage piloted intelligent AI…” and “During testing with Intelligent Origination… compliance checks… were completed in under 30 seconds.”
Blend,partner_of,Glia,Press release announces a new integration/partnership where Glia’s chat/voice/video/AI tools are embedded directly into Blend’s Digital Banking platform.,https://blend.com/company/newsroom/blend-and-glia-partner-to-transform-customer-and-member-interactions-for-bank-and-credit-union-lending-teams/,"“Blend… today announced a new integration with Glia, the leader in unified human and AI interactions.”"
Blend,client_of,Landmark Credit Union,"Landmark Credit Union is described as an early adopter of the Blend and Glia integration, implying it uses Blend (and the integration).",https://blend.com/company/newsroom/blend-and-glia-partner-to-transform-customer-and-member-interactions-for-bank-and-credit-union-lending-teams/,"“Landmark Credit Union, an early adopter of the Blend and Glia integration…”"
Blend,client_of,Baxter Credit Union (BCU),Press release states Baxter Credit Union partnered with Blend and has seen success using Blend for digital deposit account openings and application submissions.,https://finance.yahoo.com/news/seven-top-10-credit-unions-131500157.html,"“Baxter Credit Union (BCU): Another credit union to partner with Blend is Chicago-based Baxter Credit Union (BCU). … With Blend, BCU has seen remarkable success, including a 50% increase in conversion rates for digital deposit account openings…”"
Blend,client_of,Randolph-Brooks Federal Credit Union (RBFCU),"Press release says RBFCU partnered with Blend and went live with Blend-built solutions, indicating use of Blend platform.",https://finance.yahoo.com/news/seven-top-10-credit-unions-131500157.html,"“Randolph-Brooks Federal Credit Union (RBFCU)… also partnered with Blend to enhance the member experience… In July of 2024, RBFCU went live with Blend-built Mortgage, HELOCs, VOI and traditional Close solutions…”"
Blend,client_of,Langley Federal Credit Union,Press release states Langley Federal Credit Union partnered with Blend for a unified origination platform powering deposit and lending solutions.,https://finance.yahoo.com/news/seven-top-10-credit-unions-131500157.html,“Langley Federal Credit Union… partnered with Blend for a unified origination platform that could power their full suite of consumer deposit and lending solutions.”
