Source,Relationship,Target,Reason,Evidence URL,Evidence Text
aligntech.com,uses,TrustArc,"Align Technology site includes a TrustArc cookie/privacy validation link, indicating use of TrustArc for privacy/cookie compliance.",https://www.aligntech.com/,"Link present on page: ""https://submit-irm.trustarc.eu/services/validation/8838d55a-81a4-4d95-997b-8b13f4fc29a0"" (TrustArc validation service) alongside cookie/privacy messaging."
aligntech.com,uses,Invisalign,The page identifies Invisalign as Align Technology’s clear aligner system offering.,https://www.aligntech.com/,"""The Invisalign® System is the most advanced clear aligner system in the world"" and navigation link to ""/solutions/invisalign_system"" plus external link ""invisalign.com""."
aligntech.com,uses,iTero,The page identifies iTero as Align Technology’s intraoral scanner product line and links to itero.com.,https://www.aligntech.com/,"""iTero™ intraoral scanners can propel today's dental practice into the future"" and navigation link to ""/solutions/itero_scanner"" plus external link ""itero.com""."
aligntech.com,uses,Cadent Inc.,Align Technology states it acquired Cadent Inc. (associated with iTero Scanner).,https://www.aligntech.com/about,"""Cadent Inc. Acquisition (iTero Scanner)"""
aligntech.com,partner_of,New York University College of Dentistry (NYUCD),Company history notes Invisalign was integrated into NYU College of Dentistry orthodontic curriculum.,https://www.aligntech.com/about,"""1st Integration of Invisalign into Orthodontic Curriculum"" ... ""included in undergraduate orthodontic instruction at New York University College of Dentistry (NYUCD)."""
aligntech.com,partner_of,Operation Smile,Company history mentions donation pledge to Operation Smile.,https://www.aligntech.com/about,"""3 millionth Invisalign patient, Donation pledge $1M to Operation Smile"""
aligntech.com,partner_of,E4D,History notes certified connectivity between iTero and E4D chairside milling.,https://www.aligntech.com/about,"""iTero and E4D Chairside Milling Certified Connectivity"""
aligntech.com,partner_of,DentalXP,History states Align Technology and DentalXP launched a global orthodontic aligner fellowship program.,https://www.aligntech.com/about,"""Align Technology and DentalXP Launch Global Orthodontic Aligner Fellowship Program"""
aligntech.com,partner_of,Benco Dental,History cites a distribution agreement with Benco Dental for iTero Element intraoral scanners.,https://www.aligntech.com/about,"""Align Technology Announces Distribution Agreement with Benco Dental for iTero Element® Intraoral Scanner"""
aligntech.com,partner_of,Digital Smile Design,History states Align Technology announced a strategic alliance/partnering with Digital Smile Design.,https://www.aligntech.com/about,"""Align Technology Announces Strategic Alliance with Digital Smile Design"""
aligntech.com,partner_of,Straumann Group,History notes settlement and LOI for Straumann to distribute iTero scanners (distribution relationship discussed).,https://www.aligntech.com/about,"""Align Technology and Straumann Group Settle Global ClearCorrect Patent Disputes ... for Straumann to Distribute iTero Scanners"""
aligntech.com,partner_of,Morgan Stanley & Co. LLC,History notes Align entered into an accelerated stock repurchase (ASR) with Morgan Stanley & Co. LLC.,https://www.aligntech.com/about,"""Align entered into and completed an ASR with Morgan Stanley & Co. LLC"""
aligntech.com,partner_of,Zimmer Biomet Dental,History notes a global distribution agreement with Zimmer Biomet Dental for iTero scanners.,https://www.aligntech.com/about,"""Align Technology Announces Global Distribution Agreement with Zimmer Biomet Dental for iTero Element Intraoral Scanners"""
aligntech.com,partner_of,San Francisco 49ers,History describes co-marketing relationship making Invisalign official smile partner of the team.,https://www.aligntech.com/about,"""co-marketing relationship with the San Francisco 49ers, making the Invisalign brand the official smile partner"""
aligntech.com,partner_of,Covestro,History states SmartTrack material solution was jointly developed by Align Technology and Covestro.,https://www.aligntech.com/about,"""The SmartTrack material solution was jointly developed by Align and Covestro."""
aligntech.com,partner_of,Carolina Hurricanes,History says Invisalign brand became the official smile of the NHL’s Carolina Hurricanes under an agreement.,https://www.aligntech.com/about,"""Announced a new agreement with the NHL’s Carolina Hurricanes"""
aligntech.com,partner_of,New England Patriots,History says Invisalign brand became the official smile of the New England Patriots.,https://www.aligntech.com/about,"""agreement with the New England Patriots, making the Invisalign brand the official smile"""
aligntech.com,partner_of,New England Revolution,Same announcement notes Invisalign brand sponsoring New England Revolution as part of agreement with Patriots.,https://www.aligntech.com/about,"""...and a sponsor of the New England Revolution professional soccer club."""
aligntech.com,partner_of,Toronto Raptors,History states Invisalign brand became the 'official smile' of the Toronto Raptors.,https://www.aligntech.com/about,"""multi-year agreement that makes the Invisalign brand the 'official smile' ... Toronto Raptors"""
aligntech.com,partner_of,Fidelity Charitable,History notes Align Foundation donor-advised fund through Fidelity Charitable.,https://www.aligntech.com/about,"""Align Foundation, the Company’s donor-advised fund through Fidelity Charitable"""
aligntech.com,uses,exocad,History states Align Technology acquired exocad (global dental CAD/CAM software leader).,https://www.aligntech.com/about,"""Align Technology Completes Acquisition of exocad"""
aligntech.com,partner_of,MedTech Innovator,History states Align Technology announced a partnership with MedTech Innovator Asia Pacific.,https://www.aligntech.com/about,"""Align Technology Announces Partnership with MedTech Innovator Asia Pacific"""
aligntech.com,partner_of,Life Time,History states Align announced national sponsorship with Life Time.,https://www.aligntech.com/about,"""Align ... announced that it is a national sponsor for ... Life Time"""
