Source,Relationship,Target,Reason,Evidence URL,Evidence Text
cocotique.com,uses,ShareASale,Cocotique’s affiliate program is run through ShareASale; applicants are instructed to apply and create an account on ShareASale to join the Cocotique Affiliate Program.,https://www.cocotique.com/pages/affiliate-marketing,"""Just apply now to our Affiliate Program at Share-A-Sale to begin your partnership with COCOTIQUE.""; ""Create an account on Share-A-Sale's website."""
cocotique.com,uses,Accessibly App,The site states its accessibility features are provided via the Accessibly App.,https://www.cocotique.com/pages/affiliate-marketing,"""Our website implements the Accessibly App, which provides a variety of tools to enhance website accessibility""; ""The accessibility features on this website are provided through the Accessibly App"""
cocotique.com,uses,Apollo Data Solutions,Footer credit indicates the site was designed and built by Apollo.,https://www.cocotique.com/pages/affiliate-marketing,"""Designed and Built with ♥ by Apollo ."""
cocotique.com,partner_of,Movita Organics,Blog post states Cocotique partnered with Movita Organics as a brand partner to share its self-care and better health choices message.,https://www.cocotique.com/blogs/blog/cocotique-approved-black-business-partners-we-love,“Partnering with Movita Organics has further helped us share our message about self-care and making better health choices for women.”
cocotique.com,partner_of,Canviiy,Blog post highlights Canviiy as a past brand partner Cocotique worked with.,https://www.cocotique.com/blogs/blog/cocotique-approved-black-business-partners-we-love,"“As we continue to celebrate Black Business Month, we want to continue to highlight our past brand partners…”"
cocotique.com,partner_of,Eden BodyWorks,Blog post frames Eden BodyWorks as one of Cocotique's brand partners highlighted during Black Business Month.,https://www.cocotique.com/blogs/blog/cocotique-approved-black-business-partners-we-love,"“As we continue to celebrate Black Business Month, we want to continue to highlight our past brand partners…”"
cocotique.com,partner_of,TGIN,Post explicitly says Cocotique enjoyed partnering with TGIN and included TGIN products in its December 2023 Box for subscribers.,https://www.cocotique.com/blogs/blog/cocotique-approved-black-business-partners-we-love,“Another Black-owned business that we enjoyed partnering with is TGIN.”
cocotique.com,partner_of,Felicia Leatherwood,"Blog post thanks and highlights Felicia Leatherwood among Cocotique's brand partners, referencing her product featured/associated with Cocotique content.",https://www.cocotique.com/blogs/blog/cocotique-approved-black-business-partners-we-love,“We can’t forget Felicia Leatherwood.”
cocotique.com,partner_of,En Love Beauty,Blog post states Cocotique and En Love Beauty partnered for the March En Love Beauty Takeover Box and offers an exclusive discount code for purchases at EnLoveBeauty.com.,https://www.cocotique.com/blogs/blog/cocotique-reveals-en-love-beauty-takeover-box,"“Together, these two have partnered together for the March En Love Beauty Takeover Box.”; “USE OUR EXCLUSIVE DISCOUNT CODE COCOTIQUE FOR 25% OFF ANY PURCHASE AT ENLOVEBEAUTY.COM.”"
cocotique.com,partner_of,EnLoveBeauty.com,"Page provides a Cocotique-exclusive discount code for purchases at EnLoveBeauty.com, indicating a promotional partnership.",https://www.cocotique.com/blogs/blog/cocotique-reveals-en-love-beauty-takeover-box,“USE OUR EXCLUSIVE DISCOUNT CODE COCOTIQUE FOR 25% OFF ANY PURCHASE AT ENLOVEBEAUTY.COM.”
cocotique.com,partner_of,Ivy Beauty,Blog post says Cocotique teamed up with Ivy Beauty for the June Box and had a sold-out Cocotique x Ivy Beauty takeover box.,https://www.cocotique.com/blogs/blog/meet-beauty-supply-leader-ivy-beauty,“We have teamed up with Ivy Beauty for the June Box that includes some great summer must-have products. We can’t forget the already sold out July 2023 COCOTIQUE x Ivy Beauty Takeover Box.”
cocotique.com,partner_of,IvyUSA.com,"Cocotique provides an exclusive discount code for purchases sitewide at IvyUSA.com, indicating a promotional partnership with Ivy Beauty’s ecommerce site.",https://www.cocotique.com/blogs/blog/meet-beauty-supply-leader-ivy-beauty,“USE OUR EXCLUSIVE DISCOUNT CODE COCOTIQUE15 FOR 15% OFF SITEWIDE AT IVYUSA.COM.”
cocotique.com,partner_of,Keeping You Sweet,"LinkedIn update announces a Health & Wellness Edit feature highlighting Keeping You Sweet as a brand and invites collaboration with health/wellness partners, implying a featured brand relationship.",https://www.linkedin.com/company/cocotique,"""Our first feature highlights Keeping You Sweet, a better-for-you dessert brand..."""
cocotique.com,partner_of,Vitabath,"Vitabath blog post states Vitabath decided to partner with Cocotique for a March 2019 beauty box, featuring Vitabath Heavenly Coconut Crème Body Cream as part of the box.",https://www.myvitabath.com/blog/vitabath-partners-with-cocotique-beauty-box/?srsltid=AfmBOorLDa_6f48DE_WA2tAqXli0jzfx2rVFcvk8NxssCT-ZIbfxMWtF,"""This is why we decided to partner with Cocotique, a company that compiles and delivers monthly beauty boxes...""; ""we're happy to be a part of their March 2019 beauty box."""
