Source,Relationship,Target,Reason,Evidence URL,Evidence Text
concentrix.com,partner_of,Adobe,Listed on Concentrix Technology Partners page among technology providers Concentrix has 'joined forces' with.,https://www.concentrix.com/partners/,“We’ve joined forces with leading technology providers and innovators...” and partner link shown: “/partners/adobe/”
concentrix.com,partner_of,Amazon Web Services (AWS),Listed on Concentrix Technology Partners page as a technology partner (AWS partner link).,https://www.concentrix.com/partners/,Partner link shown: “/partners/aws/” under Technology Partners.
concentrix.com,partner_of,Genesys,Listed on Concentrix Technology Partners page as a technology partner (Genesys partner link).,https://www.concentrix.com/partners/,Partner link shown: “/partners/genesys/” under Technology Partners.
concentrix.com,partner_of,Google,Listed on Concentrix Technology Partners page as a technology partner (Google partner link).,https://www.concentrix.com/partners/,Partner link shown: “/partners/google/” under Technology Partners.
concentrix.com,partner_of,Microsoft,Listed on Concentrix Technology Partners page as a technology partner (Microsoft partner link).,https://www.concentrix.com/partners/,Partner link shown: “/partners/microsoft/” under Technology Partners.
concentrix.com,partner_of,Salesforce,Listed on Concentrix Technology Partners page as a technology partner (Salesforce partner link).,https://www.concentrix.com/partners/,Partner link shown: “/partners/salesforce/” under Technology Partners.
concentrix.com,partner_of,Automation Anywhere,Listed on Concentrix Technology Partners page as a technology partner (Automation Anywhere partner link).,https://www.concentrix.com/partners/,Partner link shown: “/partners/automation-anywhere/” under Technology Partners.
concentrix.com,partner_of,Databricks,Listed on Concentrix Technology Partners page among partner logos/links (external link to Databricks).,https://www.concentrix.com/partners/,Partner link shown: “https://www.databricks.com/” on the Technology Partners page.
concentrix.com,partner_of,NICE,Listed on Concentrix Technology Partners page among partner logos/links (external link to NICE).,https://www.concentrix.com/partners/,Partner link shown: “https://www.nice.com/” on the Technology Partners page.
concentrix.com,partner_of,Observe.AI,Listed on Concentrix Technology Partners page among partner logos/links (external link to Observe.AI).,https://www.concentrix.com/partners/,Partner link shown: “https://www.observe.ai” on the Technology Partners page.
concentrix.com,partner_of,OpenAI,Listed on Concentrix Technology Partners page among partner logos/links (external link to OpenAI).,https://www.concentrix.com/partners/,Partner link shown: “https://openai.com/” on the Technology Partners page.
concentrix.com,partner_of,Oracle,Listed on Concentrix Technology Partners page as a technology partner (Oracle partner link).,https://www.concentrix.com/partners/,Partner link shown: “/partners/oracle/” under Technology Partners.
concentrix.com,partner_of,Quiq,Listed on Concentrix Technology Partners page among partner logos/links (external link to Quiq).,https://www.concentrix.com/partners/,Partner link shown: “https://quiq.com/” on the Technology Partners page.
concentrix.com,partner_of,Google,"Page indicates the site is protected by reCAPTCHA, which is provided by Google, implying use of Google's service on the Concentrix website (non-footer relationship statement on this page).",https://www.concentrix.com/insights/case-studies/global-integration-success/,“This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.”
concentrix.com,reseller_of,SugarCRM,SugarCRM partner profile page labels Concentrix as an 'Authorized Reseller Partner' and states Concentrix has a global strategic alliance with SugarCRM and has deployed tailored Sugar solutions since partnering in 2008.,https://www.sugarcrm.com/partners/concentrix/,"“Concentrix - Authorized Reseller Partner”
“Concentrix began partnering with SugarCRM in 2008. Since then, Concentrix has deployed tailored Sugar solutions for many customers around the world. Concentrix today has a global strategic alliance with SugarCRM...”"
concentrix.com,partner_of,IRONSCALES,Article states Concentrix and email security vendor IRONSCALES partnered; the agreement integrates IRONSCALES’ email security solution into Concentrix’s CyberProtect service offering.,https://www.channelinsider.com/news-and-trends/us/concentrix-ironscales-ai-deepfake-email-security/,"“Email security vendor IRONSCALES and Fortune 500 technology services provider Concentrix have partnered…”
“The agreement between Concentrix and IRONSCALES integrates the latter’s email security solution into the former’s CyberProtect service offering…”"
concentrix.com,partner_of,HubSpot,"Blog post lists HubSpot as an example of a leading CRM that CCaaS platforms should natively integrate with, implying Concentrix’s CCaaS/CX ecosystem work involves integration with HubSpot.",https://www.concentrix.com/insights/blog/choosing-the-right-ccaas-provider-4-key-considerations/,"“Platforms should natively integrate with leading CRMs like Salesforce, Microsoft Dynamics, and HubSpot…”"
concentrix.com,partner_of,Microsoft Dynamics,"Blog post cites Microsoft Dynamics as a leading CRM for native integration in CCaaS/CX ecosystems, indicating Concentrix positions around integrations/partnerships with Microsoft Dynamics.",https://www.concentrix.com/insights/blog/choosing-the-right-ccaas-provider-4-key-considerations/,"“Platforms should natively integrate with leading CRMs like Salesforce, Microsoft Dynamics, and HubSpot…”"
concentrix.com,partner_of,Orange Logic,Orange Logic's partner directory lists Concentrix as a 'Solution Partner' on the Orange Logic Partners site.,https://partners.orangelogic.com/partners/concentrix,"“Concentrix … Contact Orange Logic”
“Partner Type Solution Partner”"
