Source,Relationship,Target,Reason,Evidence URL,Evidence Text
olema.com,partner_of,Ooma,The investigated page is an Ooma 'Partners - Reseller' page describing its reseller partner program and how resellers can sell Ooma solutions; this indicates Ooma offers a reseller partnership relationship.,https://www.ooma.com/partners/resellers/?srsltid=AfmBOooh7Hiau--RjHqCYL5qgvZildUJ_GsVD-gpe4I9o-YsQOeYUaYM,"""Resellers Guide customers to the business solutions that deliver enterprise-grade communications at a small business price."" / ""Reseller partners have the option of full ownership of billing and support."""
olema.com,partner_of,McKesson,The page states Olema Oncology will leverage major specialty distributors like McKesson as distributor partners for specialty pharmaceutical distribution.,https://portersfiveforce.com/blogs/marketing-strategy/olema,"""For broader reach into community hospitals, Olema Oncology will leverage major specialty distributors like McKesson and AmerisourceBergen. These partners already handle over 60% of U.S. specialty pharmaceutical distribution"""
olema.com,partner_of,AmerisourceBergen,The page lists AmerisourceBergen as a major specialty distributor partner Olema Oncology will leverage for distribution.,https://portersfiveforce.com/blogs/marketing-strategy/olema,"""For broader reach into community hospitals, Olema Oncology will leverage major specialty distributors like McKesson and AmerisourceBergen."""
olema.com,uses,Doximity,The page says Olema Oncology targets oncologists using digital platforms like Doximity as part of its marketing strategy.,https://portersfiveforce.com/blogs/marketing-strategy/olema,"""digital targeting on platforms like Doximity and LinkedIn"""
olema.com,uses,LinkedIn,The page states Olema Oncology uses LinkedIn for digital targeting in its marketing strategy.,https://portersfiveforce.com/blogs/marketing-strategy/olema,"""digital targeting on platforms like Doximity and LinkedIn"""
olema.com,uses,Veeva,The page indicates Olema likely uses a Veeva-powered CRM system for HCP segmentation and engagement.,https://portersfiveforce.com/blogs/marketing-strategy/olema,"""A likely Veeva-powered CRM system enables precise segmentation of HCPs"""
olema.com,partner_of,ASCO,"The page references Olema Oncology content/marketing anchored by data cuts from major congresses like ASCO, implying participation/engagement with ASCO congress as a channel.",https://portersfiveforce.com/blogs/marketing-strategy/olema,"""data cuts from major congresses like ASCO and SABCS"""
olema.com,partner_of,SABCS,"The page references Olema Oncology content anchored by data from congresses like SABCS, implying engagement with SABCS as a key conference channel.",https://portersfiveforce.com/blogs/marketing-strategy/olema,"""data cuts from major congresses like ASCO and SABCS"""
olema.com,client_of,Silicon Valley Bank,"Preqin profile states Olema Pharmaceuticals raised venture debt financing led by Silicon Valley Bank, indicating Olema is a financing client/borrower of SVB.",https://www.preqin.com/data/profile/asset/olema-pharmaceuticals--inc-/384603,"""raising USD 50.00 mn through a VENTURE DEBT financing led by Silicon Valley Bank"""
olema.com,uses,Nasdaq,"Preqin profile states Olema raised funds via an IPO selling shares on Nasdaq, indicating it uses Nasdaq as its listing/exchange venue.",https://www.preqin.com/data/profile/asset/olema-pharmaceuticals--inc-/384603,"""raised USD 209.00 mn ... on Nasdaq in November 2020"""
olema.com,partner_of,Foresite Capital,"Preqin profile lists Foresite Capital as a current investor in Olema Pharmaceuticals, indicating an investment relationship.",https://www.preqin.com/data/profile/asset/olema-pharmaceuticals--inc-/384603,"""Current Investors\n\nForesite Capital, BVF Partners, RA Capital Management"""
olema.com,partner_of,BVF Partners,"Preqin profile lists BVF Partners as a current investor in Olema Pharmaceuticals, indicating an investment relationship.",https://www.preqin.com/data/profile/asset/olema-pharmaceuticals--inc-/384603,"""Current Investors\n\nForesite Capital, BVF Partners, RA Capital Management"""
olema.com,partner_of,RA Capital Management,"Preqin profile lists RA Capital Management as a current investor in Olema Pharmaceuticals, indicating an investment relationship.",https://www.preqin.com/data/profile/asset/olema-pharmaceuticals--inc-/384603,"""Current Investors\n\nForesite Capital, BVF Partners, RA Capital Management"""
olema.com,partner_of,Novartis,MatrixBCG page states Olema Oncology has a strategic alliance with Novartis for palazestrant and that Novartis supplies drug material; also notes OPERA-02 trial investigates palazestrant in combination with Novartis’s Kisqali (ribociclib).,https://matrixbcg.com/products/olema-business-model-canvas,"""Olema Oncology's strategic alliance with Novartis for its lead candidate, palazestrant... vital for the pivotal Phase 3 OPERA-02 trial, investigating palazestrant in combination with Novartis's Kisqali... Novartis's commitment to supplying the necessary drug material"""
olema.com,uses,U.S. Food and Drug Administration (FDA),Page describes regulatory engagement and milestones (Fast Track designation and IND clearance) with the FDA for Olema drug candidates.,https://matrixbcg.com/products/olema-business-model-canvas,"""Regulatory bodies, such as the U.S. Food and Drug Administration (FDA)... Achieving key milestones like Fast Track designation for palazestrant and Investigational New Drug (IND) clearance for OP-3136"""
olema.com,partner_of,American Association for Cancer Research (AACR),Page lists AACR as a major conference channel where Olema presents research findings to the scientific community.,https://matrixbcg.com/products/olema-business-model-canvas,"""presentations at major oncology conferences such as the American Association for Cancer Research (AACR) and the European Society for Medical Oncology (ESMO)"""
olema.com,partner_of,European Society for Medical Oncology (ESMO),Page lists ESMO as a major conference channel where Olema presents research findings to the scientific community.,https://matrixbcg.com/products/olema-business-model-canvas,"""presentations at major oncology conferences such as the American Association for Cancer Research (AACR) and the European Society for Medical Oncology (ESMO)"""
olema.com,partner_of,GlobeNewswire,Page states Olema uses financial news services like GlobeNewswire to distribute announcements to the investment community.,https://matrixbcg.com/products/olema-business-model-canvas,"""utilizes prominent financial news services like GlobeNewswire and BioSpace to ensure broad reach for its announcements"""
olema.com,uses,BioSpace,Page states Olema uses BioSpace as a financial news service/channel to distribute announcements.,https://matrixbcg.com/products/olema-business-model-canvas,"""utilizes prominent financial news services like GlobeNewswire and BioSpace to ensure broad reach for its announcements"""
olema.com,partner_of,Jefferies,Page says Olema participates in Jefferies Global Healthcare Conference as an investor relations channel/event to engage investors and analysts.,https://matrixbcg.com/products/olema-business-model-canvas,"""Participation in key industry events, such as the Jefferies, Evercore, and Citi's Global Healthcare Conferences"""
