Source,Relationship,Target,Reason,Evidence URL,Evidence Text
globusmedical.com,uses,OneTrust,"The homepage includes a cookie consent banner labeled 'Cookie Preference Center' and links to OneTrust's cookie consent product, indicating Globus Medical uses OneTrust for cookie consent management.",https://www.globusmedical.com/,"""Cookie Preference Center"" ... ""You can find out more or disable cookies by clicking “Cookie Settings.”"" and link present: ""https://www.onetrust.com/products/cookie-consent/"""
globusmedical.com,reseller_of,SDV Medical,"SDV Medical states it is a ""proud partner and distributor"" of Globus Medical’s surgical systems, indicating SDV Medical distributes (resells) Globus Medical products.",https://sdvmedical.com/products/globus-medical,"""SDV Medical is a proud partner and distributor of Globus Medical’s innovative surgical systems"""
globusmedical.com,uses,EICC/GeSI Conflict Free Smelter Program,"Purchase order terms require sellers to source conflict minerals from smelters certified through the EICC/GeSI Conflict Free Smelter Program, indicating Globus Medical uses this program as a compliance standard in its supply chain.",https://www.globusmedical.com/about/po-terms-and-conditions/,Seller agrees that it will not use minerals that are “conflict minerals” ... unless those conflict minerals were sourced from a smelter that is certified through the EICC/GeSI Conflict Free Smelter Program.
globusmedical.com,uses,Johnson & Johnson,"The page notes DePuy Synthes is a subsidiary of Johnson & Johnson; this is the only explicit company-to-company relationship statement near Globus Medical content, but it does not describe a relationship involving Globus Medical itself.",https://www.medicoreach.com/spine-device-companies/,“DePuy Synthes – J&J Medical… A subsidiary of Johnson & Johnson”
globusmedical.com,partner_of,NuVasive,ODT profile states Globus Medical completed a merger/deal bringing NuVasive into 'Globus’ fold' and references the $3.1B deal/merger with NuVasive.,https://www.odtmag.com/top-company-profile/globus-medical/,“Now that NuVasive Inc. has been fully welcomed into Globus’ fold…”
globusmedical.com,partner_of,Premier,"ODT profile says Globus Medical was awarded a group purchasing agreement with Premier for trauma products, indicating a commercial contracting relationship.",https://www.odtmag.com/top-company-profile/globus-medical/,“Globus Medical also moved forward with efforts to spur future growth… awarded a group purchasing agreement with Premier—one of the largest group purchasing organizations in the U.S.—for a number of its trauma products.”
globusmedical.com,partner_of,Harvest Biologics LLC,ODT profile notes Globus gained autologous biologics capabilities from its Q4 2022 membership interest purchase of Harvest Biologics LLC.,https://www.odtmag.com/top-company-profile/globus-medical/,“Globus also is securing its future through autologous biologics capabilities—gained from the Q4 2022 membership interest purchase of Harvest Biologics LLC ($30.1 million)”
globusmedical.com,partner_of,Capstone Surgical Technologies,ODT profile states Globus Medical acquired Michigan-based Capstone Surgical Technologies.,https://www.odtmag.com/top-company-profile/globus-medical/,“then-CEO Dave Demski revealed the acquisition of Michigan-based Capstone Surgical Technologies.”
globusmedical.com,partner_of,Synoste,ODT profile states Globus Medical acquired Synoste (completed through subsidiary Globus Medical Ireland Ltd).,https://www.odtmag.com/top-company-profile/globus-medical/,"“Globus Medical also acquired Synoste, a company that produced implants for minimally invasive bone lengthening treatments… completed through the firm’s subsidiary, Globus Medical Ireland Ltd.”"
globusmedical.com,partner_of,StelKast,ODT profile says Globus Medical acquired StelKast for $24.1 million to expand into total joint arthroplasty.,https://www.odtmag.com/top-company-profile/globus-medical/,“Globus Medical acquired StelKast last summer for $24.1 million… In purchasing the total joint arthroplasty systems manufacturer…”
