Source,Relationship,Target,Reason,Evidence URL,Evidence Text
utu.fi,partner_of,Åbo Akademi University,UNICOM+ project is implemented jointly with Åbo Akademi University (project partner/implementer).,https://www.utu.fi/en/collaboration/unicom,"""UNICOM+ is coordinated by the University of Turku and implemented jointly with Åbo Akademi University and Turku University of Applied Sciences."""
utu.fi,partner_of,Turku University of Applied Sciences,UNICOM+ project is implemented jointly with Turku University of Applied Sciences (project partner/implementer).,https://www.utu.fi/en/collaboration/unicom,"""UNICOM+ is coordinated by the University of Turku and implemented jointly with Åbo Akademi University and Turku University of Applied Sciences."""
utu.fi,uses,European Union,UNICOM+ project is co-funded by the European Union.,https://www.utu.fi/en/collaboration/unicom,"""UNICOM+ is co-funded by the European Union."""
utu.fi,uses,European Social Fund,UNICOM+ is described as a continuation of the UNICOM 2021-2023 initiative that was funded by the European Social Fund.,https://www.utu.fi/en/collaboration/unicom,"""It is a continuation of the Uniting Companies and International University Talents (UNICOM 2021-2023) initiative, also funded by the European Social Fund."""
utu.fi,partner_of,Purje-hanke,Page lists Purje-hanke as a project partner.,https://www.utu.fi/en/collaboration/unicom,"""Our project partner: Purje-hanke - Työtä ja elinvoimaa Varsinais-Suomeen"""
utu.fi,partner_of,Acentra,"IKITIK partners page lists Acentra and states it is responsible for delivering, maintaining, supporting/training the service platform containing IKITIK language technology solutions and assisting in building/integrating related systems.",https://sites.utu.fi/nursingscienceresearchprogrammes/intelligent-health/collaborators-and-funding/ikitik/partners/,"“Acentra is responsible for delivering, maintaining and providing support and training for the service platform that contains IKITIK’s language technology solutions, and also assists in building and integrating related systems.”"
utu.fi,partner_of,Lingsoft,IKITIK partners page lists Lingsoft as part of IKITIK and describes its role as the expert in checking and analysis technology.,https://sites.utu.fi/nursingscienceresearchprogrammes/intelligent-health/collaborators-and-funding/ikitik/partners/,"“Within IKITIK, Lingsoft is the expert in checking and analysis technology.”"
utu.fi,partner_of,Turku Centre for Computer Science (TUCS),"Page describes TUCS as a joint institute of University of Turku and Åbo Akademi University and notes BioHealth research programme is in close connection with IKITIK consortium, indicating collaboration/partnership with UTU in IKITIK context.",https://sites.utu.fi/nursingscienceresearchprogrammes/intelligent-health/collaborators-and-funding/ikitik/partners/,"“TUCS, the Turku Centre for Computer Science, is an internationally renowned joint research and education institute of the University of Turku and Åbo Akademi University.”
“...the BioHealth research programme is in close connection with Ikitik consortium.”"
utu.fi,partner_of,Turku Science Park Oy,"Page states that within the IKITIK consortium, Turku Science Park acts as a resourcing unit and a national and international link between the consortium and other bodies.",https://sites.utu.fi/nursingscienceresearchprogrammes/intelligent-health/collaborators-and-funding/ikitik/partners/,"“Within the IKITIK consortium, Turku Science Park acts as a resourcing unit and a national and international link between the consortium and other bodies.”"
utu.fi,partner_of,The Hospital District of Southwest Finland,"Page describes the Hospital District’s role within IKITIK as defining application areas, providing data for technology development, and enabling testing in genuine usage environments.",https://sites.utu.fi/nursingscienceresearchprogrammes/intelligent-health/collaborators-and-funding/ikitik/partners/,"“Within IKITIK, the hospital district defines realistic areas of application, provides the data needed for technology development, and allows for solutions to be tested in genuine usage environments.”"
utu.fi,partner_of,Kites,"Page lists Kites (national association for multilingual communication and content management) as part of the IKITIK context, describing its role as bringing together main operators/customers and members participating in turning products/technologies/services into international business.",https://sites.utu.fi/nursingscienceresearchprogrammes/intelligent-health/collaborators-and-funding/ikitik/partners/,"“Kites is a national association for multilingual communication and content management.”
“Members of the Kites business and expert network participate in turning products, technologies and services into international business.”"
utu.fi,partner_of,BCB Medical Oy,Page lists BCB Medical Oy among IKITIK partners and describes it as a provider of information systems to the health care sector (medical pathway systems).,https://sites.utu.fi/nursingscienceresearchprogrammes/intelligent-health/collaborators-and-funding/ikitik/partners/,“BCB Medical Oy is a provider of pioneering information systems to the health care sector.”
utu.fi,partner_of,Curacel,Curacel press release states Curacel partners with UTU and will integrate UTU Trust API into Curacel’s platform as part of the partnership/integration.,https://www.curacel.co/press-release/curacel-partners-with-utu-to-boost-trust-in-insurance-across-the-internet-in-africa,"“Curacel Partners UTU, To Increase Trust In Insurance Across The Internet In Africa”
“As part of this partnership, the UTU Trust API will be integrated into Curacel’s platform…”"
utu.fi,partner_of,Milan Duty Free,utu lists Milan Duty Free as a partner store where shoppers can spend utu vouchers and describes the 'Milan Duty Free voucher' usable at the store/airports.,https://utu.global/partner/milan-duty-free/,"""Spend your voucher at Milan Duty Free at Milan Malpensa Airport Terminal 1 or Linate Airport."""
utu.fi,partner_of,Arakkal Gold & Diamonds,utu lists Arakkal Gold & Diamonds as a partner store in the UAE where utu vouchers/bonuses are available while shopping at the partner store.,https://utu.global/partner/arakkal/,"""This bonus is only available while you shop at one of our partner stores in the UAE."""
utu.fi,partner_of,Thangals,utu lists Thangals Jewellery as a partner store where utu voucher bonuses apply while shopping at the partner store in the UAE.,https://utu.global/partner/thangals/,"""This bonus is only available while you shop at one of our partner stores in the UAE."""
utu.fi,partner_of,Thazi Gold & Diamond,utu lists Thazi Gold & Diamond as a partner store where utu voucher bonuses apply while shopping at the partner store in the UAE.,https://utu.global/partner/thazi/,"""This bonus is only available while you shop at one of our partner stores in the UAE."""
