Source,Relationship,Target,Reason,Evidence URL,Evidence Text
siomaiking.ph,vendor_of,Cloud Panda PH Inc.,"Homepage footer credits Cloud Panda PH Inc. as the provider behind the website (""Powered by""), indicating a web/IT services vendor relationship.",https://siomaiking.ph/,"""Powered by Cloud Panda PH Inc."""
siomaiking.ph,partner_of,Boy Bondat,"The product page states that the franchise package makes the buyer a community franchisee of Boy Bondat and provides a franchise shop link to earn referral commissions from Boy Bondat products, indicating a franchise/partner relationship.",https://siomaikingfranchising.com/product/wholesaler-dropshipping-franchise-package/,"""Be an community Franchisee of Boy Bondat, Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King""; ""Get a Franchise Shop link of Boy Bondat and earn 15% Referral Commission from all products."""
siomaiking.ph,partner_of,Potato King,"The page lists Potato King as one of the brands included for community franchisee status and provides a shop link for earning referral commissions, indicating a franchise/partner relationship.",https://siomaikingfranchising.com/product/wholesaler-dropshipping-franchise-package/,"""Be an community Franchisee of Boy Bondat, Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King""; ""Get a Franchise Shop link of Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King and earn 15% Referral Commission"""
siomaiking.ph,partner_of,Noodle House,"Noodle House is listed among the included franchise concepts with a shop link for referral commissions, indicating a franchise/partner relationship.",https://siomaikingfranchising.com/product/wholesaler-dropshipping-franchise-package/,"""Be an community Franchisee of Boy Bondat, Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King""; ""Get a Franchise Shop link of Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King"""
siomaiking.ph,partner_of,Burger Factory,"Burger Factory is named as an included franchise concept with a shop link for earning referral commissions, indicating a franchise/partner relationship.",https://siomaikingfranchising.com/product/wholesaler-dropshipping-franchise-package/,"""Be an community Franchisee of Boy Bondat, Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King""; ""Get a Franchise Shop link of Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King"""
siomaiking.ph,partner_of,Siopao da King,"Siopao da King is listed as part of the franchise concepts and included in the shop link program for referral commissions, indicating a franchise/partner relationship.",https://siomaikingfranchising.com/product/wholesaler-dropshipping-franchise-package/,"""Be an community Franchisee of Boy Bondat, Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King""; ""Get a Franchise Shop link of Siomai King, Potato King, Noodle House, Burger Factory and Siopao da King and earn 15% Referral Commission"""
siomaiking.ph,uses,Grab,"The notes state delivery in Metro Manila is available via Grab, implying the business uses Grab for delivery/logistics.",https://siomaikingfranchising.com/product/wholesaler-dropshipping-franchise-package/,"""Delivery is only available in Metro Manila by Grab/Lalamove/TokTok."""
siomaiking.ph,uses,Lalamove,"The notes state delivery in Metro Manila is available via Lalamove, implying the business uses Lalamove for delivery/logistics.",https://siomaikingfranchising.com/product/wholesaler-dropshipping-franchise-package/,"""Delivery is only available in Metro Manila by Grab/Lalamove/TokTok."""
siomaiking.ph,uses,TokTok,"The notes state delivery in Metro Manila is available via TokTok, implying the business uses TokTok for delivery/logistics.",https://siomaikingfranchising.com/product/wholesaler-dropshipping-franchise-package/,"""Delivery is only available in Metro Manila by Grab/Lalamove/TokTok."""
siomaiking.ph,partner_of,JC Worldwide Franchise Inc.,"The articles page references Siomai King as being 'by JC Worldwide Franchise Inc.', indicating an affiliation/partnership relationship.",https://siomaiking.ph/articles,"""Siomai King by JC Worldwide Franchise Inc."""
siomaiking.ph,partner_of,Asia Leaders Awards,"The page states Siomai King was hailed by Asia Leaders Awards as 'Franchise Company of the Year,' indicating recognition by/relationship with the awarding body.",https://siomaiking.ph/articles,"""The Asia Leaders Awards … has hailed Siomai King by JC Worldwide Franchise Inc. as this year's 'Franchise Company of the Year'."""
siomaiking.ph,uses,TokTok,"Multiple entries on the articles page discuss TokTok as a delivery service in context of Siomai King's articles feed and business ecosystem, reinforcing that Siomai King uses/associates with TokTok for delivery.",https://siomaiking.ph/articles,"""Toktok Delivery Service introduces super affordable delivery fees""; ""Cheapest delivery service now operates in key areas in Luzon"""
siomaiking.ph,partner_of,MangBoks,"Facebook video post promoting reseller/supplier opportunity lists MangBoks among the '8-in-1 frozen food products' available to order/earn commission on, indicating inclusion in the same franchise/reseller product ecosystem.",https://www.facebook.com/siomaiKing.vTokCloudMktg/videos/be-one-of-our-reseller-or-supplier-youll-get-free-pos-system-free-website-free-t/537103554715399/,"""EARN commission on ALL 8-in-1 frozen food products like SiomaiKing, MangBoks, BoyBondat, PotatoKing, SiopaoDaKing, BurgerFactory"""
siomaiking.ph,reseller_of,Siomai King,The Facebook page identifies itself as a registered distributor of Siomai King.,https://www.facebook.com/siomaikingauthorizeddistributor/,"""We're an Online Franchise Owner & Registered Distributor of Siomai King, Siopao Da King, Potato King"""
siomaiking.ph,reseller_of,Siopao Da King,The Facebook page identifies itself as a registered distributor of Siopao Da King.,https://www.facebook.com/siomaikingauthorizeddistributor/,"""We're an Online Franchise Owner & Registered Distributor of Siomai King, Siopao Da King, Potato King"""
siomaiking.ph,reseller_of,Potato King,The Facebook page identifies itself as a registered distributor of Potato King.,https://www.facebook.com/siomaikingauthorizeddistributor/,"""We're an Online Franchise Owner & Registered Distributor of Siomai King, Siopao Da King, Potato King"""
siomaiking.ph,partner_of,House of Franchise Inc.,"The shop site lists a customer support email at the domain houseoffranchiseinc.com, indicating the shop/customer care operation is associated with House of Franchise Inc.",https://shop.siomaiking.ph/,"""customersupport@houseoffranchiseinc.com"""
