Source,Relationship,Target,Reason,Evidence URL,Evidence Text
tvguide.com,vendor_of,Lee Enterprises,"The article says Lee Enterprises has a partnership with NTVB Media that delivers daily “What to Watch” recommendations to more than 200 newspapers; as NTVB owns/publishes TV Guide Magazine and provides TV/entertainment content, this indicates TV Guide/NTVB content is supplied to Lee Enterprises.","https://r.jina.ai/http://www.editorandpublisher.com/stories/behind-the-screen-how-ntvb-media-helps-publishers-engage-readers-and-grow-revenue,257604","“At Lee Enterprises, a partnership with NTVB Media delivered daily “What to Watch” recommendations to more than 200 newspapers…”"
tvguide.com,reseller_of,Lee Enterprises,"The article describes ad campaigns where Lee runs quarter-page ads in its newspapers to promote TV Weekly magazine (an NTVB/TV Guide-related publication) and receives a commission for each new subscriber, implying Lee acts as a reseller/affiliate for NTVB subscriptions.","https://r.jina.ai/http://www.editorandpublisher.com/stories/behind-the-screen-how-ntvb-media-helps-publishers-engage-readers-and-grow-revenue,257604",“We’ve done several ad campaigns where Lee runs quarter-page ads in all of their newspapers to promote TV Weekly magazine… we pay Lee a commission on every new subscriber we get from the ads.”
tvguide.com,vendor_of,The Villages Daily Sun,"The article states The Villages Daily Sun launched a magazine insert (“Classics”) built around NTVB’s ReMIND content, with NTVB formatting it and creating prototypes/sections, indicating NTVB (owner/publisher of TV Guide Magazine) provides content/production services to the publisher.","https://r.jina.ai/http://www.editorandpublisher.com/stories/behind-the-screen-how-ntvb-media-helps-publishers-engage-readers-and-grow-revenue,257604","“The Villages Daily Sun launched Classics, a 24-page nostalgia-driven magazine built around NTVB’s ReMIND magazine and website content.”"
tvguide.com,partner_of,Comcast,SEC filing states Gemstar-TV Guide entered into an IPG development joint venture with Comcast (Guideworks) and also has a patent/content distribution license with Comcast for TV Guide brand/content and IP technology on Comcast’s IPG.,https://r.jina.ai/https://www.sec.gov/Archives/edgar/data/923282/000119312505084405/dars.htm,"“The Company entered into an IPG development joint venture with Comcast… The joint venture, called Guideworks”"
tvguide.com,partner_of,Guideworks LLC,The filing describes Guideworks LLC as a joint venture formed by Gemstar-TV Guide and Comcast to develop interactive program guides (i-Guide/i-Guide development).,https://r.jina.ai/https://www.sec.gov/Archives/edgar/data/923282/000119312505084405/dars.htm,"“The joint venture, called Guideworks, introduced our new interactive program guide, i-Guide”"
tvguide.com,partner_of,EchoStar,The filing says Gemstar-TV Guide reached affiliate and patent license agreements with EchoStar; also notes EchoStar’s Dish Network debuted TVG Network’s interactive wagering application; and that Gemstar sold SNG businesses to EchoStar and entered a license/distribution agreement.,https://r.jina.ai/https://www.sec.gov/Archives/edgar/data/923282/000119312505084405/dars.htm,“reaching important affiliate and patent license agreements with distributors including EchoStar”
tvguide.com,partner_of,DirecTV,The filing lists DirecTV as a distributor with which Gemstar-TV Guide reached affiliate and patent license agreements and describes an agreement where DirecTV pays recurring fees for set-top box/IPG licensing.,https://r.jina.ai/https://www.sec.gov/Archives/edgar/data/923282/000119312505084405/dars.htm,“reaching important affiliate and patent license agreements with distributors including… DirecTV”
tvguide.com,partner_of,Comcast Cable,The filing says Comcast began launching its version of i-Guide to subscribers and other distribution partners committed to rolling out i-Guide; indicates distribution/technology partnership for IPG deployment.,https://r.jina.ai/https://www.sec.gov/Archives/edgar/data/923282/000119312505084405/dars.htm,“Comcast began launching its version of this new IPG to its subscribers in October… deployed in approximately 3 million Comcast homes”
tvguide.com,partner_of,Adelphia Communications,The filing states Adelphia committed to rolling out i-Guide and also lists Adelphia as having license and distribution agreements with Gemstar-TV Guide.,https://r.jina.ai/https://www.sec.gov/Archives/edgar/data/923282/000119312505084405/dars.htm,"“Several of our other distribution partners, including Adelphia… have committed to rolling out i-Guide.”"
tvguide.com,partner_of,Mediacom,"The filing states Mediacom committed to rolling out i-Guide, indicating distribution partnership for TV Guide Interactive IPG.",https://r.jina.ai/https://www.sec.gov/Archives/edgar/data/923282/000119312505084405/dars.htm,"“Several of our other distribution partners, including Adelphia, Mediacom, and RCN, also have committed to rolling out i-Guide.”"
