Source,Relationship,Target,Reason,Evidence URL,Evidence Text
i3verticals.com,partner_of,Jadu,The page states that Jadu and i3 Verticals partnered to deliver intuitive self-service and accessibility-first design.,https://partners.i3verticals.com/jadu-accessible-digital-self-service/,"“That’s why Jadu and i3 Verticals partnered up. Together, we help you deliver intuitive self-service and accessibility-first design…”"
i3verticals.com,partner_of,Supreme Court of Appeals of West Virginia,i3 Verticals announces expanding a long-standing collaboration/partnership with the Supreme Court of Appeals of West Virginia under a newly signed contract to deliver its i3 CourtOne case management solution to multiple state courts.,https://www.i3verticals.com/i3-verticals-and-west-virginia-supreme-court-expand-partnership-i3-courtonetm-to-enhance-transparency-and-efficiency-across-state-court-system/,"“i3 Verticals is proud to announce a major milestone in our long-standing collaboration with the Supreme Court of Appeals of West Virginia. Under a newly signed contract, i3 Verticals will deliver its i3 CourtOne™ Case Management Solution (CMS) to the state’s Circuit, Family, and Magistrate Courts…”"
i3verticals.com,integrator_of,Hyland OnBase,About Us page states i3 Verticals Partners serves as implementation experts and system integrators for Hyland’s OnBase platform.,https://partners.i3verticals.com/about-us/,"“...serve as implementation experts and system integrators for powerful platforms like Hyland’s OnBase, Jadu, and Tungsten Automation.”"
i3verticals.com,integrator_of,Tungsten Automation,About Us page lists Tungsten Automation among platforms for which i3 Verticals Partners provides implementation and system integration.,https://partners.i3verticals.com/about-us/,"“...serve as implementation experts and system integrators for powerful platforms like Hyland’s OnBase, Jadu, and Tungsten Automation.”"
i3verticals.com,partner_of,SYSPRO,"SYSPRO lists i3Verticals LLC in its ISV Partner directory, indicating an ISV partnership relationship.",https://us.syspro.com/isv-partner/i3verticals-llc/,"“Back to ISV Directory i3Verticals LLC” (page is in SYSPRO’s ISV Partner directory, listing i3Verticals LLC as an ISV partner)."
i3verticals.com,uses,First Data,"The page states i3Verticals offers processing options with sponsor banks including First Data (Omaha, North), implying i3Verticals uses/works with First Data as a processing platform/sponsor bank.",https://us.syspro.com/isv-partner/i3verticals-llc/,"“Processing Options: Multiple platforms and sponsor banks including First Data Omaha, North…”"
i3verticals.com,uses,BuyPass,"i3Verticals lists BuyPass as one of its sponsor banks/platforms for processing options, indicating usage/relationship.",https://us.syspro.com/isv-partner/i3verticals-llc/,“Processing Options: Multiple platforms and sponsor banks including … BuyPass …”
i3verticals.com,uses,TSYS,"i3Verticals lists TSYS (Sierra, Summit, TransIT) as processing platforms, indicating i3Verticals uses TSYS services/platforms.",https://us.syspro.com/isv-partner/i3verticals-llc/,"“Processing Options: … as well as TSYS Sierra, Summit and TransIT.”"
i3verticals.com,partner_of,Hyland,Hyland partner profile for i3 Verticals states it is a trusted Hyland partner and lists i3 Verticals as a Hyland Reseller Partner (Premier Partner).,https://www.hyland.com/en/partners/i3-verticals,“As a trusted Hyland partner…”
i3verticals.com,integrator_of,Hyland RPA,"Hyland partner profile lists Hyland RPA among products associated with i3 Verticals, implying implementation/reselling/integration capability as a Hyland reseller partner.",https://www.hyland.com/en/partners/i3-verticals,"“Product AnyDoc, Hyland RPA, OnBase, Brainware”"
