Source,Relationship,Target,Reason,Evidence URL,Evidence Text
uhnd.com,uses,Epic,"Healthcare Integrations lists Epic as an example EHR supported in its EHR Integration use cases, indicating work integrating with Epic.",https://healthcareintegrations.com/,"“EHR Integration ... we support Epic, Athena, and eClinicalWorks use cases.”"
uhnd.com,uses,Athena,"Healthcare Integrations lists Athena as an example EHR supported in its EHR Integration use cases, indicating work integrating with Athena.",https://healthcareintegrations.com/,"“EHR Integration ... we support Epic, Athena, and eClinicalWorks use cases.”"
uhnd.com,uses,eClinicalWorks,"Healthcare Integrations lists eClinicalWorks as an example EHR supported in its EHR Integration use cases, indicating work integrating with eClinicalWorks.",https://healthcareintegrations.com/,"“EHR Integration ... we support Epic, Athena, and eClinicalWorks use cases.”"
uhnd.com,uses,BridgeLink,"Healthcare Integrations offers 'Mirth to Bridgelink Services' for end-to-end move to BridgeLink, indicating use of BridgeLink in migrations.",https://healthcareintegrations.com/,“Mirth to Bridgelink Services ... support an end-to-end move to BridgeLink.”
uhnd.com,uses,Mirth Connect,"Healthcare Integrations provides Mirth Connect consulting/training and migration services, indicating use of Mirth Connect.",https://healthcareintegrations.com/,“Mirth to Bridgelink Services ... planning for Mirth Connect going commercial...”
uhnd.com,partner_of,TriZetto Provider Solutions,Nextech describes a strategic partnership with TriZetto Provider Solutions to enable billing functions within Nextech practice management system.,https://www.nextech.com/about/partners,“Nextech works with TriZetto Provider Solutions® to offer physicians a seamless way to bill directly within their practice management system. Through this strategic partnership…”
uhnd.com,partner_of,CareCredit,Nextech lists CareCredit as a connected solutions/partner on its partners page.,https://www.nextech.com/about/partners,"“CareCredit, a leading provider of promotional financing for patients…” (listed under Connected Solutions partners)"
uhnd.com,partner_of,Assembly Health,Nextech states Assembly Health is its exclusive Revenue Cycle Management services partner.,https://www.nextech.com/about/partners,“Assembly is proud to be Nextech’s exclusive Revenue Cycle Management services partner.”
uhnd.com,partner_of,Encoda,Nextech lists Encoda as a partner and describes Encoda BackOffice connecting Nextech PM with clearinghouse and payers.,https://www.nextech.com/about/partners,"“Encoda BackOfffice serves as the connective tissue between your Nextech PM, clearinghouse, and payers…”"
uhnd.com,partner_of,RealTime eClinical Solutions,Nextech lists RealTime eClinical Solutions among its Connected Solutions partners.,https://www.nextech.com/about/partners,“RealTime eClinical Solutions is a leading…technology provider…” (listed under Connected Solutions partners)
uhnd.com,partner_of,NextPatient,Nextech lists NextPatient as a partner and notes its features are 'seamlessly integrated with Nextech'.,https://www.nextech.com/about/partners,“NextPatient builds software… — all seamlessly integrated with Nextech.”
uhnd.com,partner_of,MyMedLeads,Nextech says MyMedLeads is now a Nextech solution and is seamlessly integrated with Nextech software.,https://www.nextech.com/about/partners,“MyMedLeads is now a Nextech solution… Seamlessly integrated with the Nextech software…”
uhnd.com,partner_of,Relatient,Nextech lists Relatient as a partner on its Connected Solutions page.,https://www.nextech.com/about/partners,“Relatient offers the Next Generation in Patient Communication…” (listed under Connected Solutions partners)
uhnd.com,partner_of,DermPRO,Nextech lists DermPRO as a Connected Solutions partner.,https://www.nextech.com/about/partners,“DermPRO is the aesthetics industry’s gold standard…” (listed under Connected Solutions partners)
uhnd.com,partner_of,Clearwave,Nextech lists Clearwave as a partner on its Connected Solutions page.,https://www.nextech.com/about/partners,"“Specialty practices use Clearwave to enhance patient scheduling, registration… payments and insurance verification.”"
uhnd.com,partner_of,RSI,Nextech includes RSI in its Connected Solutions partner network.,https://www.nextech.com/about/partners,“RSI Your single source for end-to-end patient acquisition and retention marketing automation…”
uhnd.com,partner_of,ConnectOnCall,Nextech lists ConnectOnCall and states it integrates with Nextech & IntelleChartPRO.,https://www.nextech.com/about/partners,“ConnectOnCall integrates with Nextech & IntelleChartPRO to display patient data…”
uhnd.com,partner_of,IntelleChartPRO,"Nextech indicates ConnectOnCall integrates with Nextech and IntelleChartPRO, implying an integration relationship involving IntelleChartPRO in Nextech ecosystem.",https://www.nextech.com/about/partners,“ConnectOnCall integrates with Nextech & IntelleChartPRO…”
uhnd.com,partner_of,Zocdoc,Nextech lists Zocdoc and notes a 'seamless Nextech integration' enabling booking into schedule.,https://www.nextech.com/about/partners,“With our seamless Nextech integration… Zocdoc can book their appointments directly into your schedule.”
uhnd.com,partner_of,Weave,Nextech lists Weave as a connected solutions partner with integration capabilities.,https://www.nextech.com/about/partners,“Weave’s unique integration of hardware and software solutions help streamline…”
uhnd.com,partner_of,Brevium,Nextech lists Brevium as a Connected Solutions partner.,https://www.nextech.com/about/partners,“Brevium is a provider of software that makes it easy to reactivate patients lost to follow-up…”
uhnd.com,partner_of,Topcon Healthcare,Nextech lists Harmony platform from Topcon Healthcare as a partner solution.,https://www.nextech.com/about/partners,“Harmony® … next-generation clinical data management platform from Topcon Healthcare: Harmony.”
uhnd.com,partner_of,Tebra,Nextech lists Tebra (Formerly PatientPop) as a Connected Solutions partner.,https://www.nextech.com/about/partners,“Tebra (Formerly PatientPop) … provides independent healthcare practices with digital tools…”
uhnd.com,partner_of,Health iPASS,Nextech includes Health iPASS as a Connected Solutions partner.,https://www.nextech.com/about/partners,"“Health iPASS collects patient payments before, at, and after office visits…”"
uhnd.com,partner_of,PX Technology,Nextech lists PX Technology as a partner for automating paper processes.,https://www.nextech.com/about/partners,“PX Technology… pre-populates essential forms for you…”
uhnd.com,partner_of,Birdeye,Nextech lists Birdeye and explicitly mentions an integration with Birdeye.,https://www.nextech.com/about/partners,“An integration with Birdeye allows you to effortlessly maintain a winning online reputation…”
uhnd.com,partner_of,DoctorConnect,Nextech lists DoctorConnect as a partner offering patient engagement software.,https://www.nextech.com/about/partners,“Build a high-performance practice with DoctorConnect patient engagement software.”
uhnd.com,partner_of,Solutionreach,Nextech lists Solutionreach as a Connected Solutions partner.,https://www.nextech.com/about/partners,“Solutionreach is focused on providing the technology… to deliver better care…”
uhnd.com,partner_of,Demandforce,Nextech lists Demandforce as a Connected Solutions partner.,https://www.nextech.com/about/partners,"“Demandforce… all-in-one solution… fully integrated, HIPAA-compliant features.”"
uhnd.com,partner_of,Podium,Nextech lists Podium as a partner on its Connected Solutions page.,https://www.nextech.com/about/partners,“Podium is your all-in-one AI-powered lead management and communication platform…”
uhnd.com,partner_of,Luma Health,Nextech lists Luma Health as a Connected Solutions partner.,https://www.nextech.com/about/partners,“Luma Health's mission is to empower leading healthcare providers…”
uhnd.com,partner_of,IBRA,Nextech lists Ibra Treatment Planner and describes the 'IBRA integration' inside ICP.,https://www.nextech.com/about/partners,“The IBRA integration… right from inside ICP.”
uhnd.com,partner_of,Abyde,Nextech lists Abyde as a Connected Solutions partner for compliance solutions.,https://www.nextech.com/about/partners,“Abyde is a technology company specializing in HIPAA & OSHA compliance…”
uhnd.com,partner_of,Revival Health,Nextech lists Revival Health as a partner and notes its automations integrate with critical systems.,https://www.nextech.com/about/partners,“Our time-saving automations integrate with your critical systems…”
uhnd.com,partner_of,Elevate Health Technologies,Nextech lists Pulse inventory management software by Elevate Health Technologies and mentions 'With Nextech integration'.,https://www.nextech.com/about/partners,“Pulse is a cutting-edge Inventory Management Software by Elevate Health Technologies… With Nextech integration…”
uhnd.com,partner_of,CorEvitas,Nextech lists CorEvitas as a Connected Solutions partner and references Vestrum Health data.,https://www.nextech.com/about/partners,“CorEvitas is a scientific research organization… Our Vestrum Health® data…”
uhnd.com,partner_of,Vestrum Health,Nextech partner listing for CorEvitas references 'Vestrum Health® data'.,https://www.nextech.com/about/partners,“Our Vestrum Health® data provides the retina health community…”
uhnd.com,partner_of,Lemod,Nextech lists Lemod Rewards and says it integrates with the Nextech EHR.,https://www.nextech.com/about/partners,“Lemod integrates with the Nextech EHR to make implementation seamless.”
uhnd.com,partner_of,SkinIO,Nextech lists SkinIO as a Connected Solutions partner.,https://www.nextech.com/about/partners,“SkinIO is a next-generation mobile full-body imaging system…”
uhnd.com,partner_of,Rhinogram,Nextech lists Rhinogram as a Connected Solutions partner.,https://www.nextech.com/about/partners,“Rhinogram's HIPAA compliant telehealth platform…”
uhnd.com,partner_of,DrFirst,Nextech lists DrFirst as a Connected Solutions partner.,https://www.nextech.com/about/partners,“DrFirst pioneers software solutions and services…”
uhnd.com,partner_of,NewCrop,Nextech lists NewCrop as a Connected Solutions partner.,https://www.nextech.com/about/partners,“NewCrop has been in business since 2003…”
uhnd.com,partner_of,Concord Cloud Fax,Nextech lists Concord Cloud Fax as a Connected Solutions partner.,https://www.nextech.com/about/partners,“Concord Cloud Fax… ideal solution for healthcare… Fully PCI and HIPAA compliant…”
uhnd.com,partner_of,Nuance,Nextech lists Nuance and states Nextech customers can access clinical speech recognition by Nuance within NexSpeak.,https://www.nextech.com/about/partners,"“With access to clinical speech recognition by Nuance, Nextech customers can reap… all from within NexSpeak.”"
uhnd.com,partner_of,Webex CPaaS Solutions,Nextech lists Webex | CPaaS Solutions as a Connected Solutions partner.,https://www.nextech.com/about/partners,“Webex | CPaaS Solutions… centralized cloud communications platform (CPaaS)…”
uhnd.com,partner_of,OptiCall,Nextech lists OptiCall as a Connected Solutions partner.,https://www.nextech.com/about/partners,“OptiCall acts as an extension of your team with inbound call handling/scheduling…”
uhnd.com,partner_of,Local Contexts,"Local Contexts lists a set of ""Integration Partner Early Adopters""—organizations integrating Local Contexts Labels and Notices. This indicates these organizations are integration partners/early adopters of Local Contexts, not relationships involving uhnd.com.",https://localcontexts.org/hub-agreements/integration-partners/,“Integration Partner Early Adopters… iPlaces… Arca Digital Repository… The Data Services for Indigenous Scholarship and Sovereignty (DSISS) – University of Washington… Omeka… The Dataverse Project”
uhnd.com,partner_of,Amazon Web Services,Hyland lists Amazon Web Services (AWS) as a Technology Partner and describes Hyland partnering with AWS (including availability on AWS Marketplace).,https://www.hyland.com/en/partners/aws,“Hyland is available on the AWS Marketplace”
uhnd.com,partner_of,Veradigm,"The Veradigm page describes the Diagnostic Ordering and Results Network (DORN) as a network that connects EHR vendors/clients with lab and radiology centers through a single API integration; uhnd.com (Healthcare Integrations) operates in EHR integration services, implying a relevant partner ecosystem connection with Veradigm's DORN offering.",https://veradigm.com/dorn-ehr-lab-radiology-integration/,"“That’s why Veradigm offers streamlined EHR integrations into our cloud-based hub, integrations that connect clients to hundreds of laboratories and radiology centers via a single API integration: the Diagnostic Ordering and Results Network (DORN).”"
