Source,Relationship,Target,Reason,Evidence URL,Evidence Text
vipjalsat.com,partner_of,Tamatem,"Homepage footer credits the site's design to Tamatem, indicating a business relationship with Tamatem as designer/developer.",https://vipjalsat.com/,"""Design- Tamatem"""
vipjalsat.com,uses,Apple App Store,"Homepage provides an App Store download link for VIP Jalsat, indicating distribution via Apple's App Store.",https://vipjalsat.com/,"""Downloads AppStore"" and link to ""https://apps.apple.com/app/id1277060076"""
vipjalsat.com,uses,Google Play,"Homepage provides a Google Play download link for the app, indicating distribution via Google Play.",https://vipjalsat.com/,"""Downloads ... Google Play"" and link to ""https://play.google.com/store/apps/details?id=co.tamatem.tarneeb"""
vipjalsat.com,partner_of,Tamatem Plus,"Tamatem blog post states that in-app purchases are streamlined through integration with Tamatem Plus, implying VIP Jalsat (a Tamatem game) uses/integrates with Tamatem Plus for transactions/payment.",https://tamatem.co/tag/games/,"""We’ve also streamlined the in-app purchase process through our integration with Tamatem Plus. This platform allows for quick, seamless transactions"""
vipjalsat.com,uses,TikTok,"Tamatem blog post describes leveraging TikTok to boost game downloads for its games (context includes VIP Jalsat among Tamatem games), implying use of TikTok as a marketing channel.",https://tamatem.co/tag/games/,"""we’ve turned platforms like Instagram and TikTok into powerful tools for reaching new players and boosting the popularity of our games."""
vipjalsat.com,uses,Instagram,"Tamatem blog post describes leveraging Instagram to boost game downloads for its games (context includes VIP Jalsat among Tamatem games), implying use of Instagram as a marketing channel.",https://tamatem.co/tag/games/,"""we’ve turned platforms like Instagram and TikTok into powerful tools for reaching new players and boosting the popularity of our games."""
vipjalsat.com,partner_of,NEOCRAFT,"Tamatem post about ChinaJoy 2024 states that the game 'Rage of the Brave' was developed by NEOCRAFT and is being showcased by Tamatem; as VIP Jalsat is associated with Tamatem, this indicates a business relationship between Tamatem and NEOCRAFT (developer/publisher).",https://tamatem.co/tag/games/,"""Rage of the Brave,"" developed by NEOCRAFT, which has achieved significant success in the MENA region."""
vipjalsat.com,uses,Maysalward(MRD),"The Apple App Store page for Tarneeb Pro lists Maysalward(MRD) as the developer/seller, indicating distribution/association via Maysalward's app listing and developer account.",https://apps.apple.com/us/app/tarneeb-pro/id529243691,"""Developer Maysalward(MRD)"" and ""Seller Maysalward(MRD)"""
vipjalsat.com,uses,Facebook,"App Store description directs users to the official Facebook page for updates/news, indicating use of Facebook as a marketing/community channel.",https://apps.apple.com/us/app/tarneeb-pro/id529243691,"""Checkout our latest updates & News on our Official Facebook Page : https://www.facebook.com/maysalward"""
vipjalsat.com,uses,Twitter (X),"App Store description invites users to join on Twitter and tweet about their games, indicating use of Twitter/X for marketing/community.",https://apps.apple.com/us/app/tarneeb-pro/id529243691,"""Join us on Twitter and Tweet about our Games : https://www.twitter.com/maysalward"""
vipjalsat.com,uses,Game Center,"The App Store page states the app supports Game Center and mentions 'Facebook & Game Center integration', indicating integration/usage of Apple's Game Center services.",https://apps.apple.com/us/app/tarneeb-pro/id529243691,"""Supports Game Center"" and in version notes: ""- Facebook & Game Center integration"""
vipjalsat.com,partner_of,KRAFTON,"TechCrunch reports that Jordan-based mobile game publisher Tamatem (publisher of VIP Jalsat) raised Series B funding led by KRAFTON, indicating a business/strategic relationship (investment) between Tamatem/VIP Jalsat and KRAFTON.",https://techcrunch.com/2021/12/11/this-week-in-apps-2021-review-app-store-changes-paused-instagram-goes-to-congress/,"""Jordan-based mobile game publisher Tamatem raised $11 million in Series B funding led by KRAFTON"" and ""Tamatem has published more than 50 games since 2013, including VIP Baloot, VIP Jalsat"""
vipjalsat.com,uses,AppFollow,"The VIP Jalsat app is listed and tracked on AppFollow, indicating use of AppFollow as an app analytics/reputation listing platform for the app.",https://apps.appfollow.io/ios/vip-jalsat-tarneeb-trix/1277060076?country=fr,"""VIP Jalsat | Tarneeb & Trix | AppFollow"" and app listing details including ""Publisher Tamatem Inc."""
vipjalsat.com,partner_of,Tamatem Inc.,"The AppFollow page for VIP Jalsat lists 'Publisher Tamatem Inc.', indicating Tamatem Inc. is the publisher associated with the app.",https://apps.appfollow.io/ios/vip-jalsat-tarneeb-trix/1277060076?country=fr,"""Publisher Tamatem Inc."""
vipjalsat.com,uses,YouTube,"The app description on the AppFollow page asks users to subscribe to a YouTube channel, indicating use of YouTube for marketing/community.",https://apps.appfollow.io/ios/vip-jalsat-tarneeb-trix/1277060076?country=fr,"""Subscribe to our YouTube channel https://www.youtube.com/channel/UCit1v4yxjCnZqyil3YeH-AQ?sub_confirmation=1"""
vipjalsat.com,uses,Snapchat,"The app description links to a Snapchat account (TamatemGames), indicating use of Snapchat as a social/marketing channel.",https://apps.appfollow.io/ios/vip-jalsat-tarneeb-trix/1277060076?country=fr,"""https://www.snapchat.com/add/TamatemGames"""
vipjalsat.com,uses,Maysalward,"The App Store listing for Tarneeb Pro links to Maysalward’s official website for latest mobile games, indicating association/usage of Maysalward web presence for promotion/support.",https://apps.apple.com/us/app/tarneeb-pro/id529243691?l=ar&platform=ipad,"""Also checkout our website for Latest Mobile Games: https://www.maysalward.com"""
