Source,Relationship,Target,Reason,Evidence URL,Evidence Text
craigslist.org,integrator_of,Bravo Store Systems,Slashdot 'craigslist Integrations' page lists Bravo POS products as integrating with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 1 Bravo POS for Gun Stores ... Bravo Store Systems"""
craigslist.org,integrator_of,XOR,Slashdot integrations listing includes XOR as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: ... 3 XOR"""
craigslist.org,integrator_of,V12Software,Slashdot integrations listing includes V12Software as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: ... 4 V12Software"""
craigslist.org,integrator_of,Nowcom Corporation,Slashdot integrations listing includes DealerCenter (by Nowcom Corporation) as integrating with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 5 DealerCenter Nowcom Corporation"""
craigslist.org,integrator_of,Goxee Dealer,Slashdot integrations listing includes Goxee Dealer as integrating with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 6 Goxee Dealer"""
craigslist.org,integrator_of,TourVista,Slashdot integrations listing includes TourVista; description notes templates to streamline posting on Craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""TourVista ... utilize our templates to streamline posting on Craigslist."""
craigslist.org,integrator_of,Leadline,Slashdot integrations listing includes Leadline as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 8 Leadline"""
craigslist.org,integrator_of,Leasey.AI,Slashdot integrations listing includes Leasey.AI as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 9 Leasey.AI"""
craigslist.org,integrator_of,Swoopa,Slashdot integrations listing includes Swoopa as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 10 Swoopa"""
craigslist.org,integrator_of,AutoTempest,Slashdot integrations listing includes AutoTempest; description references Craigslist as a source/linked marketplace within its aggregator.,https://slashdot.org/software/p/craigslist/integrations/,"""AutoTempest ... providing comparison links to listings on larger platforms, such as Craigslist"""
craigslist.org,integrator_of,PlusVibe,Slashdot integrations listing includes PlusVibe as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 12 PlusVibe"""
craigslist.org,integrator_of,AutoManager,Slashdot integrations listing includes WebManager (AutoManager); description says export inventory to sites including Craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""WebManager ... Export your entire inventory to hundreds advertising sites, including Facebook Marketplace®, and Craigslist®."""
craigslist.org,integrator_of,Talentcare,Slashdot integrations listing includes Talentcare as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 14 Talentcare"""
craigslist.org,integrator_of,RapidVPN,Slashdot integrations listing includes RapidVPN as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 15 RapidVPN"""
craigslist.org,integrator_of,IPBurger,Slashdot integrations listing includes IPBurger as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 16 IPBurger"""
craigslist.org,integrator_of,IPcook,Slashdot integrations listing includes IPcook as a product that integrates with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 17 IPcook"""
craigslist.org,integrator_of,Autofusion,Slashdot integrations listing includes Autofusion; description says you can post listings on Craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Autofusion ... You can easily post your listings on Craigslist"""
craigslist.org,integrator_of,PandoLogic,Slashdot integrations listing includes pandoIQ (PandoLogic); description lists Craigslist among recruitment sites it targets.,https://slashdot.org/software/p/craigslist/integrations/,"""pandoIQ ... across all prominent recruitment sites, such as Indeed, Craigslist, LinkedIn"""
craigslist.org,integrator_of,HireArt,Slashdot integrations listing includes HireArt; description mentions using external platforms like Craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""HireArt ... multiple external platforms like LinkedIn, Indeed, and Craigslist"""
craigslist.org,integrator_of,Flipster,Slashdot integrations listing includes Flipster; description says it daily scrapes Craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Flipster ... daily scraping Craigslist to identify motivated sellers."""
craigslist.org,integrator_of,Rooof,Slashdot integrations listing includes PostEngine (Rooof) as integrating with craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""Below is a list of products that craigslist currently integrates with: 22 PostEngine Rooof"""
craigslist.org,integrator_of,Digital Air Strike,Slashdot integrations listing includes LotVantage (Digital Air Strike); description says it manages Craigslist posts/leads.,https://slashdot.org/software/p/craigslist/integrations/,"""LotVantage ... empowered clients to promote their products on platforms such as Craigslist... manages and reports on your Craigslist posts and leads"""
craigslist.org,integrator_of,SYSANDGO Software,Slashdot integrations listing includes SYS&GO DMS (SYSANDGO Software) referencing analysis across platforms including Craigslist.,https://slashdot.org/software/p/craigslist/integrations/,"""SYS&GO DMS ... analyses ... across platforms like Facebook, Craigslist"""
