Source,Relationship,Target,Reason,Evidence URL,Evidence Text
desertsun.com,vendor_of,XPR Media,Page states the press-release content was syndicated by XPR Media / provided by an independent third party content provider (XPRMedia).,https://www.desertsun.com/press-release/story/89790/convergehub-launches-partner-program-to-help-affiliates-and-solution-providers-earn-recurring-revenue/,"""The content on this page was provided by an independent third party and syndicated by XPR Media."" ... ""Information contained on this page is provided by an independent third-party content provider. XPRMedia and this Site make no warranties or representations in connection therewith."""
desertsun.com,vendor_of,EIN Presswire,"The press release on desertsun.com is distributed by EIN Presswire, indicating desertsun.com is republishing vendor-distributed content.",https://www.desertsun.com/press-release/story/89790/convergehub-launches-partner-program-to-help-affiliates-and-solution-providers-earn-recurring-revenue/,"""Distributed by EIN Presswire"""
desertsun.com,partner_of,Bosch Mobility Platform & Solutions LLC,Press release states Lobster Data entered into a strategic collaboration with Bosch Mobility Platform & Solutions LLC for North America go-to-market.,https://www.desertsun.com/press-release/story/85316/lobster-data-launches-in-north-america-to-tackle-supply-chain-data-chaos/?output=1,"""Lobster has entered into a strategic collaboration with Bosch Mobility Platform & Solutions LLC, which will serve as a value-added reseller across the United States."""
desertsun.com,reseller_of,Lobster Data,Page states Bosch Mobility Platform & Solutions LLC will serve as value-added reseller of Lobster’s technology in the U.S. (relationship described on the page).,https://www.desertsun.com/press-release/story/85316/lobster-data-launches-in-north-america-to-tackle-supply-chain-data-chaos/?output=1,"""Bosch Mobility Platform & Solutions LLC... will serve as a value-added reseller across the United States."""
desertsun.com,uses,Bosch L.OS,Press release says the collaboration combines Lobster’s platform with Bosch L.OS (Bosch’s Logistics Operating System) as part of the integrated solution described on the page.,https://www.desertsun.com/press-release/story/85316/lobster-data-launches-in-north-america-to-tackle-supply-chain-data-chaos/?output=1,"""The collaboration combines Lobster’s data integration platform with Bosch L.OS – Bosch’s Logistics Operating System – creating a solution..."""
desertsun.com,partner_of,NXTMOVES,"The press release content on Desert Sun is provided/syndicated via XPR Media (and distributed by EIN Presswire), indicating Desert Sun is publishing NXTMOVES press-release content as a third-party content relationship.",https://www.desertsun.com/press-release/story/91199/nxtmoves-and-vecter-technologies-partner-to-deliver-end-to-end-payment-solutions/,"""NXTMOVES and Vecter Technologies Partner to Deliver End-to-End Payment Solutions"" ... ""The content on this page was provided by an independent third party and syndicated by XPR Media."" ... ""Distributed by EIN Presswire"""
desertsun.com,partner_of,Vecter Technologies,"The page is a syndicated press release about Vecter Technologies hosted on Desert Sun, implying a content distribution relationship (publishing/syndication) between Desert Sun and Vecter Technologies' announcement.",https://www.desertsun.com/press-release/story/91199/nxtmoves-and-vecter-technologies-partner-to-deliver-end-to-end-payment-solutions/,"""NXTMOVES and Vecter Technologies today announced a strategic mutual referral partnership"" ... ""The content on this page was provided by an independent third party and syndicated by XPR Media."""
desertsun.com,partner_of,USA TODAY Network,"The page notes it is on the USA TODAY Network and that its editorial/news staff were not involved, indicating Desert Sun is part of/affiliated with USA TODAY Network.",https://www.desertsun.com/press-release/story/91199/nxtmoves-and-vecter-technologies-partner-to-deliver-end-to-end-payment-solutions/,"""Members of the editorial and news staff of the USA TODAY Network were not involved in the creation of this content."""
desertsun.com,partner_of,Basic 3PL,"Desert Sun hosts/syndicates a press release about Basic 3PL (distributed via EIN Presswire and syndicated by XPR Media), indicating a content distribution relationship.",https://www.desertsun.com/press-release/story/91752/basic-3pl-and-soapbox-partner-to-simplify-scalable-fulfillment-for-growing-brands/,"""The content on this page was provided by an independent third party and syndicated by XPR Media."" ... ""Distributed by EIN Presswire"" ... ""Basic 3PL and Soapbox Partner to Simplify Scalable Fulfillment for Growing Brands"""
desertsun.com,partner_of,Soapbox,"Desert Sun hosts/syndicates a press release announcing the partnership involving Soapbox, implying a syndicated content relationship with Soapbox's announcement.",https://www.desertsun.com/press-release/story/91752/basic-3pl-and-soapbox-partner-to-simplify-scalable-fulfillment-for-growing-brands/,"""Basic 3PL announced its partnership with Soapbox, naming Soapbox its exclusive technology partner"" ... ""The content on this page was provided by an independent third party and syndicated by XPR Media."""
