Source,Relationship,Target,Reason,Evidence URL,Evidence Text
voyagertechnologies.com,partner_of,ATMOS Space Cargo,Press release states Voyager Technologies announced a strategic partnership with ATMOS Space Cargo and signed an MOU; Voyager Europe will serve as ATMOS’ integration and implementation partner and both will mutually refer customers.,https://r.jina.ai/http://https://investors.voyagertechnologies.com/news/news-details/2026/Voyager-and-ATMOS-Accelerate-Access-to-Space/default.aspx,"""Voyager Technologies (NYSE: VOYG) announced a strategic partnership with ATMOS Space Cargo""; ""Under the signed memorandum of understanding, Voyager Europe will serve as ATMOS’ integration and implementation partner""; ""Both companies will mutually refer customers and mission opportunities""."
voyagertechnologies.com,integrator_of,ATMOS Space Cargo,The MOU specifies Voyager Europe will serve as ATMOS’ integration and implementation partner.,https://r.jina.ai/http://https://investors.voyagertechnologies.com/news/news-details/2026/Voyager-and-ATMOS-Accelerate-Access-to-Space/default.aspx,"""Under the signed memorandum of understanding, Voyager Europe will serve as ATMOS’ integration and implementation partner""."
voyagertechnologies.com,uses,International Space Station,"The release says Voyager’s mission management capabilities operate across the International Space Station, indicating Voyager uses ISS as a platform for mission management.",https://r.jina.ai/http://https://investors.voyagertechnologies.com/news/news-details/2026/Voyager-and-ATMOS-Accelerate-Access-to-Space/default.aspx,"""ATMOS free-flying PHOENIX vehicles complement Voyager’s mission management capabilities across the International Space Station and next-generation commercial platforms such as Starlab."""
voyagertechnologies.com,uses,Starlab,The release states Voyager’s mission management capabilities span next-generation commercial platforms such as Starlab.,https://r.jina.ai/http://https://investors.voyagertechnologies.com/news/news-details/2026/Voyager-and-ATMOS-Accelerate-Access-to-Space/default.aspx,"""ATMOS free-flying PHOENIX vehicles complement Voyager’s mission management capabilities across the International Space Station and next-generation commercial platforms such as Starlab."""
voyagertechnologies.com,partner_of,Starlab Space LLC,The page states Voyager Technologies is part of the Starlab Space joint venture (partner relationship).,https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as-strategic-partner-equity_owner_in_joint_venture/,"""Starlab Space is a U.S.-led, global joint venture among Voyager Technologies (NYSE: VOYG), Airbus, Mitsubishi Corporation, MDA Space, Palantir Technologies, and Space Applications Services"""
voyagertechnologies.com,partner_of,Airbus,Voyager Technologies is listed as a joint venture member with Airbus in Starlab Space.,https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as-strategic-partner-equity_owner_in_joint_venture/,"""Starlab Space is a U.S.-led, global joint venture among Voyager Technologies (NYSE: VOYG), Airbus, Mitsubishi Corporation, MDA Space, Palantir Technologies, and Space Applications Services"""
voyagertechnologies.com,partner_of,Mitsubishi Corporation,Voyager Technologies is listed as a joint venture member with Mitsubishi Corporation in Starlab Space.,https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as_strategic_partner_equity_owner_in_joint_venture/,"""Starlab Space is a U.S.-led, global joint venture among Voyager Technologies (NYSE: VOYG), Airbus, Mitsubishi Corporation, MDA Space, Palantir Technologies, and Space Applications Services"""
voyagertechnologies.com,partner_of,MDA Space,Voyager Technologies is listed as a joint venture member with MDA Space in Starlab Space.,https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as_strategic_partner_equity_owner_in_joint_venture/,"""Starlab Space is a U.S.-led, global joint venture among Voyager Technologies (NYSE: VOYG), Airbus, Mitsubishi Corporation, MDA Space, Palantir Technologies, and Space Applications Services"""
voyagertechnologies.com,partner_of,Palantir Technologies,Voyager Technologies is listed as a joint venture member with Palantir Technologies in Starlab Space.,https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as_strategic_partner_equity_owner_in_joint_venture/,"""Starlab Space is a U.S.-led, global joint venture among Voyager Technologies (NYSE: VOYG), Airbus, Mitsubishi Corporation, MDA Space, Palantir Technologies, and Space Applications Services"""
voyagertechnologies.com,partner_of,Space Applications Services,Voyager Technologies is listed as a joint venture member with Space Applications Services in Starlab Space.,https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as_strategic_partner_equity_owner_in_joint_venture/,"""Starlab Space is a U.S.-led, global joint venture among Voyager Technologies (NYSE: VOYG), Airbus, Mitsubishi Corporation, MDA Space, Palantir Technologies, and Space Applications Services"""
voyagertechnologies.com,partner_of,Hilton,"The page lists Hilton as a strategic partner of Starlab; since Voyager is part of the Starlab joint venture, this indicates a partnership relationship around Starlab.",https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as_strategic_partner_equity_owner_in_joint_venture/,"""with strategic partners including Hilton, Journey, Northrop Grumman, and The Ohio State University"""
voyagertechnologies.com,partner_of,Journey,"The page lists Journey as a strategic partner of Starlab; since Voyager is part of the Starlab joint venture, this indicates a partnership relationship around Starlab.",https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as_strategic_partner_equity_owner_in_joint_venture/,"""with strategic partners including Hilton, Journey, Northrop Grumman, and The Ohio State University"""
voyagertechnologies.com,partner_of,Northrop Grumman,"The page lists Northrop Grumman as a strategic partner of Starlab; since Voyager is part of the Starlab joint venture, this indicates a partnership relationship around Starlab.",https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as_strategic_partner_equity_owner_in_joint_venture/,"""with strategic partners including Hilton, Journey, Northrop Grumman, and The Ohio State University"""
voyagertechnologies.com,partner_of,The Ohio State University,"The page lists The Ohio State University as a strategic partner of Starlab; since Voyager is part of the Starlab joint venture, this indicates a partnership relationship around Starlab.",https://voyagertechnologies.com/press-releases/starlab-adds-space-applications-services-as_strategic_partner_equity_owner_in_joint_venture/,"""with strategic partners including Hilton, Journey, Northrop Grumman, and The Ohio State University"""
voyagertechnologies.com,partner_of,VISTA,"Voyager states it is the founder of the VISTA science park, implying an organizational relationship/ownership with VISTA.",https://voyagertechnologies.com/mission-management/,"""As the founder of the VISTA science park...""; ""Visit VISTA"" (link to vistaspacepark.com)"
voyagertechnologies.com,partner_of,VISTA Space Park,"The page links to vistaspacepark.com as ""VISTA"" and states Voyager is founder of the VISTA science park, indicating a relationship with VISTA Space Park.",https://voyagertechnologies.com/mission-management/,"""As the founder of the VISTA science park...""; ""Visit VISTA"" (link to https://vistaspacepark.com/)"
