Source,Relationship,Target,Reason,Evidence URL,Evidence Text
faithassistant.com,uses,Gloo,The site indicates Faith Assistant is part of/associated with Gloo AI and references Gloo branding and a Gloo+ plan tier.,https://faithassistant.com/,“Included with Gloo+” and “Who is Gloo? Our focus at Gloo AI is making values-aligned AI…” and “© 2026 Gloo All rights reserved”
faithassistant.com,client_of,Lakeland Church,Lakeland Church is shown under 'Real Results for Real Ministries' as an organization using Faith Assistant.,https://faithassistant.com/,“Discover how organizations are using Faith Assistant…” with linked logo/name “lakeland.church”
faithassistant.com,client_of,Hope With God,Hope With God is shown as an organization using Faith Assistant.,https://faithassistant.com/,“Discover how organizations are using Faith Assistant…” with linked logo/name “hopewithgod.com”
faithassistant.com,client_of,KCBI,KCBI is listed among organizations using Faith Assistant.,https://faithassistant.com/,“Discover how organizations are using Faith Assistant…” with linked logo/name “kcbi.org”
faithassistant.com,client_of,Concordia Church,Concordia (concordia.cc) is listed among organizations using Faith Assistant.,https://faithassistant.com/,“Discover how organizations are using Faith Assistant…” with linked logo/name “concordia.cc”
faithassistant.com,client_of,121 Community Church,121 Community Church (121cc.com) is listed among organizations using Faith Assistant.,https://faithassistant.com/,“Discover how organizations are using Faith Assistant…” with linked logo/name “121cc.com”
faithassistant.com,client_of,Old Peninsula Church,Old Peninsula Church (oldpeninsulachurch.com) is listed among organizations using Faith Assistant.,https://faithassistant.com/,“Discover how organizations are using Faith Assistant…” with linked logo/name “oldpeninsulachurch.com”
faithassistant.com,client_of,Richard Ellis Talks,Richard Ellis Talks (richardellistalks.com) is listed among organizations using Faith Assistant.,https://faithassistant.com/,“Discover how organizations are using Faith Assistant…” with linked logo/name “richardellistalks.com”
faithassistant.com,client_of,KCBI,Page features a 'Customer spotlight: KCBI' describing how KCBI personalized Faith Assistant and links to kcbi.org to experience it.,https://faithassistant.com/ai-your-way,“Customer spotlight: KCBI Discover how KCBI… has personalized the Faith Assistant to perfectly align with their brand and content offerings… Go to kcbi.org”
faithassistant.com,uses,BibleChat,Page states Faith Assistant's AI has been trained with hundreds of thousands of real user queries from its consumer app BibleChat.,https://faithassistant.com/ai-for-christ,"“It has been trained with hundreds of thousands of real user queries from our consumer app, BibleChat”"
faithassistant.com,partner_of,AiForTheChurch.org,Page says Faith Assistant spearheaded a non-profit initiative and that the open-source models are freely accessible at aiforthechurch.org.,https://faithassistant.com/ai-for-christ,"“Furthering our commitment, we spearheaded a non-profit initiative, inviting Christian developers to collaborate and utilize these open-source models. These resources are freely accessible at aiforthechurch.org”"
faithassistant.com,uses,Hugging Face,Page notes the initiative’s resources are available on platforms like Hugging Face.,https://faithassistant.com/ai-for-christ,"“These resources are freely accessible at aiforthechurch.org, and on platforms like Hugging Face and GitHub.”"
faithassistant.com,uses,GitHub,Page notes the initiative’s resources are available on platforms like GitHub.,https://faithassistant.com/ai-for-christ,"“These resources are freely accessible at aiforthechurch.org, and on platforms like Hugging Face and GitHub.”"
faithassistant.com,client_of,121 Community Church,Page features a 'Customer spotlight: 121cc' describing how 121 Community Church uses Faith Assistant and links to 121cc.com to experience it.,https://faithassistant.com/understand-your-community,"“Customer spotlight: 121cc … Discover the digital evolution of 121 Community Church in San Antonio, TX, with Faith Assistant's cutting-edge integration… Experience this remarkable tool… Go to 121cc.com”"
faithassistant.com,uses,Gloo Kingdom-Aligned Large Language Model (KALLM),Press release states Faith Assistant will launch a free version for churches built on Gloo's Kingdom-Aligned Large Language Model (KALLM).,https://gloo.com/press/releases/gloo-and-faith-assistant-partner-to-build-custom-ai-for-churches-and-ministries,"“As part of the expansion, Faith Assistant will launch a free version for churches built on the Gloo Kingdom-Aligned Large Language Model (KALLM).”"
