Source,Relationship,Target,Reason,Evidence URL,Evidence Text
limeiscreative.com,client_of,Messiah University,"The page announces the founder has accepted a full-time position at Messiah University as Creative Director, indicating an employment/client relationship (Lime Creative/Laura Kline working for Messiah University).",https://limeiscreative.com/important-update/,"“I’m pleased to announce that I’ve been offered a full-time position at Messiah University as Creative Director, which I’ll be starting on January 26.”"
limeiscreative.com,uses,Adobe,"The page states most print projects were designed in Adobe InDesign, indicating use of Adobe software.",https://limeiscreative.com/important-update/,"“Nearly all print projects have been designed in Adobe InDesign… You will need Adobe InDesign to use, edit, update the files.”"
limeiscreative.com,uses,Dropbox,The page offers to send project files via a Dropbox link.,https://limeiscreative.com/important-update/,“I’ll be happy to send you a DropBox link for download.”
limeiscreative.com,uses,Microsoft OneDrive,The page references uploading native files to the client’s Dropbox or OneDrive.,https://limeiscreative.com/important-update/,“NOTE: If we have a standing agreement for me to upload your native files to your DropBox or OneDrive…”
limeiscreative.com,partner_of,ICHTHYS Press,"The page describes ICHTHYS Press as continuing as usual alongside Lime Creative’s operations, implying an affiliated initiative/brand relationship.",https://limeiscreative.com/important-update/,“What will happen to ICHTHYS Press and LimeAid? ICHTHYS Press will continue as usual…”
limeiscreative.com,partner_of,LimeAid,"The page references LimeAid as a ministry related to Lime Creative, indicating an affiliated initiative.",https://limeiscreative.com/important-update/,"“As for LimeAid, it’s in a holding pattern for now… I may be able to pick it back up as a ministry…”"
limeiscreative.com,client_of,Katallasso Family Health Center,Homepage testimonial states Lime Creative worked on a project for Katallasso Family Health Center (event/project design).,https://limeiscreative.com/home/,"“Working with Lime Creative has been an absolute pleasure from the start to the finish of our project. Laura took the time to listen to our needs and vision for our event and then turned it into a beautiful design that exceeded expectations.” — Stephen Kurtz, Katallasso Family Health Center"
limeiscreative.com,client_of,LifePAC,Homepage testimonial indicates LifePAC hired/contracted Lime Creative.,https://limeiscreative.com/home/,"“That was my experience with Lime Creative.” — Jim Ludwig, LifePAC"
limeiscreative.com,client_of,A Woman's Concern,"Homepage testimonial describes ongoing projects with A Woman's Concern, implying a client relationship.",https://limeiscreative.com/home/,"“Lime Creative brings amazing creativity, powerful messaging and dynamic design to all the projects we work with them on.” — Jill Hartman, A Woman's Concern"
limeiscreative.com,client_of,Empower Hope,"Homepage testimonial calls Lime Creative a 'godsend', indicating Empower Hope engaged Lime Creative for work.",https://limeiscreative.com/home/,"“Lime Creative has been a godsend!” — Jiana Wynde-Mead, Empower Hope"
